stock_id,name,market,industry,period_index,fiscal_quarter,revenue_month,revenue_yoy,operating_margin,net_income_yoy,eps,inventory_turnover,free_cash_flow,composite,composite_delta,value_pick,revenue_yoy_grade,operating_margin_grade,net_income_yoy_grade,eps_grade,inventory_turnover_grade,free_cash_flow_grade,revenue_yoy_values,operating_margin_values,net_income_yoy_values,eps_values,inventory_turnover_values,free_cash_flow_values,revenue_yoy_reason,operating_margin_reason,net_income_yoy_reason,eps_reason,inventory_turnover_reason,free_cash_flow_reason
6901,鑽石投資,上市,其他業,1,2026.2Q,115/07,2,數據不足,4,3,數據不足,1,數據不足,,0,BB,數據不足,AA,A,數據不足,B,890.614 / 4396.63 / -407.46 / -331.077 / -86.8699 / -350.781,109.43 / — / — / —,872.6 / 37.7 / 98 / 82.2,4.04 / -0.42 / -0.02 / -0.17,— / — / — / —,-198 / -18 / -50 / -220 / 2967 / -58,BB.1: 六個月內曾單月負成長,not enough periods,AA.1: 近三季皆正且最近一季成長,A: 最近四季累積3~5元,not enough periods,B: 六季累積為正但四季累積為負
6901,鑽石投資,上市,其他業,2,2026.1Q,115/06,2,數據不足,2,0,數據不足,3,數據不足,,0,BB,數據不足,BB,C,數據不足,A,4396.63 / -407.46 / -331.077 / -86.8699 / -350.781 / -8.58974,— / — / — / -954.17,37.7 / 98 / 82.2 / -232.1,-0.42 / -0.02 / -0.17 / -0.52,— / — / — / —,-18 / -50 / -220 / 2967 / -58 / 121,BB.1: 六個月內曾單月負成長,not enough periods,BB.1: 近兩季皆正但衰退逾50%,C: 最近四季累積虧損,not enough periods,A: 六季累積為正且四季累積為正
6901,鑽石投資,上市,其他業,3,2026.1Q,115/05,0,數據不足,2,0,數據不足,3,數據不足,,0,C,數據不足,BB,C,數據不足,A,-407.46 / -331.077 / -86.8699 / -350.781 / -8.58974 / -121.432,— / — / — / -954.17,37.7 / 98 / 82.2 / -232.1,-0.42 / -0.02 / -0.17 / -0.52,— / — / — / —,-18 / -50 / -220 / 2967 / -58 / 121,C: 平均為負或最近一月為負,not enough periods,BB.1: 近兩季皆正但衰退逾50%,C: 最近四季累積虧損,not enough periods,A: 六季累積為正且四季累積為正
6901,鑽石投資,上市,其他業,4,2026.1Q,115/04,0,數據不足,2,0,數據不足,3,數據不足,,0,C,數據不足,BB,C,數據不足,A,-331.077 / -86.8699 / -350.781 / -8.58974 / -121.432 / -77.6983,— / — / — / -954.17,37.7 / 98 / 82.2 / -232.1,-0.42 / -0.02 / -0.17 / -0.52,— / — / — / —,-18 / -50 / -220 / 2967 / -58 / 121,C: 平均為負或最近一月為負,not enough periods,BB.1: 近兩季皆正但衰退逾50%,C: 最近四季累積虧損,not enough periods,A: 六季累積為正且四季累積為正
6901,鑽石投資,上市,其他業,5,2025.4Q,115/03,0,數據不足,3,0,數據不足,3,數據不足,,0,C,數據不足,A,C,數據不足,A,-86.8699 / -350.781 / -8.58974 / -121.432 / -77.6983 / -94.5067,— / — / -954.17 / —,98 / 82.2 / -232.1 / 29.2,-0.02 / -0.17 / -0.52 / -0.67,— / — / — / —,-50 / -220 / 2967 / -58 / 121 / -21,C: 平均為負或最近一月為負,not enough periods,A: 近兩季皆正且無大幅衰退,C: 最近四季累積虧損,not enough periods,A: 六季累積為正且四季累積為正
6901,鑽石投資,上市,其他業,6,2025.4Q,115/01-02,0,數據不足,3,0,數據不足,3,數據不足,,0,C,數據不足,A,C,數據不足,A,-350.781 / -8.58974 / -121.432 / -77.6983 / -94.5067 / -88.6512,— / — / -954.17 / —,98 / 82.2 / -232.1 / 29.2,-0.02 / -0.17 / -0.52 / -0.67,— / — / — / —,-50 / -220 / 2967 / -58 / 121 / -21,C: 平均為負或最近一月為負,not enough periods,A: 近兩季皆正且無大幅衰退,C: 最近四季累積虧損,not enough periods,A: 六季累積為正且四季累積為正
6901,鑽石投資,上市,其他業,7,2025.3Q,115/01,0,數據不足,1,0,數據不足,數據不足,數據不足,,0,C,數據不足,B,C,數據不足,數據不足,-94.7491 / -8.58974 / -121.432 / -77.6983 / -94.5067 / -88.6512,— / -954.17 / — / -65200,82.2 / -232.1 / 29.2 / -501,-0.17 / -0.52 / -0.67 / -0.9,— / — / — / —,-220 / 2967 / -58 / 121 / -21 / —,C: 平均為負或最近一月為負,not enough periods,B: 最近一季為負／四季兩季為負／近三季遞減且<50%,C: 最近四季累積虧損,not enough periods,not enough periods
6901,鑽石投資,上市,其他業,8,2025.3Q,114/12,0,數據不足,1,0,數據不足,數據不足,數據不足,,0,C,數據不足,B,C,數據不足,數據不足,-8.58974 / -121.432 / -77.6983 / -94.5067 / -88.6512 / -29.1932,— / -954.17 / — / -65200,82.2 / -232.1 / 29.2 / -501,-0.17 / -0.52 / -0.67 / -0.9,— / — / — / —,-220 / 2967 / -58 / 121 / -21 / —,C: 平均為負或最近一月為負,not enough periods,B: 最近一季為負／四季兩季為負／近三季遞減且<50%,C: 最近四季累積虧損,not enough periods,not enough periods
6901,鑽石投資,上市,其他業,9,2025.3Q,114/11,0,數據不足,1,0,數據不足,數據不足,數據不足,,0,C,數據不足,B,C,數據不足,數據不足,-121.432 / -77.6983 / -94.5067 / -88.6512 / -29.1932 / -93.0165,— / -954.17 / — / -65200,82.2 / -232.1 / 29.2 / -501,-0.17 / -0.52 / -0.67 / -0.9,— / — / — / —,-220 / 2967 / -58 / 121 / -21 / —,C: 平均為負或最近一月為負,not enough periods,B: 最近一季為負／四季兩季為負／近三季遞減且<50%,C: 最近四季累積虧損,not enough periods,not enough periods
6902,GOGOLOOK,上市,數位雲端,1,2026.2Q,115/07,3,4,4,3,數據不足,0,數據不足,,0,A,AA,AA,A,數據不足,C,30.8307 / 36.4641 / 27.6997 / 21.1492 / 26.1221 / 26.8407,20.65 / 18.15 / 12.29 / 1.5,850 / 625 / 1250 / 118.9,1.69 / 1.64 / 1.35 / 0.2,— / — / — / —,-1 / 27 / -36 / -53 / -41 / -110,A.2: 平均>25%但小幅衰退,AA.2: 穩定、平均10~15%且最近一季上升,AA.1: 近三季皆正且最近一季成長,A: 最近四季累積3~5元,not enough periods,C: 六季與四季累積皆為負
