保險負債準備淨變動,停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,其他綜合損益（稅後淨額）,其他綜合損益（稅後）,利息以外淨損益,利息以外淨收益,利息淨收益,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,呆帳費用、承諾及保證責任準備提存,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,所得稅（費用）利益,支出,支出及費用,收入,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期稅後淨利（淨損）,本期綜合損益總額,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,淨收益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,繼續營業單位本期純益（純損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,繼續營業單位稅前純益（純損）
,,1101,台泥,,,19912432,,,,,,,,,,0.93,3,,上市,113,4953068,,,,,,,,10367924,,30280356,,,,,,7363974,3003950,,,11795129,,3525863,84276541,105588489,21311948,21311948,9516819,,15320992,,24290054,5990302,10367924,,,,,
,,1102,亞泥,,,8252115,,,,,,,,,,2.72,3,,上市,113,2311904,,,,,,,,8587134,,16839249,,,,,,9087900,-500766,,,4767095,,6131943,48018509,55437725,7419216,7419216,2652121,,10899038,,16403359,435890,8587134,,,,,
,,1103,嘉泥,,,-179263,,,,,,,,,,0.79,3,,上市,113,56744,,,,,,,,542701,,363438,,,,,,517895,24806,,,-81015,,680460,1862363,2213179,350816,350816,431831,,599445,,345013,18425,542701,,,,,
,,1104,環泥,,,1524632,,,,,,,,,,1.61,3,,上市,113,222787,,,,,,,,1136550,,2661182,,,,,,1105588,30962,,,782566,,576771,4710193,5873438,1163245,1163245,380679,,1359337,,2630106,31076,1136550,,,,,
,,1108,幸福,1112,,11407,,,,,,,,,,0.90,3,,上市,113,90624,,,,,,,,362658,,374065,,,,,,362658,,,,469973,,-16691,2886591,3554781,668190,668190,199329,,453282,,374065,,362658,,,,,
,,1109,信大,,,207340,,,,,,,,,,1.08,3,,上市,113,125469,,,,,,,,391560,,598900,,,,,,370699,20861,,,468681,,48348,2799499,3532176,732677,732677,263996,,517029,,508622,90278,391560,,,,,
,,1110,東泥,,,248436,,,,,,,,,,0.50,3,,上市,113,59896,,,,,,,,326704,,575140,,,,,,287746,38958,,,278072,,108528,1686064,2072159,386095,386095,108023,,386600,,536059,39081,326704,,,,,
,,1201,味全,,,118734,,,,,,,,,,0.74,3,,上市,113,155880,,,,,,,,375787,,494521,,,,,,375110,677,,,510752,,20915,12843818,17746414,4902596,4902596,4391844,,531667,,493844,677,375787,,,,,
,,1203,味王,,,172945,,,,,,,,,,1.58,3,,上市,113,229000,,,,,,,,573465,,746410,,,,,,374628,198837,,,731385,,71080,3029569,4524638,1495069,1495069,763684,,802465,,473461,272949,573465,,,,,
,,1210,大成,,,736624,,,,,,,,,,2.94,3,,上市,113,886562,,,,,,,,3125947,,3862571,,,,,,2473746,652201,,,3805914,,206595,65230479,76102717,10872238,10872238,7066324,,4012509,,2973210,889361,3125947,,,,,
