保險負債準備淨變動,停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,其他綜合損益（稅後淨額）,其他綜合損益（稅後）,利息以外淨損益,利息以外淨收益,利息淨收益,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,呆帳費用、承諾及保證責任準備提存,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,所得稅（費用）利益,支出,支出及費用,收入,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期稅後淨利（淨損）,本期綜合損益總額,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,淨收益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,繼續營業單位本期純益（純損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,繼續營業單位稅前純益（純損）
,,1101,台泥,,,9114377,,,,,,,,,,0.07,1,,上市,114,1123790,,,,,,,,768392,,9882769,,,,,,527294,241098,,,2301470,,-409288,29062547,34956255,5893708,5893708,3592238,,1892182,,7153262,2729507,768392,,,,,
,,1102,亞泥,,,2924919,,,,,,,,,,0.41,1,,上市,114,373541,,,,,,,,1386536,,4311455,,,,,,1364290,22246,,,1596150,,163927,14222297,16594707,2372410,2372410,776260,,1760077,,3961951,349504,1386536,,,,,
,,1103,嘉泥,,,212662,,,,,,,,,,0.13,1,,上市,114,9938,,,,,,,,85147,,297809,,,,,,83170,1977,,,-8158,,103243,631715,752475,120760,120760,128918,,95085,,289291,8518,85147,,,,,
,,1104,環泥,,,22676,,,,,,,,,,0.42,1,,上市,114,53127,,,,,,,,294793,,317469,,,,,,285118,9675,,,267210,,80710,1536947,1928654,391707,391707,124497,,347920,,307786,9683,294793,,,,,
,,1108,幸福,0,,2897,,,,,,,,,,0.32,1,,上市,114,32953,,,,,,,,131350,,134247,,,,,,131350,,,,171461,,-7158,975687,1212710,237023,237023,65562,,164303,,134247,,131350,,,,,
,,1109,信大,,,100275,,,,,,,,,,0.25,1,,上市,114,17373,,,,,,,,81319,,181594,,,,,,84490,-3171,,,31556,,67136,884554,987534,102980,102980,71424,,98692,,151209,30385,81319,,,,,
,,1110,東泥,,,-19381,,,,,,,,,,0.08,1,,上市,114,16496,,,,,,,,58597,,39216,,,,,,45810,12787,,,64673,,10420,636946,740524,103578,103578,38905,,75093,,26471,12745,58597,,,,,
,,1201,味全,,,47806,,,,,,,,,,0.22,1,,上市,114,52320,,,,,,,,109982,,157788,,,,,,109783,199,,,161132,,1170,3749353,5206860,1457507,1457507,1296375,,162302,,157589,199,109982,,,,,
,,1203,味王,,,40289,,,,,,,,,,0.58,1,0,上市,114,92849,,,,,,0,,240747,,281036,,,,,,138249,102498,,,315802,,17794,969284,1543194,573910,573910,258108,,333596,,155437,125599,240747,,,,,
,,1210,大成,,,397367,,,,,,,,,,1.05,1,,上市,114,249920,,,,,,,,1036765,,1434132,,,,,,882716,154049,,,1346391,,-59706,21548574,25466623,3918049,3918049,2571658,,1286685,,1183047,251085,1036765,,,,,
