保險負債準備淨變動,停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,其他綜合損益（稅後淨額）,其他綜合損益（稅後）,利息以外淨損益,利息以外淨收益,利息淨收益,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,呆帳費用、承諾及保證責任準備提存,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,所得稅（費用）利益,支出,支出及費用,收入,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期稅後淨利（淨損）,本期綜合損益總額,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,淨收益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,繼續營業單位本期純益（純損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,繼續營業單位稅前純益（純損）
,,1101,台泥,,,-5655220,,,,,,,,,,-1.28,3,,上市,114,3240807,,,,,,,,-10286629,,-15941849,,,,,,-9239402,-1047227,,,8555982,,-15601804,89293046,109377581,20084535,20084535,11528553,,-7045822,,-15754356,-187493,-10286629,,,,,
,,1102,亞泥,,,-9011399,,,,,,,,,,2.42,3,,上市,114,1664903,,,,,,,,8354409,,-656990,,,,,,8085148,269261,,,6608114,,3411198,44417773,53149015,8731242,8731242,2123128,,10019312,,484241,-1141231,8354409,,,,,
,,1103,嘉泥,,,-2854947,,,,,,,,,,0.73,3,,上市,114,-3506,,,,,,,,492849,,-2362098,,,,,,478867,13982,,,-37631,,526974,1882321,2244681,362360,362360,399991,,489343,,-2260667,-101431,492849,,,,,
,,1104,環泥,,,-506021,,,,,,,,,,1.80,3,,上市,114,165011,,,,,,,,1271031,,765010,,,,,,1236838,34193,,,812429,,623613,4565941,5783017,1217076,1217076,404647,,1436042,,730741,34269,1271031,,,,,
,,1108,幸福,563393,,-8866,,,,,,,,,,2.02,3,,上市,114,210140,,,,,,,,815944,,807078,,,,,,815944,,,,1039062,,-12978,2715003,3425383,710380,710380,234711,,1026084,,807078,,815944,,,,,
,,1109,信大,,,-215061,,,,,,,,,,0.80,3,,上市,114,115395,,,,,,,,305045,,89984,,,,,,271774,33271,,,332184,,88256,2767441,3312269,544828,544828,212644,,420440,,128686,-38702,305045,,,,,
,,1110,東泥,,,30705,,,,,,,,,,0.29,3,,上市,114,41789,,,,,,,,195716,,226421,,,,,,163944,31772,,,189994,,47511,1822223,2142289,320066,320066,130072,,237505,,194721,31700,195716,,,,,
,,1201,味全,,,-206729,,,,,,,,,,0.43,3,,上市,114,141378,,,,,,,,216608,,9879,,,,,,215859,749,,,373072,,-15086,12158273,16717790,4559517,4559517,4186445,,357986,,9130,749,216608,,,,,
,,1203,味王,,,-102607,,,,,,,,,,1.28,3,,上市,114,199186,,,,,,,,520326,,417719,,,,,,303103,217223,,,746280,,-26768,2816008,4337935,1521927,1521927,775647,,719512,,210976,206743,520326,,,,,
,,1210,大成,,,-1355466,,,,,,,,,,2.67,3,,上市,114,848791,,,,,,,,2702423,,1346957,,,,,,2235774,466649,,,3422908,,128306,64196717,75015426,10818709,10818709,7395801,,3551214,,1453195,-106238,2702423,,,,,
