保險其他營業成本,保險服務結果,停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他營業結果,其他綜合損益,其他綜合損益（淨額）,其他綜合損益（稅後淨額）,其他綜合損益（稅後）,利息以外淨損益,利息以外淨收益,利息淨收益,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,呆帳費用、承諾及保證責任準備提存,基本每股盈餘,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,所得稅（費用）利益,支出,支出及費用,收入,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期稅後淨利（淨損）,本期綜合損益總額,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,淨收益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,繼續營業單位本期純益（純損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,繼續營業單位稅前純益（純損）,財務結果
,,,1101,台泥,,,,11050466,,,,,,,,,,,0.10,1,,上市,115,927996,,,,,,,,1204739,,12255205,,,,,,718189,486550,,,2792191,,-659456,26959758,33168148,6208390,6208390,3416199,,2132735,,9579999,2675206,1204739,,,,,,
,,,1102,亞泥,,,,3885773,,,,,,,,,,,0.56,1,,上市,115,350025,,,,,,,,1791302,,5677075,,,,,,1887022,-95720,,,1184173,,957154,12901356,14829491,1928135,1928135,743962,,2141327,,5016509,660566,1791302,,,,,,
,,,1103,嘉泥,,,,-35675,,,,,,,,,,,0.08,1,,上市,115,17068,,,,,,,,51325,,15650,,,,,,51804,-479,,,15792,,52601,542788,688370,145582,145582,129790,,68393,,17445,-1795,51325,,,,,,
,,,1104,環泥,,,,506823,,,,,,,,,,,0.41,1,,上市,115,56881,,,,,,,,290479,,797302,,,,,,284208,6271,,,285740,,61620,1267401,1759047,491646,491646,205906,,347360,,791009,6293,290479,,,,,,
,,,1108,幸福,-27,,,1763,,,,,,,,,,,0.17,1,,上市,115,17242,,,,,,,,68889,,70652,,,,,,68889,,,,88910,,-2779,822468,980706,158238,158238,69301,,86131,,70652,,68889,,,,,,
,,,1109,信大,,,,140596,,,,,,,,,,,0.01,1,,上市,115,3605,,,,,,,,-15757,,124839,,,,,,4151,-19908,,,-15946,,3794,802033,855342,53309,53309,69255,,-12152,,97866,26973,-15757,,,,,,
,,,1110,東泥,,,,-10537,,,,,,,,,,,0.05,1,,上市,115,8657,,,,,,,,25009,,14472,,,,,,25695,-686,,,44070,,-10404,499146,582643,83497,83497,39427,,33666,,15171,-699,25009,,,,,,
,,,1201,味全,,,,117575,,,,,,,,,,,0.20,1,,上市,115,13929,,,,,,,,101752,,219327,,,,,,101516,236,,,39544,,76137,3630283,5001067,1370784,1370784,1331240,,115681,,219091,236,101752,,,,,,
,,,1203,味王,,,,-12697,,,,,,,,,,,0.49,1,0,上市,115,68578,,,,,,0,,180764,,168067,,,,,,116595,64169,,,208493,,40849,867496,1323768,456272,456272,247779,,249342,,130731,37336,180764,,,,,,
,,,1210,大成,,,,636706,,,,,,,,,,,0.94,1,,上市,115,239406,,,,,,,,969025,,1605731,,,,,,788702,180323,,,1180916,,27515,23117808,26901827,3784019,3784019,2603103,,1208431,,1207386,398345,969025,,,,,,
