保險負債準備淨變動,停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,其他綜合損益（稅後淨額）,其他綜合損益（稅後）,利息以外淨損益,利息以外淨收益,利息淨收益,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,呆帳費用、承諾及保證責任準備提存,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,所得稅（費用）利益,支出,支出及費用,收入,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期稅後淨利（淨損）,本期綜合損益總額,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,淨收益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,繼續營業單位本期純益（純損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,繼續營業單位稅前純益（純損）
,,1101,台泥,,,16570238,,,,,,,,,,1.45,4,,上市,113,7203262,,,,,,,,15629497,,32199735,,,,,,11259317,4370180,,,17126617,,5706142,121878486,154606511,32728025,32728025,15601408,,22832759,,25287948,6911787,15629497,,,,,
,,1102,亞泥,,,8294575,,,,,,,,,,3.86,4,,上市,113,3351716,,,,,,,,12653279,,20947854,,,,,,12889728,-236449,,,7963736,,8041259,65190325,76297459,11107134,11107134,3143398,,16004995,,19993277,954577,12653279,,,,,
,,1103,嘉泥,,,-847740,,,,,,,,,,0.48,4,,上市,113,48373,,,,,,,,337411,,-510329,,,,,,319580,17831,,,-151949,,537733,2550390,2985357,434967,434967,586916,,385784,,-497875,-12454,337411,,,,,
,,1104,環泥,,,1518216,,,,,,,,,,2.16,4,,上市,113,276758,,,,,,,,1530338,,3048554,,,,,,1482287,48051,,,1057461,,749635,6355678,7953734,1598056,1598056,540595,,1807096,,3000298,48256,1530338,,,,,
,,1108,幸福,403,,25720,,,,,,,,,,1.22,4,,上市,113,112586,,,,,,,,493937,,519657,,,,,,493938,-1,,,639270,,-32747,3939390,4867094,927704,927704,288837,,606523,,519658,-1,493937,,,,,
,,1109,信大,,,175018,,,,,,,,,,1.38,4,,上市,113,187437,,,,,,,,524281,,699299,,,,,,469398,54883,,,651364,,60354,3664642,4656290,991648,991648,340284,,711718,,590400,108899,524281,,,,,
,,1110,東泥,,,258036,,,,,,,,,,0.61,4,,上市,113,56961,,,,,,,,377223,,635259,,,,,,348485,28738,,,336016,,98168,2349919,2872958,523039,523039,187023,,434184,,606431,28828,377223,,,,,
,,1201,味全,,,128723,,,,,,,,,,0.87,4,,上市,113,177255,,,,,,,,443702,,572425,,,,,,442713,989,,,585722,,35235,17050563,23473804,6423241,6423241,5837519,,620957,,571417,1008,443702,,,,,
,0,1203,味王,,,153905,,,,,,,,,,2.36,4,,上市,113,327122,,,,,,,,864201,,1018106,,,,,,561042,303159,,,1074811,,116512,4163195,6287463,2124268,2124268,1049457,,1191323,,667426,350680,864201,,,,,
,,1210,大成,,,829774,,,,,,,,,,4.21,4,,上市,113,1203589,,,,,,,,4416069,,5245843,,,,,,3529389,886680,,,5336706,,282952,87948997,102749063,14800066,14800066,9463360,,5619658,,4063160,1182683,4416069,,,,,
,,1213,大飲,,,3,,,,,,,,,,8.71,4,,上市,113,25701,,,,,,,,493229,,493232,,,,,,493229,,,,-85318,,604248,233019,190548,-42471,-42471,42847,,518930,,493232,,493229,,,,,
,,1215,卜蜂,35813,,623343,,,,,,,,,,6.55,4,,上市,113,458845,,,,,,,,1896242,,2519585,,,,,,1929846,-33604,,,2293129,,61958,23360580,27957258,4596678,4596678,2339362,,2355087,,2552499,-32914,1896242,,,,,
,,1216,統一,,,7897352,,,,,,,,,,3.64,4,,上市,113,9894897,,,,,,,,32332275,,40229627,,,,,,20673286,11658989,,,33826773,,8400399,442507068,657636534,215129466,215129466,181302693,,42227172,,27334850,12894777,32332275,,,,,
,,1217,愛之味,,,592349,,,,,,,,,,0.58,4,,上市,113,58999,,,,,,,,303272,,895621,,,,,,286939,16333,,,144228,,218043,3663059,5115585,1452526,1452526,1308298,,362271,,857259,38362,303272,,,,,
,,1218,泰山,,,-10696,,,,,,,,,,1.53,4,278,上市,113,138749,,,,,,554,,742641,,731945,,,,,,742411,230,,,617974,,263416,8792097,10682445,1890348,1890072,1272098,,881390,,731865,80,742641,,,,,
,,1219,福壽,,,5951,,,,,,,,,,0.53,4,1100,上市,113,31551,,,,,,396,,107297,,113248,,,,,,181339,-74042,,,112076,,26772,12996332,14329750,1349430,1350134,1238058,16012,138848,,186543,-73295,107297,,,,,
,,1220,台榮,,,-11037,,,,,,,,,,1.18,4,,上市,113,55306,,,,,,,,235765,,224728,,,,,,207408,28357,,,252205,,38866,2922425,3480143,557718,557718,305513,,291071,,196357,28371,235765,,,,,
,,1225,福懋油,0,,8435,,,,,,50999,,,,1.50,4,,上市,113,108948,,,,,,2100,,392474,,400909,,,,,,343986,48488,,,475104,,26318,11792866,12859087,1117220,1115120,640016,,501422,,352421,48488,392474,,,,,
,,1227,佳格,,,437073,,,,,,,,,,1.91,4,,上市,113,489512,,,,,,,,1802096,,2239169,,,,,,1733964,68132,,,1910589,,381019,21815207,28973692,7158485,7158485,5247896,,2291608,,2169065,70104,1802096,,,,,
,,1229,聯華,,,6227894,,,,,,,,,,2.46,4,,上市,113,197028,,,,,,,,4866784,,11094678,,,,,,4190598,676186,,,1330924,,3732888,10254375,12946776,2692401,2692401,1361477,,5063812,,8853700,2240978,4866784,,,,,
,,1231,聯華食,,,28087,,,,,,,,,,4.22,4,,上市,113,248827,,,,,,,,1145603,,1173690,,,,,,1145728,-125,,,1043146,,351284,9668506,12201941,2533435,2533435,1490289,,1394430,,1173182,508,1145603,,,,,
,,1232,大統益,,,24609,,,,,,,,,,8.24,4,,上市,113,338852,,,,,,,,1372514,,1397123,,,,,,1317417,55097,,,1629618,,81748,19315230,22066604,2751374,2751374,1121756,,1711366,,1341451,55672,1372514,,,,,
,,1233,天仁,,,-34028,,,,,,0,,,,0.97,4,0,上市,113,20034,,,,,,0,,87572,,53544,,,,,,88219,-647,,,82524,,25082,907168,2196394,1289226,1289226,1206702,0,107606,,53883,-339,87572,,,,,
,,1234,黑松,,,32796,,,,,,,,,,2.36,4,,上市,113,245099,,,,,,,,947398,,980194,,,,,,947398,,,,694773,,497724,7205148,10251436,3046288,3046288,2351515,,1192497,,980194,,947398,,,,,
,,1235,興泰,,,1700488,,,,,,,,,,0.08,4,,上市,113,19012,,,,,,,,-160977,,1539511,,,,,,7191,-168168,,,-8824,,-133141,75765,112698,36933,36933,45757,,-141965,,1617236,-77725,-160977,,,,,
,,1236,宏亞,,,223616,,,,,,,,,,-0.28,4,,上市,113,-625,,,,,,,,-24077,,199539,,,,,,-24077,,,,-52781,,28079,1468607,1977776,509169,509169,561950,,-24702,,199539,,-24077,,,,,
,,1256,鮮活果汁-KY,,,132045,,,,,,,,,,8.56,4,,上市,113,108430,,,,,,,,297194,,429239,,,,,,289792,7402,,,372585,,33039,2985694,4002127,1016433,1016433,643848,,405624,,412140,17099,297194,,,,,
,,1301,台塑,,,-48363543,,,,,,,,,,-0.19,4,,上市,113,-1182468,,,,,,,,-1231765,,-49595308,,,,,,-1231765,,,,-4161750,,1747517,189891929,200040347,10148418,10148418,14310168,,-2414233,,-49595308,,-1231765,,,,,
,,1303,南亞,,,-10396624,,,,,,,,,,0.42,4,,上市,113,1216300,,,,,,1054,,3307170,,-7089454,,,,,,3340129,-32959,,,447534,,4075936,241033392,259608483,18575091,18574037,18126503,,4523470,,-7350918,261464,3307170,,,,,
,,1304,台聚,,,959330,,,,,,,,,,-2.00,4,,上市,113,-608175,,,,,,,,-4909879,,-3950549,,,,,,-2147470,-2762409,,,-2008714,,-3509340,48710747,51008156,2297409,2297409,4306123,,-5518054,,-2053023,-1897526,-4909879,,,,,
,,1305,華夏,,,71327,,,,,,,,,,-1.22,4,,上市,113,-168591,,,,,,,,-751363,,-680036,,,,,,-709967,-41396,,,-842707,,-77247,10876143,11086725,210582,210582,1053289,,-919954,,-640560,-39476,-751363,,,,,
,,1307,三芳,,,464117,,,,,,,,,,3.72,4,,上市,113,396696,,,,,,,,1479402,,1943519,,,,,,1479402,,,,1560465,,315633,7481145,10779822,3298677,3298677,1738212,,1876098,,1943519,,1479402,,,,,
,,1308,亞聚,,,-838278,,,,,,,,,,-1.26,4,,上市,113,-169852,,,,,,,,-750500,,-1588778,,,,,,-750500,,,,-109442,,-810910,5896273,6031266,134993,134993,244435,,-920352,,-1588778,,-750500,,,,,
,,1309,台達化,,,-7857,,,,,,,,,,-0.56,4,,上市,113,-18730,,,,,,,,-223012,,-230869,,,,,,-223012,,,,-360968,,119226,17744822,18622910,878088,878088,1239056,,-241742,,-230869,,-223012,,,,,
,,1310,台苯,,,799723,,,,,,,,,,-0.72,4,,上市,113,-98873,,,,,,,,-383607,,416116,,,,,,-380846,-2761,,,-552319,,69839,11771760,11422940,-348820,-348820,203499,,-482480,,410436,5680,-383607,,,,,
,,1312,國喬,,,1976659,,,,,,,,,,-1.42,4,,上市,113,-355238,,,,,,,,-1704870,,271789,,,,,,-1559897,-144973,,,-1673054,,-387054,15908338,16418417,510079,510079,2183133,,-2060108,,123542,148247,-1704870,,,,,
,,1313,聯成,,,2040680,,,,,,,,,,-1.79,4,,上市,113,-329722,,,,,,,,-2383855,,-343175,,,,,,-2383855,,,,-2675857,,-37720,73496603,73320280,-176323,-176323,2499534,,-2713577,,-343175,,-2383855,,,,,
,-323042,1314,中石化,,,588680,,,,,,,,,,0.07,4,,上市,113,160643,,,,,,,,219506,,808186,,,,,,247675,-28169,,,-1906985,,2610176,29240367,29442175,201808,201808,2108793,,703191,,836101,-27915,542548,,,,,
,,1315,達新,,,-940605,,,,,,,,,,2.15,4,,上市,113,53123,,,,,,,,208897,,-731708,,,,,,205569,3328,,,-74992,,337012,1858012,2147060,289048,289048,364040,,262020,,-735782,4074,208897,,,,,
,,1316,上曜,,,-1813,,,,,,,,,,-0.79,4,,上市,113,54974,,,,,,,,-141963,,-143776,,,,,,-214390,72427,,,-101855,,14866,1010282,1491234,480952,480952,582807,,-86989,,-214572,70796,-141963,,,,,
,,1319,東陽,,,188829,,,,,,,,,,7.40,4,,上市,113,1074414,,,,,,,,4455271,,4644100,,,,,,4376915,78356,,,4813360,,716325,17065391,25596063,8530672,8530672,3717312,,5529685,,4524392,119708,4455271,,,,,
,,1321,大洋,,,-209670,,,,,,,,,,0.76,4,,上市,113,121252,,,,,,,,166934,,-42736,,,,,,166934,,,,-93054,,381240,4324319,4683170,358851,358851,451905,,288186,,-42736,,166934,,,,,
,,1323,永裕,,,115821,,,,,,,,,,2.58,4,,上市,113,16375,,,,,,,,276199,,392020,,,,,,234570,41629,,,67126,,225448,2217866,2646249,428383,428383,361257,,292574,,350391,41629,276199,,,,,
,,1324,地球,,,4384,,,,,,,,,,0.09,4,,上市,113,-4161,,,,,,,,6832,,11216,,,,,,6832,,,,-5400,,8071,651296,795197,143901,143901,149301,,2671,,11216,,6832,,,,,
,,1325,恆大,,,16972,,,,,,,,,,-0.60,4,,上市,113,375,,,,,,,,-66970,,-49998,,,,,,-51542,-15428,,,-79949,,13354,354089,317389,-36700,-36700,43249,,-66595,,-39223,-10775,-66970,,,,,
,,1326,台化,,,-70175438,,,,,,,,,,0.06,4,,上市,113,-186641,,,,,,,,1123387,,-69052051,,,,,,379411,743976,,,-1554782,,2491528,334552632,348607574,14054942,14054942,15609724,,936746,,-58591137,-10460914,1123387,,,,,
,,1337,再生-KY,,,151310,,,,,,,,,,-1.54,4,,上市,113,,,,,,,,,-414488,,-263178,,,,,,-414488,,,,-336620,,-77868,916248,817359,-98889,-98889,237731,,-414488,,-263178,,-414488,,,,,
,,1338,廣華-KY,,,55617,,,,,,,,,,-1.14,4,,上市,113,59219,,,,,,,,-45829,,9788,,,,,,-95049,49220,,,-90179,,103569,3956748,5087625,1130877,1130877,1221056,,13390,,6878,2910,-45829,,,,,
,,1339,昭輝,,,18482,,,,,,,,,,5.01,4,,上市,113,121186,,,,,,,,355035,,373517,,,,,,371612,-16577,,,362625,,113596,1241874,1932091,690217,690217,327592,,476221,,386331,-12814,355035,,,,,
,,1340,勝悅-KY,,,89181,,,,,,,,,,-5.28,4,,上市,113,-835,,,,,,,,-808030,,-718849,,,,,,-808030,,,,-408249,,-400616,510048,376371,-133677,-133677,274572,,-808865,,-718849,,-808030,,,,,
