保險負債準備淨變動,停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,其他綜合損益（稅後淨額）,其他綜合損益（稅後）,利息以外淨損益,利息以外淨收益,利息淨收益,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,呆帳費用、承諾及保證責任準備提存,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,所得稅（費用）利益,支出,支出及費用,收入,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期稅後淨利（淨損）,本期綜合損益總額,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,淨收益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,繼續營業單位本期純益（純損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,繼續營業單位稅前純益（純損）
,,1101,台泥,,,6406645,,,,,,,,,,-1.60,4,,上市,114,2433090,,,,,,,,-11862586,,-5455941,,,,,,-11617608,-244978,,,10077592,,-19507088,122246546,149804135,27557589,27557589,17479997,,-9429496,,-7682998,2227057,-11862586,,,,,
,,1102,亞泥,,,-3694603,,,,,,,,,,3.00,4,,上市,114,2298140,,,,,,,,10215115,,6520512,,,,,,10029823,185292,,,8406187,,4107068,59799628,71038529,11238901,11238901,2832714,,12513255,,6809815,-289303,10215115,,,,,
,,1103,嘉泥,,,-3032170,,,,,,,,,,0.84,4,,上市,114,-7520,,,,,,,,566896,,-2465274,,,,,,556262,10634,,,-80193,,639569,2527950,3015357,487407,487407,567600,,559376,,-2357398,-107876,566896,,,,,
,,1104,環泥,,,-60944,,,,,,,,,,2.56,4,,上市,114,243346,,,,,,,,1802094,,1741150,,,,,,1756478,45616,,,1218421,,827019,6080881,7920216,1839335,1839335,620914,,2045440,,1695317,45833,1802094,,,,,
,,1108,幸福,563560,,-7080,,,,,,,,,,2.18,4,,上市,114,211237,,,,,,,,880657,,873577,,,,,,880657,0,,,1111330,,-19436,3599426,4450870,851444,851444,303674,,1091894,,873577,0,880657,,,,,
,,1109,信大,,,29853,,,,,,,,,,1.03,4,,上市,114,146794,,,,,,,,382272,,412125,,,,,,351163,31109,,,423144,,105922,3723105,4431539,708434,708434,285290,,529066,,372971,39154,382272,,,,,
,,1110,東泥,,,12011,,,,,,,,,,0.36,4,,上市,114,52798,,,,,,,,228562,,240573,,,,,,205528,23034,,,241897,,39463,2423095,2851556,428461,428461,186564,,281360,,217637,22936,228562,,,,,
,,1201,味全,,,-21502,,,,,,,,,,0.40,4,,上市,114,132619,,,,,,,,204115,,182613,,,,,,203055,1060,,,366119,,-29385,15911056,21842084,5931028,5931028,5564909,,336734,,181471,1142,204115,,,,,
,0,1203,味王,,,99104,,,,,,,,,,1.81,4,,上市,114,253729,,,,,,,,689531,,788635,,,,,,430560,258971,,,935121,,8139,3691053,5654961,1963908,1963908,1028787,,943260,,484539,304096,689531,,,,,
,,1210,大成,,,-631991,,,,,,,,,,4.33,4,,上市,114,1252344,,,,,,,,4286901,,3654910,,,,,,3624189,662712,,,4760814,,778431,86358406,101221775,14863369,14863369,10102555,,5539245,,3276223,378687,4286901,,,,,
