保險負債準備淨變動,停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,其他綜合損益（稅後淨額）,其他綜合損益（稅後）,利息以外淨損益,利息以外淨收益,利息淨收益,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,呆帳費用、承諾及保證責任準備提存,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,所得稅（費用）利益,支出,支出及費用,收入,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期稅後淨利（淨損）,本期綜合損益總額,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,淨收益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,繼續營業單位本期純益（純損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,繼續營業單位稅前純益（純損）
,,1101,台泥,,,-22085252,,,,,,,,,,0.07,2,,上市,114,1573103,,,,,,,,1498464,,-20586788,,,,,,960722,537742,,,3415898,,-344331,59070124,70310678,11240554,11240554,7824656,,3071567,,-19859495,-727293,1498464,,,,,
,,1102,亞泥,,,-15278517,,,,,,,,,,1.28,2,,上市,114,1199842,,,,,,,,4489931,,-10788586,,,,,,4294031,195900,,,4192682,,1497091,29515334,35260444,5745110,5745110,1552428,,5689773,,-8593223,-2195363,4489931,,,,,
,,1103,嘉泥,,,-2454733,,,,,,,,,,-0.32,2,,上市,114,-13828,,,,,,,,-218120,,-2672853,,,,,,-208691,-9429,,,400,,-232348,1271361,1521022,249661,249661,249261,,-231948,,-2561615,-111238,-218120,,,,,
,,1104,環泥,,,-831374,,,,,,,,,,0.98,2,,上市,114,115084,,,,,,,,695019,,-136355,,,,,,675291,19728,,,566769,,243334,3068831,3897477,828646,828646,261877,,810103,,-156174,19819,695019,,,,,
,,1108,幸福,562656,,-8003,,,,,,,,,,1.72,2,,上市,114,180901,,,,,,,,694822,,686819,,,,,,694822,,,,887983,,-12260,1877462,2373296,495834,495834,170507,,875723,,686819,,694822,,,,,
,,1109,信大,,,-405628,,,,,,,,,,0.49,2,,上市,114,84518,,,,,,,,192104,,-213524,,,,,,167121,24983,,,215067,,61555,1886436,2251696,365260,365260,150193,,276622,,-102768,-110756,192104,,,,,
,,1110,東泥,,,75638,,,,,,,,,,0.07,2,,上市,114,29725,,,,,,,,64879,,140517,,,,,,42462,22417,,,130521,,-35917,1279805,1488986,209181,209181,78660,,94604,,118140,22377,64879,,,,,
,,1201,味全,,,-356666,,,,,,,,,,0.27,2,,上市,114,69380,,,,,,,,136615,,-220051,,,,,,136173,442,,,263497,,-57502,7760558,10731979,2971421,2971421,2707924,,205995,,-220493,442,136615,,,,,
,0,1203,味王,,,-224935,,,,,,,,,,0.64,2,0,上市,114,138420,,,,,,0,,306614,,81679,,,,,,152936,153678,,,528182,,-83148,1893554,2954993,1061439,1061439,533257,,445034,,-23938,105617,306614,,,,,
,,1210,大成,,,-2004589,,,,,,,,,,1.74,2,,上市,114,547090,,,,,,,,1718952,,-285637,,,,,,1454923,264029,,,2342244,,-76202,43183578,50338217,7154639,7154639,4812395,,2266042,,303442,-589079,1718952,,,,,
