保險負債準備淨變動,停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,其他綜合損益（稅後淨額）,其他綜合損益（稅後）,利息以外淨損益,利息以外淨收益,利息淨收益,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,呆帳費用、承諾及保證責任準備提存,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,所得稅（費用）利益,支出,支出及費用,收入,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期稅後淨利（淨損）,本期綜合損益總額,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,淨收益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,繼續營業單位本期純益（純損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,繼續營業單位稅前純益（純損）
,,1101,台泥,,,13857421,,,,,,,,,,0.51,2,,上市,113,3065551,,,,,,,,5748808,,19606229,,,,,,4222745,1526063,,,5525219,,3289140,53170416,64513447,11343031,11343031,5817812,,8814359,,16440734,3165495,5748808,,,,,
,,1102,亞泥,,,10213743,,,,,,,,,,2.16,2,,上市,113,1919701,,,,,,,,6725058,,16938801,,,,,,7191646,-466588,,,2838380,,5806379,30873861,35484522,4610661,4610661,1772281,,8644759,,16278661,660140,6725058,,,,,
,,1103,嘉泥,,,22644,,,,,,,,,,0.05,2,,上市,113,29881,,,,,,,,32192,,54836,,,,,,33298,-1106,,,-26520,,88593,1213991,1437444,223453,223453,249973,,62073,,54047,789,32192,,,,,
,,1104,環泥,,,1214142,,,,,,,,,,0.92,2,,上市,113,170836,,,,,,,,651159,,1865301,,,,,,631110,20049,,,546547,,275448,3183420,4000652,817232,817232,270685,,821995,,1845070,20231,651159,,,,,
,,1108,幸福,1000,,5617,,,,,,,,,,0.63,2,,上市,113,64038,,,,,,,,254736,,260353,,,,,,254736,,,,333849,,-15075,1932515,2410081,477566,477566,144717,,318774,,260353,,254736,,,,,
,,1109,信大,,,125789,,,,,,,,,,0.90,2,,上市,113,95210,,,,,,,,316928,,442717,,,,,,308724,8204,,,365503,,46635,1924825,2473105,548280,548280,182777,,412138,,392396,50321,316928,,,,,
,,1110,東泥,,,196863,,,,,,,,,,0.15,2,,上市,113,22660,,,,,,,,114170,,311033,,,,,,87886,26284,,,137077,,-247,986410,1181516,195106,195106,58029,,136830,,284676,26357,114170,,,,,
,,1201,味全,,,149252,,,,,,,,,,0.46,2,,上市,113,71094,,,,,,,,235161,,384413,,,,,,234707,454,,,293210,,13045,8121489,11240318,3118829,3118829,2825619,,306255,,383959,454,235161,,,,,
,0,1203,味王,,,-19419,,,,,,,,,,1.14,2,0,上市,113,172585,,,,,,0,,418630,,399211,,,,,,272051,146579,,,538987,,52228,2036098,3080915,1044817,1044817,505830,,591215,,271132,128079,418630,,,,,
,,1210,大成,,,690765,,,,,,,,,,1.94,2,,上市,113,584093,,,,,,,,2134307,,2825072,,,,,,1631947,502360,,,2689725,,28675,43077715,50244551,7166836,7166836,4477111,,2718400,,2074203,750869,2134307,,,,,
