保留盈餘,保留盈餘（或累積虧損）,公司代號,公司名稱,共同控制下前手權益,其他權益,合併前非屬共同控制股權,季別,市場,年度,庫藏股票,待註銷股本股數（單位：股）,權益─具證券性質之虛擬通貨,權益總計,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
799379,,7712,博盛半導體,,1369,,4,上櫃,113,,0,,1856525,,1856525,,0,,57.02,588273,1730132,325619,889201,730158,2745726,,300928,1015594,0
351155,,7713,威力德生醫,,392,,4,上櫃,113,,,,908467,,908467,,0,,21.85,469005,591319,415789,1089595,141131,1998062,,620590,1406743,0
91937,,7714,創泓科技,0,1675,,4,上櫃,113,,,,305467,,305467,,0,,16.40,382438,657589,186300,401421,25555,706888,0,18983,49299,0
298140,,7715,裕山,,224,,4,上櫃,113,,,,794001,,794001,,0,,27.08,697359,1536752,293225,1010576,202412,1804577,,313217,267825,0
198564,,7716,昱臺國際,,5416,,4,上櫃,113,,,,435384,,433243,,0,,21.66,181024,462166,200000,241114,29263,676498,2141,60090,214332,0
93747,,7717,萊德光電-KY,,1855,,4,上櫃,113,,0,,565433,,561028,,0,,26.00,224244,652992,215818,331200,249608,896633,4405,106956,243641,0
698626,,7718,友鋮,,904,,4,上櫃,113,,,,1316913,,1316913,,0,,32.20,441078,1193590,408965,632076,208418,1948989,0,190998,755399,0
132615,,7723,築間,,-1189,,4,上櫃,113,,0,,1085521,,1087384,,0,,23.72,1375687,809144,458395,3780239,497563,4865760,-1863,2404552,4056616,0
134287,,7728,光焱科技,,-183,,4,上櫃,113,,,,325696,,325696,,0,,26.45,125605,421152,123141,130487,68451,456183,,4882,35031,0
2209313,,7734,印能科技,0,1625,,4,上櫃,113,,,,3216157,,3204525,,0,,159.55,676906,3668451,200850,1144374,792737,4360531,11632,467468,692080,0
247339,,7738,東聯互動,,19965,,4,上櫃,113,,,,1267555,,1267555,,0,,51.00,273354,1427728,248558,280213,751693,1547768,,6859,120040,0
105426,,7743,金利食安,,,,4,上櫃,113,,,,569590,,569590,,0,,17.07,159063,520772,333633,383533,130531,953123,,224470,432351,0
561629,,7744,崴寶,,4996,,4,上櫃,113,,,,1223731,,1223731,,0,,42.64,655147,1157338,287000,717231,370106,1940962,,62084,783624,0
114566,,7747,昕奇雲端,,4433,,4,上櫃,113,,0,,540804,,505975,,0,,21.42,388542,729261,236260,396440,150716,937244,34829,7898,207983,0
875521,,7751,竑騰,,-81,,4,上櫃,113,,,,1202793,,1200598,,0,,49.18,923326,2040405,244116,946299,81042,2149092,2195,22973,108687,0
94615,,7753,星亞,,,,4,上櫃,113,,,,336220,,,,0,,15.21,345149,633849,221000,409371,20605,745591,,64222,111742,0
322217,,7757,金色三麥,,-1008,,4,上櫃,113,,0,,845913,,825518,,0,,37.66,455689,548573,219180,778538,285129,1624451,20395,322849,1075878,0
385978,,7767,仁大資訊,,-50,,4,上櫃,113,,,,730478,,730478,,0,,27.48,939431,1128960,265800,1007062,78750,1737540,0,67631,608580,0
192004,,7770,君曜,,51,,4,上櫃,113,,0,,473785,,473785,,0,,17.44,176448,653700,271721,253107,10009,726892,,76659,73192,0
160665,,7772,耀穎,,,,4,上櫃,113,,0,,672939,,,,0,,27.95,159354,406363,240786,491898,271488,1164837,,332544,758474,0
84863,,7777,能率亞洲,,90963,,4,上櫃,113,,0,,1865075,,,,0,,11.13,20420,396227,1675000,20420,14249,1885495,,,1489268,0
84249,,7782,光速火箭,,,,4,上櫃,113,-2736,0,,437672,,437672,,65000,,20.68,152340,514193,212270,191245,143889,628917,,38905,114724,0
1042474,,7792,安葆,,-5599,,4,上櫃,113,,0,,2613133,,2613133,,0,,61.24,2299418,4619772,426720,2600222,1149538,5213355,,300804,593583,0
33099,,7794,宏碁智新,,-1202,,4,上櫃,113,,0,,328384,,328384,,0,,13.14,407996,580799,250000,818958,46487,1147342,,410962,566543,0
5008055,,7805,威聯通,,225382,,4,上櫃,113,0,0,,5932682,,5932682,,0,,197.72,2074012,3778220,300051,2223114,399194,8155796,0,149102,4377576,0
138060,,7810,捷創科技,,511,,4,上櫃,113,,,,624411,,624411,,0,,34.69,118959,580833,180000,144446,305840,768857,,25487,188024,0
394189,,7811,民盛,,62334,,4,上櫃,113,,,,1742565,,1742565,,0,,57.36,685325,1418197,303770,774243,982272,2516808,,88918,1098611,0
-163046,,7814,海昌生技,,,,4,上櫃,113,,0,,299111,,299111,,0,,7.48,29294,263819,400000,31037,62157,330148,,1743,66329,0
140032,,7819,精誠金融,0,,,4,上櫃,113,,,,435582,,,,0,,19.83,119663,409842,219635,162303,75915,597885,,42640,188043,0
97358,,7820,立盈,,,0,4,上櫃,113,,0,,612497,,,,0,,20.96,54076,365372,292255,541719,222884,1154216,,487643,788844,0
96958,,7825,和亞智慧,,-8539,,4,上櫃,113,-12750,,,367979,,367979,,425000,,16.81,289152,561726,223171,410839,69139,778818,,121687,217092,0
149887,,7828,創新服務,,23,,4,上櫃,113,,0,,627035,,627035,,0,,17.28,248201,728130,348094,261481,129031,888516,,13280,160386,6279911
28354,,7839,達人網,0,185,,4,上櫃,113,,0,,147432,,147432,,0,,12.40,35775,167331,118893,42317,0,189749,,6542,22418,0
16057,,7842,天能綠電,,0,,4,上櫃,113,,,,331057,,,,0,,24.52,241376,566364,135000,273402,180000,604459,,32026,38095,0
44832,,8024,佑華,,-2088,,4,上櫃,113,,,,540776,,540776,,0,,11.97,30448,417871,451601,45399,46431,586175,0,14951,168304,0
165045,,8027,鈦昇,,-2704,,4,上櫃,113,-166725,,,2829737,,2813955,,2823000,,26.66,495565,2615739,1083769,1371987,1734570,4201724,15782,876422,1585985,1949307
