保留盈餘,保留盈餘（或累積虧損）,公司代號,公司名稱,共同控制下前手權益,其他權益,合併前非屬共同控制股權,季別,市場,年度,庫藏股票,待註銷股本股數（單位：股）,權益─具證券性質之虛擬通貨,權益總計,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
568982,,1240,茂生農經,,246029,,4,上櫃,112,,,,1414811,,1353920,,0,,34.39,737041,1250539,393702,768592,145207,2183403,60891,31551,932864,0
938932,,1259,安心,,292721,,4,上櫃,112,,0,,2381490,,2365364,,0,,73.03,1871148,1364747,323895,3441487,809816,5822977,16126,1570339,4458230,0
2156690,,1264,德麥,,-47731,,4,上櫃,112,-2432,,,3866001,,3151008,,12000,,85.04,863566,3049253,370644,933535,673837,4799536,714993,69969,1750283,0
590762,,1268,漢來美食,,16858,,4,上櫃,112,0,,,2153191,,2153191,,0,,50.99,2066258,2352869,422237,4845230,1123334,6998421,,2778972,4645552,0
167545,,1294,漢田生技,,,,4,上櫃,112,,,,401381,,398089,,0,,20.56,224338,339911,193669,529562,36875,930943,3292,305224,591032,0
389463,,1295,生合,,-10701,,4,上櫃,112,,0,,942969,,942969,,0,,30.68,199281,618644,307400,943271,256807,1886240,,743990,1267596,0
445613,,1336,台翰,,-146642,,4,上櫃,112,,0,,1769496,,1769496,,0,,22.45,524779,1230707,788184,865249,682341,2634745,,340470,1404038,0
5104988,,1565,精華,,917,,4,上櫃,112,,0,,6136070,,6136070,,0,,121.71,1272499,3905024,504165,1618182,526000,7754252,,345683,3849228,0
989840,,1569,濱川,,-208817,,4,上櫃,112,,,,3266372,,3150375,,0,,25.94,2367045,3605176,1214474,3200264,1154878,6466636,115997,833219,2861460,0
380599,,1570,力肯,,3396,,4,上櫃,112,,0,,899003,,899003,,0,,17.46,87752,719584,515008,112247,,1011250,0,24495,291666,0
2302847,,1580,新麥,,-155238,,4,上櫃,112,,0,,2980825,,2856738,,0,,56.87,827702,2403227,502302,1001293,206827,3982118,124087,173591,1578891,0
581469,,1584,精剛,,27740,,4,上櫃,112,,0,,3772186,,3695683,,0,,19.20,496771,3283552,1924705,1577542,1161769,5349728,76503,1080771,2066176,0
346316,,1586,和勤,,-124368,,4,上櫃,112,-204374,0,,1459143,,1459143,,5054000,,17.96,1306407,2043954,863123,2617059,578446,4076202,,1310652,2032248,0
223546,,1591,駿吉-KY,,-166770,,4,上櫃,112,0,,,426915,,426915,,0,,12.27,43509,208602,347980,64112,22159,491027,,20603,282425,0
370074,,1593,祺驊,,-49156,,4,上櫃,112,0,0,,1360769,,1299225,,0,,32.66,380437,796190,397848,658793,580459,2019562,61544,278356,1223372,1953
1588633,,1595,川寶,,2653,,4,上櫃,112,0,,,2648086,,2644681,,0,,55.34,1372763,3004808,477861,1734005,575534,4382091,3405,361242,1377283,0
835372,,1599,宏佳騰,,-26165,,4,上櫃,112,-63380,0,,1909280,,1909280,,1500000,,26.14,553255,1391158,745287,912106,418166,2821386,,358851,1430228,0
207187,,1742,台蠟,,13411,,4,上櫃,112,-16780,0,,1304509,,1304509,,888000,,14.08,2348026,2793569,935593,2468639,165098,3773148,0,120613,979579,0
891540,,1777,生泰,,-3824,,4,上櫃,112,,,,2317409,,,,0,,51.97,507009,1420228,445917,583482,983776,2900891,,76473,1480663,0
209279,,1780,立弘,,-6077,,4,上櫃,112,,0,,1168788,,1168788,,0,,12.20,828687,1456872,957848,910116,7738,2078904,,81429,622032,0
-92832,,1781,合世,,-45882,,4,上櫃,112,,0,,335370,,335370,,0,,7.07,349359,498566,474076,375418,8,710788,,26059,212222,0
110941,,1784,訊聯,,-6416,,4,上櫃,112,-79369,,,1722173,,1187631,,2330000,,25.11,324918,1268261,496269,626466,666206,2348639,534542,301548,1080378,0
3119641,,1785,光洋科,,-250212,,4,上櫃,112,,,,12958612,,12946630,,0,,21.71,6634031,17404780,5964432,13501071,4112769,26459683,11982,6867040,9054903,0
943984,,1788,杏昌,,-7314,,4,上櫃,112,,0,,2983868,,2983868,,0,,67.02,1123057,2509888,445210,1634017,1601988,4617885,,510960,2107997,0
186693,,1796,金穎生技,,-2790,,4,上櫃,112,,0,,892837,,892837,,0,,21.54,189859,397132,414598,282538,294336,1175375,,92679,778243,0
-570156,,1799,易威,,-11089,,4,上櫃,112,,0,,623796,,612813,,0,,5.29,127567,507635,1158658,589988,35400,1213784,10983,462421,706149,0
89787,,1813,寶利徠,,-17074,,4,上櫃,112,,0,,770858,,774951,,0,,16.62,262523,415049,466355,276557,235883,1047415,-4093,14034,632366,0
99859,,1815,富喬,,8780,,4,上櫃,112,,,,6590275,,6590275,,0,,14.36,2099578,3956563,4590210,6881511,1891426,13471786,,4781933,9515223,0
964507,,2035,唐榮公司,,147322,,4,上櫃,112,,,,4611875,,,,0,,13.18,2150850,2628193,3500000,12054593,46,16666468,,9903743,14038275,0
-22269,,2061,風青,,-2941,,4,上櫃,112,0,0,,481341,,481341,,0,,10.22,485205,750603,471083,514642,35468,995983,,29437,245380,0
303593,,2063,世鎧精密,,3137,,4,上櫃,112,0,0,,1076901,,1076901,,0,,21.71,333243,1367937,495995,920125,274176,1997026,,586882,629089,0
256995,,2064,晉椿,,-17812,,4,上櫃,112,-4104,0,,1033555,,1032928,,300000,,14.90,1457589,1130233,696300,1559609,101549,2593164,627,102020,1462931,0
575782,,2065,世豐,,80169,,4,上櫃,112,0,,,1694394,,1694394,,0,,31.73,1335800,1491444,533998,1699526,504445,3393920,,363726,1902476,0
1080518,,2066,世德,,-2927,,4,上櫃,112,-26095,0,,1901538,,1901538,,500000,,45.69,798267,2608770,421169,1521313,428873,3422851,0,723046,814081,0
