保留盈餘,保留盈餘（或累積虧損）,公司代號,公司名稱,共同控制下前手權益,其他權益,合併前非屬共同控制股權,季別,市場,年度,庫藏股票,待註銷股本股數（單位：股）,權益─具證券性質之虛擬通貨,權益總計,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
663134,,1240,茂生農經,,628758,,3,上櫃,113,,,,1898591,,1850486,,0,,44.76,664956,1694256,413387,731345,145207,2629936,48105,66389,935680,0
951436,,1259,安心,,350745,,3,上櫃,113,,0,,2449808,,2435892,,0,,75.21,2003041,1319864,323895,3964259,809816,6414067,13916,1961218,5094203,0
2218568,,1264,德麥,,12643,,3,上櫃,113,-2432,,,4048087,,3273260,,12000,,88.34,1207201,3023003,370644,1281013,673837,5329100,774827,73812,2306097,0
559855,,1268,漢來美食,,98665,,3,上櫃,113,0,,,2204091,,2204091,,0,,52.20,2089386,2378278,422237,4797179,1123334,7001270,,2707793,4622992,0
214730,,1294,漢田生技,,,,3,上櫃,113,,,,790041,,786940,,0,,28.51,161262,605793,276008,395421,296202,1185462,3101,234159,579669,0
491570,,1295,生合,,5243,,3,上櫃,113,,0,,1061020,,1061020,,0,,33.84,308447,716517,313548,1196805,250659,2257825,,888358,1541308,0
532120,,1336,台翰,,-72867,,3,上櫃,113,,0,,1912268,,1912268,,0,,24.43,660476,1176924,782864,957096,670151,2869364,,296620,1692440,0
5272915,,1565,精華,,1597,,3,上櫃,113,,0,,6304677,,6304677,,0,,125.05,1041909,3835863,504165,1359982,526000,7664659,,318073,3828796,0
795085,,1569,濱川,,-70258,,3,上櫃,113,,,,3118736,,2972732,,0,,24.48,2427759,3238664,1214474,3164009,1033431,6282745,146004,736250,3044081,0
429925,,1570,力肯,,40288,,3,上櫃,113,0,0,,985221,,985221,,0,,19.13,181044,891220,515008,206746,0,1191967,0,25702,300747,0
2356300,,1580,新麥,,-51224,,3,上櫃,113,,,,3146034,,3014205,,0,,60.01,841347,2380964,502302,954972,206827,4101006,131829,113625,1720042,0
629005,,1584,精剛,,23904,,3,上櫃,113,,0,,3813996,,3739383,,0,,19.43,1697235,3691143,1924705,3686961,1161769,7500957,74613,1989726,3809814,0
370223,,1586,和勤,,-65068,,3,上櫃,113,-220324,0,,1538011,,1538011,,5554000,,18.98,1166713,1974129,868495,2373671,584685,3911682,,1206958,1937553,0
171968,,1591,駿吉-KY,,-109057,,3,上櫃,113,0,,,506512,,506512,,0,,14.05,37361,269787,360480,40264,83121,546776,,2903,276989,0
358440,,1593,祺驊,,-38147,,3,上櫃,113,0,0,,1372463,,1298102,,0,,32.63,369026,804682,397848,631896,579961,2004359,74361,262870,1199677,0
1535777,,1595,川寶,,9432,,3,上櫃,113,0,,,2661307,,2661451,,0,,55.48,1249050,3068330,479684,1848081,636558,4509388,-144,599031,1441058,0
904360,,1599,宏佳騰,,-34249,,3,上櫃,113,-63380,0,,1993530,,1970184,,1500000,,26.98,705590,1635838,745287,1107016,418166,3100546,23346,401426,1464708,0
320600,,1742,台蠟,,15093,,3,上櫃,113,-16780,0,,1419604,,1419604,,888000,,15.32,387102,895984,935593,531898,165098,1951502,,144796,1055518,0
