保留盈餘,保留盈餘（或累積虧損）,公司代號,公司名稱,共同控制下前手權益,其他權益,合併前非屬共同控制股權,季別,市場,年度,庫藏股票,待註銷股本股數（單位：股）,權益─具證券性質之虛擬通貨,權益總計,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
861201,,1240,茂生農經,,110049,,1,上櫃,115,,,,1617973,,1557853,,0,,35.22,610593,1220776,442324,657490,144279,2275463,60120,46897,1054687,0
963001,,1259,安心,,465945,,1,上櫃,115,,0,,2571145,,2562657,,0,,79.12,2026357,1196902,323895,3885013,809816,6456158,8488,1858656,5259256,0
2265969,,1264,德麥,,37459,,1,上櫃,115,0,,,4163339,,3347171,,0,,90.34,1820028,3387125,370524,1926522,673219,6089861,816168,106494,2702736,0
1016975,,1268,漢來美食,,-9865,,1,上櫃,115,,,,2552681,,2552681,,0,,60.46,2060201,2299358,422237,4643136,1123334,7195817,,2582935,4896459,0
280782,,1294,漢田生技,,,,1,上櫃,115,-28362,,,874982,,871908,,300000,,28.80,224694,608049,305716,318682,313772,1193664,3074,93988,585615,0
489626,,1295,生合,,14129,,1,上櫃,115,,0,,1250668,,1250668,,0,,36.28,921196,960816,344748,2042383,402165,3293051,,1121187,2332235,0
544381,,1336,台翰,,-118267,,1,上櫃,115,,0,,1879129,,1879129,,0,,24.21,1057635,1262838,776144,1360146,676871,3239275,,302511,1976437,0
5296933,,1565,精華,,2126,,1,上櫃,115,,0,,6329224,,6329224,,0,,125.54,1117579,3948087,504165,1284722,526000,7613946,,167143,3665859,0
-127683,,1569,濱川,,-28645,,1,上櫃,115,,,,3270327,,3095842,,0,,21.46,2576382,3671340,1442474,3383095,1809696,6653422,174485,806713,2982082,0
462866,,1570,力肯,,61631,,1,上櫃,115,,0,,1039505,,1039505,,0,,20.18,83186,850348,515008,91854,,1131359,,8668,281011,0
2300964,,1580,新麥,,-8434,,1,上櫃,115,,,,3167728,,2998295,,0,,60.77,1203297,2800330,493392,1427020,212373,4594748,169433,223723,1794418,0
555493,,1584,精剛,,-47957,,1,上櫃,115,-177757,0,,4770591,,4698919,,7518000,,20.89,1851676,3042517,2324705,2992637,2044435,7763228,71672,1140961,4720711,0
323973,,1586,和勤,,-29865,,1,上櫃,115,-220324,0,,1974964,,1974964,,5554000,,19.50,1141147,1788709,1068495,1616438,832685,3591402,,475291,1802693,0
30358,,1591,駿吉-KY,,-114097,,1,上櫃,115,,,,445894,,445894,,0,,11.72,291864,444474,380480,322662,149153,768556,,30798,324082,0
355979,,1593,祺驊,,-53052,,1,上櫃,115,,,,1403269,,1286945,,0,,32.35,486005,1435719,397848,741228,586170,2144497,116324,255223,708778,0
1368550,,1595,川寶,,2988,,1,上櫃,115,-7623,,,2687782,,2687503,,233000,,49.80,831365,2365347,541995,1198208,781593,3885990,279,366843,1520643,0
810814,,1599,宏佳騰,,-52405,,1,上櫃,115,-95750,0,,1901909,,1859539,,2500000,,25.82,663472,1381244,745287,926753,451593,2828662,42370,263281,1447418,0
171733,,1742,台蠟,,16727,,1,上櫃,115,0,0,,1277646,,1277646,,0,,13.79,16652,272653,926713,70025,162473,1347671,,53373,1075018,0
1057255,,1777,生泰,,-3382,,1,上櫃,115,,,,2483566,,,,0,,55.70,474354,1618432,445917,539775,983776,3023341,,65421,1404909,0
302481,,1780,立弘,,-3563,,1,上櫃,115,,0,,1274106,,1274106,,0,,13.24,863473,1544315,962432,907336,12756,2181442,,43863,637127,0
-139328,,1781,合世,,-58201,,1,上櫃,115,,0,,311654,,311654,,0,,6.57,154888,435769,474076,351657,35107,663311,,196769,227542,0
69514,,1784,訊聯,,-8468,,1,上櫃,115,-120579,0,,2216690,,1239892,,2815000,,24.65,456857,1932689,531212,883066,768213,3099756,976798,426209,1167067,0
6497396,,1785,光洋科,,-22271,,1,上櫃,115,,,,17234390,,16634762,,0,,27.91,16538096,30427096,5959802,21945053,4199835,39179443,599628,5406957,8752347,0
1153803,,1788,杏昌,,-44729,,1,上櫃,115,,0,,3156272,,3156272,,0,,70.89,1519398,2704855,445210,2112420,1601988,5268692,,593022,2563837,0
74125,,1796,金穎生技,,-1631,,1,上櫃,115,,0,,781428,,781428,,0,,18.85,177816,576964,414598,480786,294336,1262214,,302970,685250,0
-740538,,1799,易威,,24129,,1,上櫃,115,,0,,733163,,719456,,0,,5.77,293556,718569,1246895,605130,188970,1338293,13707,311574,619724,0
20083,,1813,寶利徠,,-18472,,1,上櫃,115,,,,660565,,687626,,0,,14.74,278515,298111,466355,288946,219660,949511,-27061,10431,651400,0
1470488,,1815,富喬,,-237868,,1,上櫃,115,-14441,,,13179802,,13179802,,600000,,22.53,2083591,6997720,5854795,6326308,6106828,19506110,,4242717,12508390,0
-1214087,,2035,唐榮公司,,103597,,1,上櫃,115,,,,2389556,,,,0,,6.83,3307923,3732488,3500000,15427495,46,17817051,,12119572,14084563,0
-36327,,2061,風青,,7492,,1,上櫃,115,,0,,634484,,634484,,0,,11.06,559112,976322,573781,590869,89538,1225353,,31757,249031,0
339594,,2063,世鎧精密,,-134219,,1,上櫃,115,-60,,,928236,,928236,,2000,,19.30,780307,1084492,481015,1057096,241906,1985332,,276789,900840,0
153545,,2064,晉椿,,-15708,,1,上櫃,115,,,,933473,,932704,,0,,13.45,1394658,1068561,693300,1490582,101567,2424055,769,95924,1355494,0
500862,,2065,世豐,,-161732,,1,上櫃,115,0,,,1752841,,1752841,,0,,27.60,1106779,1417868,635167,1788704,778544,3541545,,681925,2123677,0
1285234,,2066,世德,,-21657,,1,上櫃,115,-16753,0,,2207212,,2207212,,260000,,49.95,1347175,2661996,444495,1638361,515893,3845573,,291186,1183577,0
-371858,,2067,嘉鋼,,152105,,1,上櫃,115,,,,268685,,231629,,0,,5.13,1361177,843675,451382,1662253,,1930938,37056,301076,1087263,0
607321,,2070,精湛,,-44449,,1,上櫃,115,,0,,1139440,,1139440,,0,,27.27,444560,1026852,417828,541958,158740,1681398,,97398,654546,0
69196,,2073,雄順,,-2380,,1,上櫃,115,,,,405019,,,,0,,14.73,193461,196747,275000,310635,63203,715654,,117174,518907,0
615507,,2221,大甲,0,-232,,1,上櫃,115,0,0,0,1194431,,1098159,,0,,25.95,360278,1227831,423250,525181,59634,1719612,96272,164903,491781,0
168062,,2230,泰茂,,-8731,,1,上櫃,115,-6954,,,1117085,,1098386,,206000,,16.19,562143,1270052,680296,761851,265713,1878936,18699,199708,608884,0
386411,,2235,謚源,,0,,1,上櫃,115,,,,1242993,,,,0,,34.64,134975,476388,358780,177690,497802,1420683,,42715,944295,0
937013,,2596,綠意,,0,,1,上櫃,115,,,,2483202,,2126221,,0,,21.26,3783929,5716572,1000000,3783929,189208,6267131,356981,,550559,0
766865,,2640,大車隊,,-587,,1,上櫃,115,,0,,1940156,,1856861,,0,,31.33,1679740,1744334,592650,2014392,497933,3954548,83295,334652,2210214,0
2791645,,2641,正德,,385274,,1,上櫃,115,,0,,9205158,,8287331,,0,,25.09,1386448,3261172,3303337,6367791,1807075,15572949,917827,4981343,12311777,0
1199436,,2643,捷迅,,69396,,1,上櫃,115,,,,2039937,,2039937,,0,,58.28,783475,2429724,350000,895080,421105,2935017,,111605,505293,0
4923644,,2718,全心投控,,-14967,,1,上櫃,115,-19756,0,,6491872,,6491872,,379000,,74.45,896581,5017661,875760,1410843,727191,7902715,,514262,2885054,0
52498,,2719,燦星旅,,,,1,上櫃,115,,0,,760054,,760054,,0,,10.99,280925,695646,691825,360529,15731,1120583,,79604,424937,0
-164974,,2724,藝舍-KY,,-9472,,1,上櫃,115,,0,,429673,,422118,,0,,7.08,60862,436707,596564,73510,,503183,7555,12648,66476,0
-17669,,2726,雅茗-KY,,-49005,,1,上櫃,115,-15512,,,377380,,368782,,232637,,9.78,152373,244871,379225,288879,71743,666259,8598,136506,421388,0
817913,,2729,瓦城,,-14430,,1,上櫃,115,-83575,0,,2541206,,2518591,,407000,,59.07,2494177,1350103,430408,3695921,1368275,6237127,22615,1201744,4887024,0
336547,,2732,六角,,-18418,,1,上櫃,115,-177744,,,2160843,,1740470,,1823000,,38.94,2110782,2154763,465186,3683315,1134899,5844158,420373,1572533,3689395,0
-187235,,2734,易飛網,,-4643,,1,上櫃,115,,,,665094,,662943,,0,,11.58,291846,583359,572598,342938,282223,1008032,2151,51092,424673,0
2469,,2736,富野,,-55575,,1,上櫃,115,,0,,1457291,,1409674,,0,,17.63,298081,355253,799721,906840,663059,2364131,47617,608759,2008878,0
-359797,,2740,華軒,,-13,,1,上櫃,115,,,,141977,,141977,,0,,8.47,23191,146423,167620,57206,334167,199183,,34015,52760,0
574567,,2743,山富,,,,1,上櫃,115,,,,1256327,,1256327,,0,,26.84,1651178,2444054,468152,1960427,213608,3216754,,309249,772700,0
