CompanyName,Date,SecuritiesCompanyCode,保留盈餘,共同控制下前手權益,其他權益,合併前非屬共同控制股權,季別,年度,庫藏股票,待註銷股本股數（單位：股）,權益─具證券性質之虛擬通貨,權益總計,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
實威,1150904,8416,1193550.00,,13463.00,,2,115,,0.00,,1621745.00,1621745.00,0.00,57.49,562264.00,1176476.00,282107.00,598967.00,132625.00,2220712.00,,36703.00,1044236.00,0.00
旭源,1150904,8421,205556.00,,-93392.00,,2,115,-19455.00,0.00,,771741.00,730223.00,1270000.00,13.64,685598.00,998592.00,548171.00,1215320.00,89343.00,1987061.00,41518.00,529722.00,988469.00,0.00
保綠-KY,1150904,8423,109847.00,,-46540.00,,2,115,,0.00,,617832.00,617832.00,0.00,14.81,129134.00,318264.00,417140.00,347206.00,137385.00,965038.00,,218072.00,646774.00,0.00
惠普,1150904,8424,683714.00,,,,2,115,,,,1106495.00,1106495.00,0.00,30.69,227796.00,616695.00,360544.00,250548.00,62237.00,1357043.00,,22752.00,740348.00,0.00
紅木-KY,1150904,8426,608880.00,,-244369.00,,2,115,,,,1160847.00,1160847.00,0.00,23.10,675751.00,1206565.00,502425.00,1119415.00,293911.00,2280262.00,,443664.00,1073697.00,0.00
匯鑽科,1150904,8431,-88299.00,,1266.00,,2,115,-83793.00,,,811666.00,677161.00,1523000.00,14.33,612590.00,1091035.00,487783.00,1533094.00,360204.00,2344760.00,134505.00,920504.00,1253725.00,0.00
東生華,1150904,8432,565544.00,0.00,5779.00,,2,115,,,,1677301.00,1414989.00,0.00,36.85,343616.00,1488496.00,383981.00,348659.00,459685.00,2025960.00,262312.00,5043.00,537464.00,0.00
弘帆,1150904,8433,1434513.00,,72792.00,,2,115,,,,2373180.00,2373180.00,0.00,43.54,1914107.00,2220151.00,545062.00,2255158.00,320813.00,4628338.00,,341051.00,2408187.00,0.00
鉅邁,1150904,8435,368925.00,,-8815.00,,2,115,,0.00,,1013899.00,940110.00,0.00,26.71,334518.00,1015175.00,352004.00,393517.00,227996.00,1407416.00,73789.00,58999.00,392241.00,0.00
大江,1150904,8436,4445635.00,,31500.00,,2,115,-445277.00,0.00,,8981486.00,7668076.00,7546000.00,69.59,4511026.00,7657144.00,1177288.00,5206536.00,2458930.00,14188022.00,1313410.00,695510.00,6530878.00,0.00
大地-KY,1150904,8437,1383869.00,,-259634.00,,2,115,0.00,0.00,,2394698.00,2394698.00,0.00,50.94,316839.00,1040304.00,470141.00,335631.00,800322.00,2730329.00,,18792.00,1690025.00,0.00
綠電,1150904,8440,162169.00,,,,2,115,,0.00,,666218.00,666218.00,0.00,13.26,167181.00,379738.00,502553.00,225768.00,1496.00,891986.00,,58587.00,512248.00,0.00
綠河-KY,1150904,8444,-1679318.00,,607740.00,,2,115,-33670.00,0.00,,143927.00,145801.00,497000.00,1.17,6882792.00,361376.00,1251049.00,7442891.00,0.00,7586818.00,-1874.00,560099.00,7225442.00,0.00
華研,1150904,8446,1240899.00,,-3672.00,,2,115,,0.00,,2011238.00,2012471.00,0.00,38.03,846636.00,1603379.00,529144.00,928093.00,246100.00,2939331.00,-1233.00,81457.00,1335952.00,0.00
霹靂,1150904,8450,-14431.00,,-183808.00,,2,115,,0.00,,411956.00,408091.00,0.00,7.95,242530.00,353100.00,513099.00,532317.00,93231.00,944273.00,3865.00,289787.00,591173.00,0.00
大拓-KY,1150904,8455,316870.00,,-37379.00,,2,115,,,,641089.00,556552.00,0.00,22.07,757807.00,803355.00,252191.00,867389.00,24870.00,1508478.00,84537.00,109582.00,705123.00,0.00
納維康,1150904,8472,-11674.00,,292.00,,2,115,,,,258848.00,258848.00,0.00,14.59,498951.00,318233.00,177358.00,735348.00,92872.00,994196.00,,236397.00,675963.00,0.00
創業家,1150904,8477,-276781.00,,91943.00,,2,115,,,,726963.00,707696.00,0.00,8.41,269083.00,836803.00,841706.00,285192.00,50828.00,1012155.00,19267.00,16109.00,175352.00,0.00
三貝德,1150904,8489,78330.00,,67.00,,2,115,0.00,,,1386810.00,951682.00,0.00,15.87,1370344.00,1655454.00,599491.00,2461121.00,273794.00,3847931.00,435128.00,1090777.00,2192477.00,0.00
裕國,1150904,8905,1310007.00,,63236.00,,2,115,-36820.00,,,2741613.00,2741196.00,4123000.00,23.77,734840.00,1800653.00,1194400.00,951119.00,210373.00,3692732.00,417.00,216279.00,1892079.00,0.00
花王,1150904,8906,-52359.00,,75810.00,,2,115,-53839.00,,,466684.00,466684.00,1887203.00,11.07,377868.00,188623.00,440374.00,2949907.00,56698.00,3416591.00,,2572039.00,3227968.00,0.00
欣雄,1150904,8908,1101952.00,,-86830.00,,2,115,-223254.00,,,4141916.00,4042551.00,5414000.00,13.04,3780544.00,5168179.00,3247645.00,7861099.00,3038.00,12003015.00,99365.00,4080555.00,6834836.00,0.00
光隆,1150904,8916,1746547.00,,-293635.00,,2,115,-84740.00,,,5058601.00,5038263.00,1784000.00,33.85,4328089.00,4970801.00,1506251.00,5347142.00,2163840.00,10405743.00,20338.00,1019053.00,5434942.00,0.00
欣泰,1150904,8917,977197.00,,28465.00,,2,115,,,,2632186.00,,0.00,16.18,1899002.00,2858638.00,1626524.00,3522829.00,,6155015.00,,1623827.00,3296377.00,0.00
沈氏,1150904,8921,61806.00,,359143.00,,2,115,,0.00,,1247292.00,1139214.00,0.00,24.45,237988.00,337914.00,465922.00,821857.00,252343.00,2069149.00,108078.00,583869.00,1731235.00,0.00
時報,1150904,8923,135314.00,,-8740.00,,2,115,,0.00,,443132.00,443132.00,0.00,14.59,428370.00,621355.00,303758.00,477228.00,12800.00,920360.00,,48858.00,299005.00,0.00
大田,1150904,8924,2690039.00,,273189.00,,2,115,,,,3902467.00,3902467.00,0.00,46.57,1327853.00,3637701.00,838000.00,1511297.00,101239.00,5413764.00,,183444.00,1776063.00,0.00
北基,1150904,8927,409711.00,,-62940.00,,2,115,0.00,0.00,,8694157.00,5593720.00,0.00,13.35,9466091.00,5979711.00,4190683.00,24466431.00,1056266.00,33160588.00,3100437.00,15000340.00,27180877.00,0.00
鉅明,1150904,8928,604715.00,0.00,-20445.00,,2,115,0.00,0.00,,1092974.00,1092974.00,0.00,21.49,1176316.00,1310239.00,508540.00,1908576.00,164.00,3001550.00,0.00,732260.00,1691311.00,0.00
富堡,1150904,8929,48989.00,,34971.00,,2,115,,0.00,,820015.00,805967.00,0.00,15.93,401999.00,929645.00,505809.00,510281.00,216198.00,1330296.00,14048.00,108282.00,400651.00,0.00
青鋼,1150904,8930,477599.00,,0.00,,2,115,-47934.00,,,1380145.00,,1522000.00,17.19,244120.00,1081491.00,818094.00,719990.00,132386.00,2100135.00,,475870.00,1018644.00,0.00
大汽電,1150904,8931,811104.00,,-58265.00,,2,115,,,,1975388.00,,0.00,16.16,1067397.00,726159.00,1222549.00,3217426.00,0.00,5192814.00,,2150029.00,4466655.00,0.00
智通*,1150904,8932,895891.00,,60862.00,,2,115,-248408.00,,,2487035.00,2455229.00,3832000.00,6.93,1100052.00,2760940.00,1065033.00,1493553.00,681851.00,3980588.00,31806.00,393501.00,1219648.00,0.00
愛地雅,1150904,8933,-1825196.00,,-10290.00,,2,115,,,,1534074.00,1534074.00,0.00,4.70,1939643.00,2656120.00,3267243.00,2391523.00,102317.00,3925597.00,,451880.00,1269477.00,0.00
邦泰,1150904,8935,-239324.00,,-29060.00,,2,115,,,,866566.00,866566.00,0.00,7.64,327556.00,578095.00,1134950.00,575679.00,0.00,1442245.00,,248123.00,864150.00,0.00
國統,1150904,8936,2572408.00,,-169726.00,,2,115,,0.00,,8149665.00,6333892.00,0.00,25.53,3766316.00,6897417.00,2480782.00,6333382.00,1450428.00,14483047.00,1815773.00,2567066.00,7585630.00,0.00
合騏*,1150904,8937,-114822.00,,-27865.00,,2,115,-259642.00,,,2767582.00,2380192.00,1735000.00,5.54,3127395.00,590139.00,1079201.00,3270765.00,1703320.00,6038347.00,387390.00,143370.00,5448208.00,0.00
明安,1150904,8938,4072492.00,,31632.00,,2,115,-200920.00,0.00,,7674929.00,7674929.00,2629000.00,49.72,3479786.00,7051694.00,1569865.00,5197297.00,2201860.00,12872226.00,,1717511.00,5820532.00,0.00
關中,1150904,8941,318422.00,,273992.00,,2,115,,,,1063042.00,1000827.00,0.00,28.62,943934.00,1327790.00,349721.00,1184641.00,58692.00,2247683.00,62215.00,240707.00,919893.00,0.00
森鉅,1150904,8942,5790538.00,,32680.00,,2,115,,,,11387684.00,10280336.00,0.00,51.70,3319713.00,5019306.00,1988423.00,4555539.00,2468695.00,15943223.00,1107348.00,1235826.00,10923917.00,0.00
琉園,1150904,9949,32096.00,,2317.00,,2,115,,,,499486.00,499486.00,0.00,11.13,32186.00,432948.00,448608.00,50446.00,16465.00,549932.00,0.00,18260.00,116984.00,0.00
萬國通,1150904,9950,-293233.00,,2951.00,,2,115,,,,1416320.00,1416320.00,0.00,8.44,1096436.00,1420687.00,1677160.00,2704288.00,29442.00,4120608.00,0.00,1607852.00,2699921.00,0.00
皇田,1150904,9951,3045497.00,,108074.00,,2,115,-75566.00,0.00,,3811005.00,3811005.00,1425000.00,53.02,2362930.00,4656340.00,733000.00,2587083.00,0.00,6398088.00,,224153.00,1741748.00,0.00
邁達康,1150904,9960,241682.00,,93763.00,,2,115,,,,706508.00,706508.00,0.00,21.03,255100.00,717207.00,335925.00,399102.00,35138.00,1105610.00,,144002.00,388403.00,0.00
有益,1150904,9962,172599.00,,-8259.00,,2,115,,0.00,,1074928.00,1074928.00,0.00,11.91,418403.00,1087739.00,902203.00,425683.00,8385.00,1500611.00,0.00,7280.00,412872.00,0.00
