保留盈餘,保留盈餘（或累積虧損）,公司代號,公司名稱,共同控制下前手權益,其他權益,合併前非屬共同控制股權,季別,市場,年度,庫藏股票,待註銷股本股數（單位：股）,權益─具證券性質之虛擬通貨,權益總計,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
510942,,1240,茂生農經,,227236,,3,上櫃,112,,,,1346046,,1277087,,0,,32.44,676174,1146032,393702,705626,145207,2051672,68959,29452,905640,0
921058,,1259,安心,,372810,,3,上櫃,112,,0,,2445415,,2427579,,0,,74.95,1836059,1529760,323895,3444875,809816,5890290,17836,1608816,4360530,0
1993306,,1264,德麥,,-18171,,3,上櫃,112,-2432,,,3719236,,3017184,,12000,,81.43,888591,2905170,370644,953142,673837,4672378,702052,64551,1767208,0
556225,,1268,漢來美食,,-36271,,3,上櫃,112,0,,,2065525,,2065525,,0,,48.92,1958611,2339521,422237,4781122,1123334,6846647,,2822511,4507126,0
419877,,1336,台翰,,-65097,,3,上櫃,112,,0,,1825305,,1825305,,0,,23.16,533540,1265333,788184,875912,682341,2701217,,342372,1435884,0
4995770,,1565,精華,,1072,,3,上櫃,112,,0,,6027007,,6027007,,0,,119.54,1174339,3715841,504165,1558807,526000,7585814,,384468,3869973,0
1054485,,1569,濱川,,-101699,,3,上櫃,112,,,,3434612,,3322138,,0,,27.35,2872924,3628757,1214474,3231307,1154878,6665919,112474,358383,3037162,0
379047,,1570,力肯,,-4359,,3,上櫃,112,0,0,,889696,,889696,,0,,17.28,66173,700159,515008,93587,0,983283,0,27414,283124,0
2176033,,1580,新麥,,-110988,,3,上櫃,112,,,,2897640,,2774174,,0,,55.23,816197,2243310,502302,934128,206827,3831768,123466,117931,1588458,0
290200,,1584,精剛,,19359,,3,上櫃,112,,0,,3473897,,3396033,,0,,17.64,838641,3490420,1924705,1851705,1161769,5325602,77864,1013064,1835182,0
