保留盈餘,保留盈餘（或累積虧損）,公司代號,公司名稱,共同控制下前手權益,其他權益,合併前非屬共同控制股權,季別,市場,年度,庫藏股票,待註銷股本股數（單位：股）,權益─具證券性質之虛擬通貨,權益總計,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
790802,,1240,茂生農經,,113144,,1,上櫃,114,,,,1508821,,1462540,,0,,35.38,562008,1164199,413387,637062,145207,2145883,46281,75054,981684,0
928966,,1259,安心,,316880,,1,上櫃,114,,0,,2394091,,2379557,,0,,73.47,1963780,1230629,323895,3867845,809816,6261936,14534,1904065,5031307,0
2055680,,1264,德麥,,31773,,1,上櫃,114,-2432,,,3977000,,3129502,,12000,,84.46,1529700,3212525,370644,1626675,673837,5603675,847498,96975,2391150,0
841220,,1268,漢來美食,,50003,,1,上櫃,114,,,,2436794,,2436794,,0,,57.71,1865806,2406114,422237,4503013,1123334,6939807,,2637207,4533693,0
277717,,1294,漢田生技,,,,1,上櫃,114,-28361,,,824900,,821861,,300000,,30.08,231546,567733,276233,323841,296272,1148741,3039,92295,581008,0
443105,,1295,生合,,9049,,1,上櫃,114,,0,,1019841,,1019841,,0,,32.53,582107,730347,313548,1493917,254139,2513758,,911810,1783411,0
538259,,1336,台翰,,-65470,,1,上櫃,114,,0,,1925804,,1925804,,0,,24.81,938407,1191974,776144,1248631,676871,3174435,,310224,1982461,0
5220488,,1565,精華,,2506,,1,上櫃,114,,0,,6253159,,6253159,,0,,124.03,1542730,4279717,504165,1830186,526000,8083345,,287456,3803628,0
516611,,1569,濱川,,-6134,,1,上櫃,114,,,,2921179,,2758382,,0,,22.71,3164798,3642524,1214474,3821396,1033431,6742575,162797,656598,3100051,0
483693,,1570,力肯,,33508,,1,上櫃,114,0,0,,1032209,,1032209,,0,,20.04,155108,910124,515008,167577,0,1199786,0,12469,289662,0
