保留盈餘,保留盈餘（或累積虧損）,公司代號,公司名稱,共同控制下前手權益,其他權益,合併前非屬共同控制股權,季別,市場,年度,庫藏股票,待註銷股本股數（單位：股）,權益─具證券性質之虛擬通貨,權益總計,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
772483,,1240,茂生農經,,92950,,3,上櫃,114,,,,1496014,,1452964,,0,,32.85,558940,1105707,442324,631066,145207,2127080,43050,72126,1021373,0
954217,,1259,安心,,1085626,,3,上櫃,114,,0,,3181978,,3173554,,0,,97.98,2049215,1179355,323895,3819025,809816,7001003,8424,1769810,5821648,0
2450797,,1264,德麥,,-50567,,3,上櫃,114,0,,,4213769,,3444373,,0,,92.96,1318439,3174259,370524,1395442,673619,5609211,769396,77003,2434952,0
666740,,1268,漢來美食,,1002,,3,上櫃,114,,,,2213313,,2213313,,0,,52.42,2284241,2484533,422237,4919380,1123334,7132693,,2635139,4648160,0
231570,,1294,漢田生技,,,,3,上櫃,114,-69365,,,794792,,791733,,800000,,26.15,203379,511570,312031,295841,317497,1090633,3059,92462,579063,44000
537436,,1295,生合,,-14203,,3,上櫃,114,,0,,1270146,,1270146,,0,,36.84,528677,772339,344748,1581873,402165,2852019,,1053196,2079680,0
551229,,1336,台翰,,-227150,,3,上櫃,114,,0,,1777094,,1777094,,0,,22.90,1017090,1238528,776144,1316378,676871,3093472,,299288,1854944,0
5384421,,1565,精華,,1046,,3,上櫃,114,,0,,6415632,,6415632,,0,,127.25,926772,3815264,504165,1143220,526000,7558852,,216448,3743588,0
119860,,1569,濱川,,-191876,,3,上櫃,114,,,,2829165,,2677054,,0,,20.20,2616177,3193305,1325474,3263781,1423596,6092946,152111,647604,2899641,0
453573,,1570,力肯,,33924,,3,上櫃,114,,,,1002505,,1002505,,0,,19.47,96000,840831,515008,105156,,1107661,,9156,266830,0
2429256,,1580,新麥,,-196286,,3,上櫃,114,0,,,3071379,,2931862,,0,,59.42,930081,2575877,493392,1045895,205500,4117274,139517,115814,1541397,0
493566,,1584,精剛,,-25656,,3,上櫃,114,-79414,0,,4826817,,4757636,,3134000,,20.75,1370973,3231462,2324705,2571406,2044435,7398223,69181,1200433,4166761,0
295666,,1586,和勤,,-140470,,3,上櫃,114,-220324,0,,1836052,,1836052,,5554000,,18.13,1303878,1838106,1068495,1838709,832685,3674761,,534831,1836655,0
100560,,1591,駿吉-KY,,-133302,,3,上櫃,114,,,,496859,,496859,,0,,13.06,27162,259037,380480,49403,149121,546262,,22241,287225,0
374443,,1593,祺驊,,-80955,,3,上櫃,114,,,,1367623,,1276280,,0,,32.08,418442,896484,397848,688926,584944,2056549,91343,270484,1160065,0
1416277,,1595,川寶,,-9301,,3,上櫃,114,-7623,,,2722845,,2722941,,233000,,50.46,1017973,2642663,541995,1311787,781593,4034632,-96,293814,1391969,0
853694,,1599,宏佳騰,,-8928,,3,上櫃,114,-95750,0,,1963968,,1931611,,2500000,,26.82,717026,1318823,745287,838300,437308,2802268,32357,121274,1483445,0
203629,,1742,台蠟,,13590,,3,上櫃,114,0,0,,1306405,,1306405,,0,,14.10,26610,390010,926713,143289,162473,1449694,,116679,1059684,0
1067218,,1777,生泰,,-3303,,3,上櫃,114,,0,,2493608,,,,0,,55.92,137342,1254191,445917,206831,983776,2700439,,69489,1446248,0
216073,,1780,立弘,,-5206,,3,上櫃,114,,0,,1185433,,1185433,,0,,12.32,1063731,1714060,962432,1111939,12134,2297372,,48208,583312,0
-121772,,1781,合世,,-57981,,3,上櫃,114,,0,,329430,,329430,,0,,6.95,132602,431520,474076,326711,35107,656141,,194109,224621,0
87772,,1784,訊聯,,-8681,,3,上櫃,114,-120579,0,,2243067,,1256802,,2815000,,24.98,454743,1909174,531212,855327,767078,3098394,986265,400584,1189220,0
3869054,,1785,光洋科,,-257167,,3,上櫃,114,,,,13712354,,13696284,,0,,22.98,11941103,23584657,5960222,18548177,4124175,32260531,16070,6607074,8675874,0
958320,,1788,杏昌,,-44443,,3,上櫃,114,,0,,2961075,,2961075,,0,,66.51,1504490,2555250,445210,2028596,1601988,4989671,,524106,2434421,0
94400,,1796,金穎生技,,-2946,,3,上櫃,114,,0,,800388,,800388,,0,,19.31,147149,569036,414598,457082,294336,1257470,,309933,688434,0
-731350,,1799,易威,,3642,,3,上櫃,114,,0,,675588,,669376,,0,,5.37,239525,627518,1246895,546506,150189,1222094,6212,306981,594576,0
18137,,1813,寶利徠,,-12645,,3,上櫃,114,,,,670807,,690643,,0,,14.81,304589,361749,466355,314567,218796,985374,-19836,9978,623625,0
582462,,1815,富喬,,-140643,,3,上櫃,114,-14441,,,8007135,,8007135,,600000,,15.39,3650458,5370423,5208862,8280579,2370895,16287714,,4630121,10917291,0
-1044214,,2035,唐榮公司,,106450,,3,上櫃,114,,,,2562282,,,,0,,7.32,2662472,2963960,3500000,14500803,46,17063085,,11838331,14099125,0
-59838,,2061,風青,,-4550,,3,上櫃,114,,0,,598931,,598931,,0,,10.44,501128,887160,573781,535517,89538,1134448,,34389,247288,0
296036,,2063,世鎧精密,,-127463,,3,上櫃,114,-60,0,,915485,,915485,,2000,,19.03,902658,999000,481015,1004679,265957,1920164,,102021,921164,0
138556,,2064,晉椿,,-18067,,3,上櫃,114,0,,,916026,,915355,,0,,13.20,1490189,1125603,693300,1588749,101566,2504775,671,98560,1379172,0
446862,,2065,世豐,,-169107,,3,上櫃,114,,,,1735928,,1735928,,0,,27.33,1022432,1421890,635167,1730405,823006,3466333,,707973,2044443,0
1198711,,2066,世德,,-27025,,3,上櫃,114,-10884,0,,2121190,,2121190,,165000,,47.90,1295461,2618821,444495,1629349,515893,3750539,,333888,1131718,0
-326787,,2067,嘉鋼,,147861,,3,上櫃,114,,,,320420,,272456,,0,,6.04,1258244,659084,451382,1597969,,1918389,47964,339725,1259305,0
601064,,2070,精湛,,-45880,,3,上櫃,114,,0,,917532,,917532,,0,,25.64,453550,831283,357828,563420,4520,1480952,,109870,649669,0
78647,,2073,雄順,,-1603,,3,上櫃,114,,,,415247,,,,0,,15.10,152715,160513,275000,264569,63203,679816,,111854,519303,0
561057,,2221,大甲,0,-4264,,3,上櫃,114,0,0,0,1133615,,1039677,,0,,24.56,316500,1164325,423250,510776,59634,1644391,93938,194276,480066,0
309009,,2230,泰茂,,-45422,,3,上櫃,114,,,,1228281,,1209596,,0,,17.78,499830,1294809,680296,695619,265713,1923900,18685,195789,629091,0
364591,,2235,謚源,,,,3,上櫃,114,,,,1221173,,,,0,,34.04,133513,449573,358780,184000,497802,1405173,,50487,955600,0
834880,,2596,綠意,,0,,3,上櫃,114,0,,,2383009,,2024088,,0,,20.24,3196509,5419542,1000000,3196509,189208,5579518,358921,,159976,0
952816,,2640,大車隊,,-587,,3,上櫃,114,,0,,2128435,,2042814,,0,,34.47,1404923,1783616,592650,1922035,497935,4050470,85621,517112,2266854,0
2571356,,2641,正德,,-20092,,3,上櫃,114,,0,,8264353,,7604666,,0,,23.25,740520,2579293,3270226,6343639,1783176,14607992,659687,5603119,12028699,0
1119344,,2643,捷迅,,5551,,3,上櫃,114,,,,1896000,,1896000,,0,,54.17,790348,2392609,350000,927663,421105,2823663,,137315,431054,0
4566466,,2718,全心投控,,-4958,,3,上櫃,114,-19756,0,,6144171,,6144171,,379000,,70.46,1216509,5326448,875760,1699608,726659,7843779,,483099,2517331,0
-22269,,2719,燦星旅,,,,3,上櫃,114,,0,,683970,,683970,,0,,9.89,305086,668133,694808,390768,11431,1074738,,85682,406605,213000
-148784,,2724,藝舍-KY,,-9472,,3,上櫃,114,,0,,447690,,438308,,0,,7.35,48500,455988,596564,66480,,514170,9382,17980,58182,0
45033,,2726,雅茗-KY,,-61122,,3,上櫃,114,-15512,,,297523,,286707,,233000,,10.35,203153,230188,279225,366182,39083,663705,10816,163029,433517,0
734409,,2729,瓦城,,-29197,,3,上櫃,114,-169595,0,,2444450,,2420320,,780000,,56.77,2290314,1277190,434138,3415652,1450565,5860102,24130,1125338,4582912,0
292567,,2732,六角,,-40011,,3,上櫃,114,-177744,,,2077525,,1687623,,1823000,,37.76,2248659,2041468,465186,3339133,1147625,5416658,389902,1090474,3375190,0
