保留盈餘,保留盈餘（或累積虧損）,公司代號,公司名稱,共同控制下前手權益,其他權益,合併前非屬共同控制股權,季別,市場,年度,庫藏股票,待註銷股本股數（單位：股）,權益─具證券性質之虛擬通貨,權益總計,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
821810,,1240,茂生農經,,94074,,4,上櫃,114,,,,1563745,,1502487,,0,,33.97,607739,1182791,442324,658907,144279,2222652,61258,51168,1039861,0
999917,,1259,安心,,877660,,4,上櫃,114,,0,,3019570,,3011288,,0,,92.97,2056599,1182738,323895,3847045,809816,6866615,8282,1790446,5683877,0
2617884,,1264,德麥,,9206,,4,上櫃,114,0,,,4503970,,3670833,,0,,99.07,1336043,3351777,370524,1425316,673219,5929286,833137,89273,2577509,0
768942,,1268,漢來美食,,-10897,,4,上櫃,114,,,,2303616,,2303616,,0,,54.56,2391272,2416956,422237,4775840,1123334,7079456,,2384568,4662500,0
238060,,1294,漢田生技,,,,4,上櫃,114,-28362,,,832233,,829164,,300000,,27.39,246473,591533,305716,334095,313750,1166328,3069,87622,574795,0
579704,,1295,生合,,3539,,4,上櫃,114,,0,,1330156,,1330156,,0,,38.58,639769,770075,344748,1755097,402165,3085253,,1115328,2315178,0
557044,,1336,台翰,,-150627,,4,上櫃,114,,0,,1859432,,1859432,,0,,23.96,984354,1209555,776144,1282941,676871,3142373,,298587,1932818,0
5519093,,1565,精華,,1645,,4,上櫃,114,,0,,6550903,,6550903,,0,,129.94,1053978,4079648,504165,1255934,526000,7806837,,201956,3727189,0
-25934,,1569,濱川,,-90445,,4,上櫃,114,,,,2796902,,2632691,,0,,19.86,2820983,3393657,1325474,3533710,1423596,6330612,164211,712727,2936955,0
450770,,1570,力肯,,49252,,4,上櫃,114,,,,1015030,,1015030,,0,,19.71,93114,846338,515008,102287,,1117317,,9173,270979,0
2585553,,1580,新麥,,-71532,,4,上櫃,114,0,,,3370402,,3212913,,0,,65.12,972507,2905366,493392,1175056,205500,4545458,157489,202549,1640092,0
542185,,1584,精剛,,-14498,,4,上櫃,114,-177757,0,,4784278,,4719070,,7518000,,20.98,1983925,3182677,2324705,3157030,2044435,7941308,65208,1173105,4758631,0
306511,,1586,和勤,,-69869,,4,上櫃,114,-220324,0,,1917498,,1917498,,5554000,,18.93,1254898,1860331,1068495,1777130,832685,3694628,,522232,1834297,0
75179,,1591,駿吉-KY,,-122886,,4,上櫃,114,,0,,481926,,481926,,0,,12.67,187737,390035,380480,219879,149153,701805,,32142,311770,0
412541,,1593,祺驊,,-65745,,4,上櫃,114,,,,1430907,,1329859,,0,,33.43,450810,979279,397848,713759,585215,2144666,101048,262949,1165387,0
1408869,,1595,川寶,,-3218,,4,上櫃,114,-7623,,,2721895,,2721616,,233000,,50.43,629356,2361298,541995,1007414,781593,3729309,279,378058,1368011,0
826791,,1599,宏佳騰,,-48166,,4,上櫃,114,-95750,0,,1896417,,1865470,,2500000,,25.90,450884,1156938,745287,731581,437308,2627998,30947,280697,1471060,0
184131,,1742,台蠟,,18051,,4,上櫃,114,0,0,,1291368,,1291368,,0,,13.93,23869,349651,926713,143453,162473,1434821,0,119584,1085170,0
1163971,,1777,生泰,,-3382,,4,上櫃,114,,0,,2590282,,,,0,,58.09,304490,1531253,445917,369570,983776,2959852,,65080,1428599,0
263945,,1780,立弘,,-3898,,4,上櫃,114,,0,,1234613,,1234613,,0,,12.83,800040,1521475,962432,857190,12134,2091803,,57150,570328,0
-130441,,1781,合世,,-58171,,4,上櫃,114,,0,,320571,,320571,,0,,6.76,206697,494089,474076,402557,35107,723128,,195860,229039,0
102914,,1784,訊聯,,-8885,,4,上櫃,114,-120579,0,,2257315,,1272032,,2815000,,25.29,405071,1870841,531212,822583,767370,3079898,985283,417512,1209057,0
4983032,,1785,光洋科,,-112414,,4,上櫃,114,,,,15012536,,14961333,,0,,25.10,13907705,25670392,5960022,19421914,4130693,34434450,51203,5514209,8764058,0
1049499,,1788,杏昌,,-45696,,4,上櫃,114,,0,,3051001,,3051001,,0,,68.53,1541225,2658333,445210,2032564,1601988,5083565,,491339,2425232,0
109838,,1796,金穎生技,,-2111,,4,上櫃,114,,0,,816661,,816661,,0,,19.70,158639,595484,414598,464002,294336,1280663,,305363,685179,0
-760926,,1799,易威,,15735,,4,上櫃,114,,0,,702558,,690674,,0,,5.54,278232,700008,1246895,589737,188970,1292295,11884,311505,592287,0
14906,,1813,寶利徠,,-15923,,4,上櫃,114,,,,661011,,684541,,0,,14.68,261029,295327,466355,270748,219203,931759,-23530,9719,636432,0
1012598,,1815,富喬,,-356747,,4,上櫃,114,-14441,,,12597336,,12597336,,600000,,21.56,2399258,6650606,5848862,5848603,6107064,18445939,,3449345,11795333,0
-1328208,,2035,唐榮公司,,104065,,4,上櫃,114,,,,2275903,,,,0,,6.50,3036994,3367260,3500000,15175983,46,17451886,,12138989,14084626,0
-53571,,2061,風青,,2501,,4,上櫃,114,,0,,612249,,612249,,0,,10.67,538386,934438,573781,570420,89538,1182669,,32034,248231,0
317294,,2063,世鎧精密,,-144665,,4,上櫃,114,-60,0,,919541,,919541,,2000,,19.12,756767,1060091,481015,1046644,265957,1966185,,289877,906094,0
153720,,2064,晉椿,,-13341,,4,上櫃,114,0,0,,936010,,935245,,0,,13.49,1425020,1083088,693300,1522642,101566,2458652,765,97622,1375564,0
493459,,2065,世豐,,-172363,,4,上櫃,114,0,,,1779269,,1779269,,0,,28.01,885788,1290116,635167,1611969,823006,3391238,,726181,2101122,0
1198616,,2066,世德,,-26039,,4,上櫃,114,-16753,0,,2116212,,2116212,,260000,,47.89,1317351,2591837,444495,1630377,515893,3746589,,313026,1154752,0
-341004,,2067,嘉鋼,,151124,,4,上櫃,114,,,,304571,,261502,,0,,5.79,1318795,625108,451382,1638531,0,1943102,43069,319736,1317994,0
638612,,2070,精湛,,-45474,,4,上櫃,114,,0,,955486,,955486,,0,,26.70,349070,761796,357828,454104,4520,1409590,,105034,647794,0
76921,,2073,雄順,,-2149,,4,上櫃,114,,,,412975,,,,0,,15.02,147492,157663,275000,251043,63203,664018,,103551,506355,0
586409,,2221,大甲,0,-2039,,4,上櫃,114,0,0,0,1161649,,1067254,,0,,25.22,386680,1240198,423250,567218,59634,1728867,94395,180538,488669,0
250329,,2230,泰茂,,-6841,,4,上櫃,114,,,,1208301,,1189497,,0,,17.48,669161,1485972,680296,865378,265713,2073679,18804,196217,587707,0
376628,,2235,謚源,,,,4,上櫃,114,,,,1233210,,,,0,,34.37,132140,464047,358780,179004,497802,1412214,,46864,948167,0
916547,,2596,綠意,,0,,4,上櫃,114,,,,2463810,,2105755,,0,,21.06,3858380,5770120,1000000,3858380,189208,6322190,358055,,552070,0
1100984,,2640,大車隊,,-587,,4,上櫃,114,,0,,2276475,,2191481,,0,,36.98,1525079,2061216,592650,2028194,498434,4304669,84994,503115,2243453,0
2722467,,2641,正德,,236984,,4,上櫃,114,,0,,8818978,,8069918,,0,,24.43,714117,2399226,3303130,6223071,1807337,15042049,749060,5508954,12642823,0
1175472,,2643,捷迅,,48807,,4,上櫃,114,,,,1995384,,1995384,,0,,57.01,932413,2590392,350000,1056893,421105,3052277,,124480,461885,0
4694423,,2718,全心投控,,-11155,,4,上櫃,114,-19756,0,,6265931,,6265931,,379000,,71.86,1154057,5268823,875760,1635557,726659,7901488,,481500,2632665,0
343,,2719,燦星旅,,,,4,上櫃,114,,0,,707477,,707477,,0,,10.23,294804,664411,691825,377438,15309,1084915,,82634,420504,0
-139458,,2724,藝舍-KY,,-9472,,4,上櫃,114,,0,,455896,,447634,,0,,7.50,51962,452589,596564,65954,,521850,8262,13992,69261,0
