保留盈餘,保留盈餘（或累積虧損）,公司代號,公司名稱,共同控制下前手權益,其他權益,合併前非屬共同控制股權,季別,市場,年度,庫藏股票,待註銷股本股數（單位：股）,權益─具證券性質之虛擬通貨,權益總計,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
607722,,1240,茂生農經,,255800,,1,上櫃,113,,,,1458040,,1402431,,0,,35.62,710750,1292127,393702,777013,145207,2235053,55609,66263,942926,0
912431,,1259,安心,,468537,,1,上櫃,113,,0,,2530403,,2514679,,0,,77.64,2233182,1328612,323895,3887124,809816,6417527,15724,1653942,5088915,0
1826100,,1264,德麥,,-22825,,1,上櫃,113,-2432,,,3599564,,2845324,,12000,,76.79,1125303,3055076,370644,1197637,673837,4797201,754240,72334,1742125,0
743216,,1268,漢來美食,,72475,,1,上櫃,113,0,,,2361262,,2361262,,0,,55.92,1892599,2361743,422237,4826240,1123334,7187502,,2933641,4825759,0
203170,,1294,漢田生技,,,,1,上櫃,113,,,,437615,,434383,,0,,22.37,214904,333111,194144,485179,37069,922794,3232,270275,589683,0
447101,,1336,台翰,,-78104,,1,上櫃,113,,0,,1839522,,1839522,,0,,23.49,491347,1254904,783024,835081,687501,2674603,,343734,1419699,0
4942033,,1565,精華,,1357,,1,上櫃,113,,0,,5973555,,5973555,,0,,118.48,1427757,3910503,504165,1797008,526000,7770563,,369251,3860060,0
992317,,1569,濱川,,-100500,,1,上櫃,113,,,,3394620,,3261169,,0,,26.85,2086718,3386763,1214474,2928614,1154878,6323234,133451,841896,2936471,0
388009,,1570,力肯,,31656,,1,上櫃,113,0,0,,934673,,934673,,0,,18.15,107246,752642,515008,131753,0,1066426,0,24507,313784,0
1988030,,1580,新麥,,-120283,,1,上櫃,113,,,,2687608,,2576876,,0,,51.30,1251491,2454509,502302,1430969,206827,4118577,110732,179478,1664068,0
639954,,1584,精剛,,27221,,1,上櫃,113,,0,,3827662,,3753649,,0,,19.50,532775,3271187,1924705,1589724,1161769,5417386,74013,1056949,2146199,0
365350,,1586,和勤,,-104270,,1,上櫃,113,-204374,0,,1498275,,1498275,,5054000,,18.44,1257096,2067855,863123,2550920,578446,4049195,,1293824,1981340,0
207287,,1591,駿吉-KY,,-161381,,1,上櫃,113,0,,,416045,,416045,,0,,11.96,47087,200058,347980,67014,22159,483059,,19927,283001,0
318481,,1593,祺驊,,-33861,,1,上櫃,113,0,0,,1337430,,1260613,,0,,31.69,389212,777303,397848,662034,578145,1999464,76817,272822,1222161,0
1558091,,1595,川寶,,7741,,1,上櫃,113,,,,2625122,,2622018,,0,,54.77,1389433,2921924,478754,1718023,577432,4343145,3104,328590,1421221,0
799432,,1599,宏佳騰,,-38823,,1,上櫃,113,-63380,0,,1860682,,1860682,,1500000,,25.48,595638,1394431,745287,959123,418166,2819805,,363485,1425374,0
317209,,1742,台蠟,,15107,,1,上櫃,113,-16780,0,,1416227,,1416227,,888000,,15.28,2497538,3023368,935593,2612744,165098,4028971,,115206,1005603,0
822853,,1777,生泰,,-3744,,1,上櫃,113,,0,,2248802,,,,0,,50.43,514454,1385246,445917,591861,983776,2840663,,77407,1455417,0
-78544,,1781,合世,,-46434,,1,上櫃,113,,0,,349106,,349106,,0,,7.36,265773,429479,474076,288550,8,637656,,22777,208177,0
98174,,1784,訊聯,,-6304,,1,上櫃,113,-72372,0,,1772270,,1166329,,2330000,,24.66,366637,1380217,496269,688951,650562,2461221,605941,322314,1081004,0
3550128,,1785,光洋科,,-192215,,1,上櫃,113,,,,13457384,,13433384,,0,,22.53,7288022,18295667,5962702,13901201,4112769,27358585,24000,6613179,9062918,0
1040087,,1788,杏昌,,-6107,,1,上櫃,113,,0,,3081178,,3081178,,0,,69.21,1194307,2597773,445210,1717690,1601988,4798868,,523383,2201095,0
95463,,1796,金穎生技,,-2434,,1,上櫃,113,,0,,801963,,801963,,0,,19.34,217170,435296,414598,403820,294336,1205783,,186650,770487,0
-618324,,1799,易威,,6832,,1,上櫃,113,,0,,758615,,754954,,0,,6.19,137358,661480,1218658,629626,147788,1388241,3661,492268,726761,0
108731,,1813,寶利徠,,-17943,,1,上櫃,113,,0,,786751,,793651,,0,,17.02,262861,412479,466355,278325,236508,1065076,-6900,15464,652597,0
38585,,1815,富喬,,107085,,1,上櫃,113,,,,6653178,,6653178,,0,,14.43,2233608,3721452,4609271,6757582,1898237,13410760,,4523974,9689308,0
783440,,2035,唐榮公司,,141898,,1,上櫃,113,,,,4425384,,,,0,,12.64,2051047,2388600,3500000,12045223,46,16470607,,9994176,14082007,0
-20971,,2061,風青,,338,,1,上櫃,113,,0,,485918,,485918,,0,,10.31,511632,801664,471083,557466,35468,1043384,,45834,241720,0
270440,,2063,世鎧精密,,6710,,1,上櫃,113,,,,1047415,,1047415,,0,,21.12,325562,1347000,496015,913637,274250,1961052,,588075,614052,1923
251962,,2064,晉椿,,-18830,,1,上櫃,113,-4104,,,1027866,,1027259,,300000,,14.82,1459678,1132956,696300,1560629,101931,2588495,607,100951,1455539,0
516117,,2065,世豐,,88252,,1,上櫃,113,,,,1787591,,1787591,,0,,31.43,1182148,1371507,568838,1578650,614384,3366241,,396502,1994734,0
1097060,,2066,世德,,-1543,,1,上櫃,113,-26095,0,,1863025,,1863025,,500000,,44.65,1311145,2886341,422232,2037856,371371,3900881,0,726711,1014540,0
-124085,,2067,嘉鋼,,-8344,,1,上櫃,113,,,,394385,,318953,,0,,7.07,1083752,627812,451382,1506490,,1900875,75432,422738,1273063,0
544771,,2070,精湛,,-37431,,1,上櫃,113,,0,,869688,,869688,,0,,24.30,423244,739449,357828,529627,4520,1399315,,106383,659866,0
111752,,2073,雄順,,1293,,1,上櫃,113,,,,451248,,,,0,,16.41,193500,276468,275000,363076,63203,814324,,169576,537856,0
519189,,2221,大甲,0,-2859,,1,上櫃,113,0,0,0,1054605,,991002,,0,,23.41,352924,1077156,423250,526078,51422,1580683,63603,173154,503527,0
312406,,2230,泰茂,,127,,1,上櫃,113,,,,1039693,,1024745,,0,,19.74,308036,1176754,519022,636993,193190,1676686,14948,328957,499932,778512
475075,,2235,謚源,,,,1,上櫃,113,,,,1331657,,,,0,,37.12,181705,583369,358780,265552,497802,1597209,,83847,1013840,0
852197,,2596,綠意,,0,,1,上櫃,113,,,,2404766,,2041405,,0,,20.41,2195486,4438012,1000000,2195486,189208,4600252,363361,,162240,0
567696,,2640,大車隊,,-587,,1,上櫃,113,,,,1756756,,1658382,,0,,27.98,1292251,1604826,592650,1874074,498623,3630830,98374,581823,2026004,0
1800816,,2641,正德,,358965,,1,上櫃,113,,0,,6584592,,6584592,,0,,22.03,582786,1686361,2988806,2795574,1436005,9380166,,2212788,7693805,0
1120701,,2643,捷迅,,51823,,1,上櫃,113,,,,1943629,,1943629,,0,,55.53,655634,2414036,350000,871295,421105,2814924,,215661,400888,0
