不動產及設備,不動產及設備－淨額,使用權資產,使用權資產－淨額,保留盈餘,保留盈餘（或累積虧損）,保險負債,公司代號,公司名稱,共同控制下前手權益,其他借款,其他權益,其他負債,其他資產,其他資產－淨額,其他金融負債,其他金融資產－淨額,具金融商品性質之保險契約準備,再保險合約資產,再保險合約資產－淨額,分離帳戶保險商品負債,分離帳戶保險商品資產,受限制資產－淨額,合併前非屬共同控制股權,外匯價格變動準備,央行及同業融資,央行及金融同業存款,央行及銀行同業存款,存放央行及拆借金融同業,存放央行及拆借銀行同業,存款及匯款,季別,市場,年度,庫藏股票,待出售資產,待出售資產－淨額,待分配予業主之資產（或處分群組）,待分配予業主之資產－淨額,待註銷股本股數（單位：股）,應付債券,應付公司債,應付商業本票－淨額,應付款項,應付金融債券,應收款項,應收款項－淨額,投資,投資性不動產投資－淨額,投資性不動產－淨額,按攤銷後成本衡量之債務工具投資,採用權益法之投資－淨額,本期所得稅負債,本期所得稅資產,權益─具證券性質之虛擬通貨,權益總計,權益總額,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,無形資產,無形資產－淨額,特別股負債,現金及約當現金,當期所得稅負債,當期所得稅資產,短期債務,租賃負債,股本,與待出售資產直接相關之負債,負債準備,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融負債－淨額,避險之衍生金融資產,避險之衍生金融資產淨額,附買回票券及債券負債,附賣回票券及債券投資,附賣回票券及債券投資淨額,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
,,,,73243427,,,1101,台泥,,,30424476,,,,,,,,,,,,,,,,,,,,1,上市,114,-732459,,,,,,,,,,,,,,,,,,,,,317033825,,,,255284784,,20000000,,33.02,113308585,190775550,,,,,,,,,77511817,,,305685980,,,74837523,622719805,,,,,,,,,,,,,,61749041,192377395,431944255,0
,,,,118025079,,,1102,亞泥,,,15772783,,,,,,,,,,,,,,,,,,,,1,上市,114,,,,,,,,,,,,,,,,,,,,,,201356563,,,,177502822,,0,,50.05,86802096,105584063,,,,,,,,,35465629,,,131134045,,,8239331,332490608,,,,,,,,,,,,,,23853741,44331949,226906545,0
,,,,10274030,,,1103,嘉泥,,,2661726,,,,,,,,,,,,,,,,,,,,1,上市,114,-1055710,,,,,,,,,,,,,,,,,,,,,21887608,,,,21170996,,129917726,,32.06,2819178,9958798,,,,,,,,,7902474,,,13931723,,,1388476,35819331,,,,,,,,,,,,,,716612,11112545,25860533,0
,,,,14643949,,,1104,環泥,,,2330989,,,,,,,,,,,,,,,,,,,,1,上市,114,,,,,,,,,,,,,,,,,,,,,,24773032,,,,23964542,,0,,34.90,3706572,7365537,,,,,,,,,6866818,,,5067802,,,122786,29840834,,,,,,,,,,,,,,808490,1361230,22475297,0
,,,,992132,,,1108,幸福,,,-23159,,,,,,,,,,,,,,,,,,,,1,上市,114,,,,,,,,,,,,,,,,,,,,,,5016437,,,,5016371,,0,,12.39,4515026,5713715,,,,,,,,,4047380,,,5183863,,,18,10200300,,,,,,,,,,,,,,66,668837,4486585,0
,,,,5041999,,,1109,信大,,,-19390,,,,,,,,,,,,,,,,,,,,1,上市,114,,,,,,0,,,,,,,,,,,,,,,,10383626,,,,8450160,,0,,24.77,1000031,6482398,,,,,,,,,3411589,,,1154135,,,15962,11537761,,,,,,,,,,,,,,1933466,154104,5055363,0
,,,,2576761,,,1110,東泥,,,968840,,,,,,,,,,,,,,,,,,,,1,上市,114,-12185,,,,,,,,,,,,,,,,,,,,,9605169,,,,9442322,,2112865,,16.57,1930789,2960606,,,,,,,,,5720008,,,3119020,,,188898,12724189,,,,,,,,,,,,,,162847,1188231,9763583,0
,,,,2599523,,,1201,味全,,,-70961,,,,,,,,,,,,,,,,,,,,1,上市,114,,,,,,0,,,,,,,,,,,,,,,,7638453,,,,7630198,,0,,15.08,6506273,6460021,,,,,,,,,5060629,,,10086460,,,41007,17724913,,,,,,,,,,,,,,8255,3580187,11264892,0
,,,,3719622,,,1203,味王,,,201765,,,,,,,,,,,,,,,,,,,,1,上市,114,-38464,,,,,0,,,,,,,,,,,,,,,,7491574,,,,6334908,,2293865,,26.65,1697602,4942249,,,,,,,,,2400000,,,3064089,,,51985,10555663,,,,,,,,,,,,,,1156666,1366487,5613414,0
,,,,10091192,,,1210,大成,,,1929886,,,,,,,,,,,,,,,,,,,,1,上市,114,-734821,,,,,,,,,,,,,,,,,,,,,33446354,,,,24369956,,58059471,,29.13,32775926,29645704,,,,,,,,,8947673,,,37290883,,,4136026,70737237,,,,,,,,,,,,,,9076398,4514957,41091533,0
