保留盈餘,公司代號,公司名稱,共同控制下前手權益,其他權益,出表日期,合併前非屬共同控制股權,季別,年度,庫藏股票,待註銷股本股數,權益─具證券性質之虛擬通貨,權益總計,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
1225836.00,2028,威致,,343865.00,1150905,,2,115,-40711.00,,,4786138.00,,1693000.00,14.77,2482795.00,4042125.00,3257148.00,3791194.00,,8577332.00,,1308399.00,4535207.00,0.00
5419961.00,2029,盛餘,,10658.00,1150905,,2,115,,,,10293101.00,10200388.00,0.00,31.76,1335023.00,8537573.00,3211800.00,1442548.00,1557969.00,11735649.00,92713.00,107525.00,3198076.00,0.00
2086349.00,2030,彰源,,46825.00,1150905,,2,115,-75919.00,,,5325986.00,5325986.00,4560000.00,19.30,5257581.00,7506722.00,2805260.00,7876579.00,463471.00,13202565.00,,2618998.00,5695843.00,0.00
7712861.00,2031,新光鋼,,101563.00,1150905,,2,115,,,,12698395.00,11971617.00,0.00,37.28,11641701.00,18013652.00,3211463.00,18482054.00,945730.00,31180449.00,726778.00,6840353.00,13166797.00,0.00
400516.00,2032,新鋼,,-5797.00,1150905,,2,115,,0.00,,1806945.00,,0.00,13.84,418327.00,1456701.00,1305215.00,556501.00,107011.00,2363446.00,,138174.00,906745.00,0.00
171885.00,2033,佳大,,71966.00,1150905,,2,115,0.00,0.00,,1068834.00,,0.00,13.25,174081.00,400798.00,806945.00,192089.00,18038.00,1260923.00,,18008.00,860125.00,0.00
1459754.00,2034,允強,,650873.00,1150905,,2,115,,,,9002173.00,9002173.00,0.00,17.02,10403767.00,11362168.00,5289956.00,14936949.00,1601590.00,23939122.00,,4533182.00,12576954.00,0.00
466259.00,2038,海光,,997060.00,1150905,,2,115,,,,3995960.00,3810880.00,0.00,19.63,2391947.00,3594320.00,1941343.00,5086034.00,406218.00,9081994.00,185080.00,2694087.00,5487674.00,0.00
25882157.00,2049,上銀,,2271352.00,1150905,,2,115,,,,39237566.00,39171167.00,0.00,110.72,9710072.00,21938744.00,3537923.00,17785292.00,7479735.00,57022858.00,66399.00,8075220.00,35084114.00,0.00
31977369.00,2059,川湖,,26807.00,1150905,,2,115,,,,33753838.00,33753838.00,0.00,354.20,11697883.00,41658722.00,952971.00,13356842.00,796691.00,47110680.00,,1658959.00,5451958.00,0.00
3719109.00,2062,橋椿,,31513.00,1150905,,2,115,,,,7663207.00,7661690.00,0.00,38.31,2646241.00,5247667.00,1999942.00,4009597.00,1911126.00,11672804.00,1517.00,1363356.00,6425137.00,0.00
1461076.00,2069,運錩,,29761.00,1150905,,2,115,0.00,,,4397835.00,4397835.00,0.00,26.43,4524939.00,4881357.00,1663868.00,6086134.00,1243130.00,10483969.00,,1561195.00,5602612.00,0.00
3389966.00,2072,世紀風電,,,1150905,,2,115,,,,24151197.00,24147973.00,0.00,125.77,6785629.00,15556610.00,1920000.00,10105255.00,18838007.00,34256452.00,3224.00,3319626.00,18699842.00,0.00
7416814.00,2101,南港,,474257.00,1150905,,2,115,-487475.00,,,15036167.00,15036167.00,13065595.00,20.86,29816577.00,30253182.00,7339349.00,30798560.00,293222.00,45834727.00,,981983.00,15581545.00,0.00
283691.00,2102,泰豐,,4775579.00,1150905,,2,115,-183035.00,,,9609527.00,9609527.00,13755607.00,20.91,118353.00,2864195.00,4733292.00,2438120.00,0.00,12047647.00,,2319767.00,9183452.00,0.00
11030696.00,2103,台橡,,2735628.00,1150905,,2,115,,,,23883609.00,22081189.00,0.00,26.74,12606458.00,22935160.00,8257099.00,24134929.00,57766.00,48018538.00,1802420.00,11528471.00,25083378.00,0.00
2541762.00,2104,國際中橡,,1698020.00,1150905,,2,115,-290088.00,,,24135070.00,23034043.00,14734663.00,23.75,17052317.00,21464939.00,9847336.00,24069644.00,9237013.00,48204714.00,1101027.00,7017327.00,26739775.00,0.00
