不動產及設備,不動產及設備－淨額,使用權資產,使用權資產－淨額,保留盈餘,保留盈餘（或累積虧損）,保險合約負債,保險合約負債及再保險合約負債,保險合約資產,保險合約資產及再保險合約資產－淨額,公司代號,公司名稱,共同控制下前手權益,其他借款,其他權益,其他負債,其他資產,其他資產－淨額,其他金融負債,其他金融資產－淨額,再保險合約負債,再保險合約資產,分離帳戶保險商品資產,受限制資產－淨額,合併前非屬共同控制股權,央行及同業融資,央行及金融同業存款,央行及銀行同業存款,存放央行及拆借金融同業,存放央行及拆借銀行同業,存款及匯款,季別,市場,年度,庫藏股票,待出售資產,待出售資產－淨額,待分配予業主之資產（或處分群組）,待分配予業主之資產－淨額,待註銷股本股數（單位：股）,應付債券,應付公司債,應付商業本票－淨額,應付款項,應付金融債券,應收款項,應收款項－淨額,投資性不動產,投資性不動產投資－淨額,投資性不動產－淨額,按攤銷後成本衡量之債務工具投資,按攤銷後成本衡量之金融資產,採用權益法之投資－淨額,放款,本期所得稅負債,本期所得稅資產,權益─具證券性質之虛擬通貨,權益總計,權益總額,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,無形資產,無形資產－淨額,特別股負債,現金及約當現金,當期所得稅負債,當期所得稅資產,短期債務,租賃負債,股本,與待出售資產直接相關之負債,負債準備,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融負債－淨額,避險之衍生金融資產,避險之衍生金融資產淨額,避險之金融資產,附買回票券及債券負債,附賣回票券及債券投資,附賣回票券及債券投資淨額,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
,,,,6669309,,,,,,1218,泰山,,,-36857,,,,,,,,,,,,,,,,,1,上市,115,-203876,,,,,,,,,,,,,,,,,,,,,,,12489134,,,,12479850,,13680042,,25.66,1833233,4963967,,,,,,,,,4999990,,,2207587,,,1051284,14696721,,,,,,,,,,,,,,,9284,374354,9732754,0
,,,,1155726,,,,,,1219,福壽,,,408,,,,,,,,,,,,,,,,,1,上市,115,0,,,,,,,,,,,,,,,,,,,,,,,4597366,,,,4630285,,0,,13.57,3014417,4766011,,,,,,,,,3412384,,,4948982,,,61767,9546348,,,,,,,,,,,,,,,-32919,1934565,4780337,0
,,,,524454,,,,,,1220,台榮,,,-571,,,,,,,,,,,,,,,,,1,上市,115,-10881,,,,,,,,,,,,,,,,,,,,,,,2536826,,,,2308661,,679000,,13.09,742589,2122787,,,,,,,,,1770779,,,918180,,,24880,3455006,,,,,,,,,,,,,,,228165,175591,1332219,0
,,,,1566850,,,,,,1225,福懋油,,,-95219,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,4559251,,,,4019933,,0,,16.59,2593871,4500051,,,,,,,,,2422683,,,3500005,,,125619,8059256,,,,,,,,,,,,,,,539318,906134,3559205,0
,,,,9522612,,,,,,1227,佳格,,,268348,,,,,,,,,,,,,,,,,1,上市,115,-21182,,,,,0,,,,,,,,,,,,,,,,,,19406939,,,,19103934,,6669471,,21.03,7319301,16438192,,,,,,,,,9150897,,,7697855,,,183259,27104794,,,,,,,,,,,,,,,303005,378554,10666602,0
,,,,15670715,,,,,,1229,聯華,,,21102607,,,,,,,,,,,,,,,,,1,上市,115,-136868,,,,,0,,,,,,,,,,,,,,,,,,79057744,,,,55609572,,7238000,,31.09,15478027,15607224,,,,,,,,,17959607,,,20384323,,,1013511,99442067,,,,,,,,,,,,,,,23448172,4906296,83834843,0
,,,,4453103,,,,,,1231,聯華食,,,23660,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,7572849,,,,7555147,,0,,25.31,4427766,6292926,,,,,,,,,2984544,,,7870046,,,93840,15442895,,,,,,,,,,,,,,,17702,3442280,9149969,0
,,,,4655148,,,,,,1232,大統益,,,-3403,,,,,,,,,,,,,,,,,1,上市,115,,,,,,0,,,,,,,,,,,,,,,,,,6511322,,,,6275278,,0,,39.23,2814803,7651568,,,,,,,,,1599749,,,3994796,,,23784,10506118,,,,,,,,,,,,,,,236044,1179993,2854550,0
,,,,524706,,,,,,1233,天仁,,,-38449,,,,,,,,,,,,,,,,,1,上市,115,-1974,,,,,0,,,,,,,,,,,,,,,,,,1398927,,,,1395703,,43000,,15.41,542926,681747,,,,,,,,,905919,,,788420,,,5501,2187347,,,,,,,,,,,,,,,3224,245494,1505600,0
,,,,13998546,,,,,,1234,黑松,,,103844,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,18308037,,,,18308037,,0,,45.56,3415273,9159072,,,,,,,,,4018711,,,5772622,,,186936,24080659,,,,,,,,,,,,,,,,2357349,14921587,0
,,,,1142459,,,,,,1235,興泰,,,340782,,,,,,,,,,,,,,,,,1,上市,115,-867600,,,,,,,,,,,,,,,,,,,,,,,3048081,,,,2867076,,143117570,,63.07,2176614,945470,,,,,,,,,1885778,,,2231482,,,365657,5279563,,,,,,,,,,,,,,,181005,54868,4334093,0
,,,,1386400,,,,,,1236,宏亞,,,167205,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,2454550,,,,2454550,,0,,28.32,634194,655326,,,,,,,,,866740,,,926736,,,34205,3381286,,,,,,,,,,,,,,,,292542,2725960,0
,,,,2301564,,,,,,1256,鮮活果汁-KY,,,115423,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,4184775,,,,4177275,,0,,116.77,781250,2430207,,,,,,,,,357722,,,991394,,,1402566,5176169,,,,,,,,,,,,,,,7500,210144,2745962,0
,,,,197205474,,,,,,1301,台塑,,,117484847,,,,,,,,,,,,,,,,,1,上市,115,,,,,,0,,,,,,,,,,,,,,,,,,390216488,,,,390216488,,0,,61.30,95826345,175217601,,,,,,,,,63657408,,,203311522,,,11868759,593528010,,,,,,,,,,,,,,,,107485177,418310409,0
,,,,238072825,,,,,,1303,南亞,,,36469707,,,,,,,,,,,,,,,,,1,上市,115,,,,,,0,,,,,,,,,,,,,,,,,,400574691,,,,383826269,,0,,48.40,131197270,193418745,,,,,,,,,79308216,,,247168932,,,29975521,647743623,,,,,,,,,,,,,,,16748422,115971662,454324878,0
,,,,5587575,,,,,,1304,台聚,,,57412,,,,,,,,,,,,,,,,,1,上市,115,-475606,,,,,,,,,,,,,,,,,,,,,,,35012728,,,,17558466,,116465574,,16.37,13651252,24372900,,,,,,,,,11887635,,,29614158,,,501450,64626886,,,,,,,,,,,,,,,17454262,15962906,40253986,0
