不動產及設備,不動產及設備－淨額,使用權資產,使用權資產－淨額,保留盈餘,保留盈餘（或累積虧損）,保險負債,公司代號,公司名稱,共同控制下前手權益,其他借款,其他權益,其他負債,其他資產,其他資產－淨額,其他金融負債,其他金融資產－淨額,具金融商品性質之保險契約準備,再保險合約資產,再保險合約資產－淨額,分離帳戶保險商品負債,分離帳戶保險商品資產,受限制資產－淨額,合併前非屬共同控制股權,外匯價格變動準備,央行及同業融資,央行及金融同業存款,央行及銀行同業存款,存放央行及拆借金融同業,存放央行及拆借銀行同業,存款及匯款,季別,市場,年度,庫藏股票,待出售資產,待出售資產－淨額,待分配予業主之資產（或處分群組）,待分配予業主之資產－淨額,待註銷股本股數（單位：股）,應付債券,應付公司債,應付商業本票－淨額,應付款項,應付金融債券,應收款項,應收款項－淨額,投資,投資性不動產投資－淨額,投資性不動產－淨額,按攤銷後成本衡量之債務工具投資,採用權益法之投資－淨額,本期所得稅負債,本期所得稅資產,權益─具證券性質之虛擬通貨,權益總計,權益總額,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,無形資產,無形資產－淨額,特別股負債,現金及約當現金,當期所得稅負債,當期所得稅資產,短期債務,租賃負債,股本,與待出售資產直接相關之負債,負債準備,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融負債－淨額,避險之衍生金融資產,避險之衍生金融資產淨額,附買回票券及債券負債,附賣回票券及債券投資,附賣回票券及債券投資淨額,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
,49708916,,17614190,239366621,,,2891,中信金,,,-16627548,34413771,,61731566,217182424,146454548,,,5197258,,,,,,39404898,68250235,,591436761,,5215710447,3,上市,113,,,,,,0,142134644,,103170190,142829227,,,279672970,,,112773460,2064949281,20550400,,,,,510469390,,483776292,,,0,,24.04,,,,39942115,,132545537,6230087,3172046,,17515120,201205158,,1848889583,,8180534731,3784937108,59832061,,8691004121,551905913,97763168,804072503,17895361,15287906,0,,402208,,229145576,8649435,,26693098,,,0
,27626429,,2554956,74071600,,,2892,第一金,,5170000,24693655,8547411,,7413568,90782124,17763476,,,70205,,,,,,1310800,293656132,,370618681,,3642007978,3,上市,113,,,,,,0,70650000,,36394273,93768860,,,76646978,,,12513626,938347495,3302588,,,,,265160000,,265160000,,,0,,18.90,,,,986402,,44449596,3797900,1214052,,2426121,140287499,,74297174,,4382059029,2558297816,26107246,,4647219029,401807323,15068567,176077991,8823122,4919171,,,,,35358567,2608676,,0,,,0
,2349235,,437786,12806110,,,2897,王道銀行,,,-1391920,691781,,1861619,10147675,1056760,,,,,,,,,,,65982225,,18226220,324356104,3,上市,113,-73183,,,,,,,,,5888797,13950000,,3648516,,,,25386799,7069168,,,,,63530281,,,44738611,,7939000,,13.66,,,,1670508,,6907028,298541,633287,,456929,32830063,,2013476,,614917063,244928763,567541,,678447344,168842040,1409847,188614668,846185,724700,,,,,188875503,,6090247,18791670,,,0
,,,,143613,,,2901,欣欣,,,2888,,,,,,,,,,,,,,,,,,,,3,上市,113,0,,,,,0,,,,,,,,,,,,,,,,877437,,,,,,0,,12.01,56249,469931,,,,,,,,,730433,,,125279,,,503,1002716,,,,,,,,,,,,,,,69030,532785,0
,,,,7949462,,,2903,遠百,,,6219790,,,,,,,,,,,,,,,,,,,,3,上市,113,-97110,,,,,,,,,,,,,,,,,,,,,37264440,,,,31585143,,8207004,,22.42,41019371,20810086,,,,,,,,,14169406,,,100306748,,,3343595,137571188,,,,,,,,,,,,,,5679297,59287377,116761102,0
,,,,379175,,,2904,匯僑,,,10906,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,1246266,,,,1245822,,0,,16.01,165317,253459,,,,,,,,,778344,,,678439,,,77397,1924705,,,,,,,,,,,,,,444,513122,1671246,0
,,,,5031889,,,2905,三商,0,,-1810270,,,,,,,,,,,,,,,,,,,,3,上市,113,-592930,,,,,0,,,,,,,,,,,,,,,,,52703087,0,,18062218,,57093000,,16.95,38239331,143997881,,,,,,,,,11224957,,,1583022504,,,4208572,1635725591,,,,,,,,,,,,,,34640869,1544783173,1491727710,0
,,,,952164,,,2906,高林,,,136576,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,6730577,,,,3470803,,0,,16.60,4576265,4872849,,,,,,,,,2091167,,,6007145,,,290896,12737722,,,,,,,,,,,,,,3259774,1430880,7864873,0
,,,,2061842,,,2908,特力,,,-158158,,,,,,,,,,,,,,,,,,,,3,上市,113,0,,,,,,,,,,,,,,,,,,,,,7404024,,,,7005005,,0,,13.74,13125352,17856532,,,,,,,,,5098875,,,30020213,,,2446,37424237,,,,,,,,,,,,,,399019,16894861,19567705,0
,,,,959474,,,2910,統領,,,-38862,,,,,,,,,,,,,,,,,,,,3,上市,113,0,,,,,0,,,,,,,,,,,,,,,,2674642,,,,2674642,,0,,15.25,671149,1107054,,,,,,,,,1754030,,,3189440,,,0,5864082,,,,,,,,,,,,,,0,2518291,4757028,0
