不動產及設備,不動產及設備－淨額,使用權資產,使用權資產－淨額,保留盈餘,保留盈餘（或累積虧損）,保險負債,公司代號,公司名稱,共同控制下前手權益,其他借款,其他權益,其他負債,其他資產,其他資產－淨額,其他金融負債,其他金融資產－淨額,具金融商品性質之保險契約準備,再保險合約資產,再保險合約資產－淨額,分離帳戶保險商品負債,分離帳戶保險商品資產,受限制資產－淨額,合併前非屬共同控制股權,外匯價格變動準備,央行及同業融資,央行及金融同業存款,央行及銀行同業存款,存放央行及拆借金融同業,存放央行及拆借銀行同業,存款及匯款,季別,市場,年度,庫藏股票,待出售資產,待出售資產－淨額,待分配予業主之資產（或處分群組）,待分配予業主之資產－淨額,待註銷股本股數（單位：股）,應付債券,應付公司債,應付商業本票－淨額,應付款項,應付金融債券,應收款項,應收款項－淨額,投資,投資性不動產投資－淨額,投資性不動產－淨額,按攤銷後成本衡量之債務工具投資,採用權益法之投資－淨額,本期所得稅負債,本期所得稅資產,權益─具證券性質之虛擬通貨,權益總計,權益總額,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,無形資產,無形資產－淨額,特別股負債,現金及約當現金,當期所得稅負債,當期所得稅資產,短期債務,租賃負債,股本,與待出售資產直接相關之負債,負債準備,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融負債－淨額,避險之衍生金融資產,避險之衍生金融資產淨額,附買回票券及債券負債,附賣回票券及債券投資,附賣回票券及債券投資淨額,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
,,,,55462857,,,1101,台泥,,,17294512,,,,,,,,,,,,,,,,,,,,3,上市,114,-1635644,,,,,,,,,,,,,,,,,,,,,280567870,,,,223471065,,58000000,,29.05,94125885,178421439,,,,,,,,,77511817,,,300508561,,,74837523,581076431,,,,,,,,,,,,,,57096805,206382676,402654992,0
,,,,124892733,,,1102,亞泥,,,5413245,,,,,,,,,,,,,,,,,,,,3,上市,114,,,,,,,,,,,,,,,,,,,,,,196323009,,,,174012059,,0,,49.06,71858751,94826165,,,,,,,,,35465629,,,121052193,,,8240452,317375202,,,,,,,,,,,,,,22310950,49193442,222549037,0
,,,,10235091,,,1103,嘉泥,,,-283929,,,,,,,,,,,,,,,,,,,,3,上市,114,-1079060,,,,,,,,,,,,,,,,,,,,,18819239,,,,18225424,,131491726,,27.67,3536579,9324570,,,,,,,,,7902474,,,14452044,,,1450848,33271283,,,,,,,,,,,,,,593815,10915465,23946713,0
,,,,14428310,,,1104,環泥,,,1802224,,,,,,,,,,,,,,,,,,,,3,上市,114,,,,,,,,,,,,,,,,,,,,,,24004278,,,,23217157,,0,,33.81,3856346,7383784,,,,,,,,,6866818,,,5622460,,,119805,29626738,,,,,,,,,,,,,,787121,1766114,22242954,0
,,,,1676726,,,1108,幸福,,,-34922,,,,,,,,,,,,,,,,,,,,3,上市,114,,,,,,,,,,,,,,,,,,,,,,5689268,,,,5689206,,0,,14.06,4226081,5768672,,,,,,,,,4047380,,,4542455,,,22,10231723,,,,,,,,,,,,,,62,316374,4463051,0
,,,,4922240,,,1109,信大,,,-229197,,,,,,,,,,,,,,,,,,,,3,上市,114,,,,,,0,,,,,,,,,,,,,,,,9959805,,,,8120594,,0,,23.80,892888,5795336,,,,,,,,,3411589,,,1041545,,,15962,11001350,,,,,,,,,,,,,,1839211,148657,5206014,0
,,,,2565465,,,1110,東泥,,,976786,,,,,,,,,,,,,,,,,,,,3,上市,114,-10830,,,,,,,,,,,,,,,,,,,,,9625186,,,,9441532,,1877865,,16.56,1947104,2890181,,,,,,,,,5720008,,,3101728,,,190103,12726914,,,,,,,,,,,,,,183654,1154624,9836733,0
,,,,2705599,,,1201,味全,,,-325496,,,,,,,,,,,,,,,,,,,,3,上市,114,,,,,,0,,,,,,,,,,,,,,,,7489646,,,,7481735,,0,,14.78,6384733,6664651,,,,,,,,,5060629,,,10313052,,,41003,17802698,,,,,,,,,,,,,,7911,3928319,11138047,0
,,,,3601260,,,1203,味王,,,87666,,,,,,,,,,,,,,,,,,,,3,上市,114,-38464,,,,,0,,,,,,,,,,,,,,,,7053561,,,,6107243,,2293865,,25.69,1943867,4756477,,,,,,,,,2400000,,,3353749,,,56781,10407310,,,,,,,,,,,,,,946318,1409882,5650833,0
,,,,11444250,,,1210,大成,0,,846976,,,,,,,,,,,,,,,,,,,,3,上市,114,-734821,,,,,,,,,,,,,,,,,,,,0,33229007,,,,24778866,,58059471,,29.61,32899437,29227274,,,,,,,,,8947673,,,37275967,,,4274788,70504974,,,,,,,,,,,,,,8450141,4376530,41277700,0
,,,,75766,,,1213,大飲,,,-174,,,,,,,,,,,,,,,,,,,,3,上市,114,,,,,,0,,,,,,,,,,,,,,,,663756,,,,663756,,0,,11.72,67228,290596,,,,,,,,,566226,,,126254,,,21938,790010,,,,,,,,,,,,,,,59026,499414,0
,,,,7499474,,,1215,卜蜂,,,1137890,,,,,,,,,,,,,,,,,,,,3,上市,114,,,,,,0,,,,,,,,,,,,,,,,12062507,,,,11622350,,0,,39.43,9185849,8683792,,,,,,,,,2947901,,,18784170,,,37085,30846677,,,,,,,,,,,,,,440157,9598321,22162885,0
,,,,75831457,,,1216,統一,,,-7745949,,,,,,,,,,,,,,,,,,,,3,上市,114,,,,,,0,,,,,,,,,,,,,,,,198976946,,,,127682583,,0,,22.47,264992985,232056774,,,,,,,,,56820154,,,518138231,,,2776921,717115177,,,,,,,,,,,,,,71294363,253145246,485058403,0
,,,,1315328,,,1217,愛之味,,,987126,,,,,,,,,,,,,,,,,,,,3,上市,114,,,,,,,,,,,,,,,,,,,,,,8289925,,,,7515732,,0,,15.20,3207793,3118729,,,,,,,,,4945134,,,7345456,,,268144,15635381,,,,,,,,,,,,,,774193,4137663,12516652,0
,,,,6913088,,,1218,泰山,,,-53246,,,,,,,,,,,,,,,,,,,,3,上市,114,-203876,,,,,,,,,,,,,,,,,,,,,12693213,,,,12688823,,13680042,,26.09,1444165,4936034,,,,,,,,,4999990,,,1823711,,,1032867,14516924,,,,,,,,,,,,,,4390,379546,9580890,0
,,,,1049638,,,1219,福壽,,,-8618,,,,,,,,,,,,,,,,,,,,3,上市,114,0,,,,,,,,,,,,,,,,,,,,,4556733,,,,4515171,,0,,13.23,3146843,4884442,,,,,,,,,3412384,,,5028436,,,61767,9585169,,,,,,,,,,,,,,41562,1881593,4700727,0
,,,,559931,,,1220,台榮,,,-177,,,,,,,,,,,,,,,,,,,,3,上市,114,-10881,,,,,,,,,,,,,,,,,,,,,2559608,,,,2344532,,679000,,13.29,751076,2174986,,,,,,,,,1770779,,,930821,,,24880,3490429,,,,,,,,,,,,,,215076,179745,1315443,0
,,,,1335459,,,1225,福懋油,,,-103616,,,,,,,,,,,,,,,,,,,,3,上市,114,,,,,,,,,,,,,,,,,,,,,,4272346,,,,3779105,,0,,15.60,2656784,4487557,,,,,,,,,2422683,,,3808308,,,124579,8080654,,,,,,,,,,,,,,493241,1151524,3593097,0
,,,,8675815,,,1227,佳格,,,-131004,,,,,,,,,,,,,,,,,,,,3,上市,114,-21182,,,,,0,,,,,,,,,,,,,,,,18149331,,,,17857785,,6669471,,19.66,8825660,17977308,,,,,,,,,9150897,,,9263861,,,183259,27413192,,,,,,,,,,,,,,291546,438201,9435884,0
,,,,16865255,,,1229,聯華,,,21326667,,,,,,,,,,,,,,,,,,,,3,上市,114,-136868,,,,,0,,,,,,,,,,,,,,,,79458678,,,,57120282,,7239000,,31.93,14511133,17361262,,,,,,,,,17959607,,,19376748,,,1105621,98835426,,,,,,,,,,,,,,22338396,4865615,81474164,0
,,,,3679510,,,1231,聯華食,,,5421,,,,,,,,,,,,,,,,,,,,3,上市,114,,,,,,0,,,,,,,,,,,,,,,,6780139,,,,6763315,,0,,22.66,4151452,6045827,,,,,,,,,2984544,,,7913873,,,93840,14694012,,,,,,,,,,,,,,16824,3762421,8648185,0
,,,,3873638,,,1232,大統益,,,5438,,,,,,,,,,,,,,,,,,,,3,上市,114,,,,,,0,,,,,,,,,,,,,,,,5707278,,,,5502609,,0,,34.40,1937205,6066225,,,,,,,,,1599749,,,3144964,,,23784,8852242,,,,,,,,,,,,,,204669,1207759,2786017,0
