不動產及設備,不動產及設備－淨額,使用權資產,使用權資產－淨額,保留盈餘,保留盈餘（或累積虧損）,保險負債,公司代號,公司名稱,共同控制下前手權益,其他借款,其他權益,其他負債,其他資產,其他資產－淨額,其他金融負債,其他金融資產－淨額,具金融商品性質之保險契約準備,再保險合約資產,再保險合約資產－淨額,分離帳戶保險商品負債,分離帳戶保險商品資產,受限制資產－淨額,合併前非屬共同控制股權,外匯價格變動準備,央行及同業融資,央行及金融同業存款,央行及銀行同業存款,存放央行及拆借金融同業,存放央行及拆借銀行同業,存款及匯款,季別,市場,年度,庫藏股票,待出售資產,待出售資產－淨額,待分配予業主之資產（或處分群組）,待分配予業主之資產－淨額,待註銷股本股數（單位：股）,應付債券,應付公司債,應付商業本票－淨額,應付款項,應付金融債券,應收款項,應收款項－淨額,投資,投資性不動產投資－淨額,投資性不動產－淨額,按攤銷後成本衡量之債務工具投資,採用權益法之投資－淨額,本期所得稅負債,本期所得稅資產,權益─具證券性質之虛擬通貨,權益總計,權益總額,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,無形資產,無形資產－淨額,特別股負債,現金及約當現金,當期所得稅負債,當期所得稅資產,短期債務,租賃負債,股本,與待出售資產直接相關之負債,負債準備,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融負債－淨額,避險之衍生金融資產,避險之衍生金融資產淨額,附買回票券及債券負債,附賣回票券及債券投資,附賣回票券及債券投資淨額,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
,,,,65796242,,,1101,台泥,,,2935508,,,,,,,,,,,,,,,,,,,,2,上市,114,-732459,,,,,,,,,,,,,,,,,,,,,276883979,,,,220371152,,20000000,,28.50,82926585,166160771,,,,,,,,,77511817,,,289988360,,,74860044,566872339,,,,,,,,,,,,,,56512827,207061775,400711568,0
,,,,120976670,,,1102,亞泥,,,258935,,,,,,,,,,,,,,,,,,,,2,上市,114,,,,,,,,,,,,,,,,,,,,,,186197442,,,,164940624,,0,,46.51,82033956,102355154,,,,,,,,,35465629,,,128651308,,,8239390,314848750,,,,,,,,,,,,,,21256818,46617352,212493596,0
,,,,9547533,,,1103,嘉泥,,,102681,,,,,,,,,,,,,,,,,,,,2,上市,114,-1079060,,,,,,,,,,,,,,,,,,,,,18446109,,,,17862101,,131491726,,27.11,3673494,8964544,,,,,,,,,7902474,,,14313875,,,1388473,32759984,,,,,,,,,,,,,,584008,10640381,23795440,0
,,,,13866763,,,1104,環泥,,,1476856,,,,,,,,,,,,,,,,,,,,2,上市,114,,,,,,,,,,,,,,,,,,,,,,23105570,,,,22330711,,0,,32.52,4727853,7502720,,,,,,,,,6866818,,,6076818,,,120274,29182388,,,,,,,,,,,,,,774859,1348965,21679668,0
,,,,1555604,,,1108,幸福,,,-34059,,,,,,,,,,,,,,,,,,,,2,上市,114,,,,,,,,,,,,,,,,,,,,,,5569009,,,,5568943,,0,,13.76,4217115,5903260,,,,,,,,,4047380,,,4815095,,,18,10384104,,,,,,,,,,,,,,66,597980,4480844,0
,,,,4817587,,,1109,信大,,,-355998,,,,,,,,,,,,,,,,,,,,2,上市,114,,,,,,0,,,,,,,,,,,,,,,,9656297,,,,7889140,,0,,23.12,1269364,5999056,,,,,,,,,3411589,,,1417114,,,15962,11073411,,,,,,,,,,,,,,1767157,147750,5074355,0
,,,,2401813,,,1110,東泥,,,1063857,,,,,,,,,,,,,,,,,,,,2,上市,114,-11551,,,,,,,,,,,,,,,,,,,,,9536410,,,,9363523,,2002865,,16.43,2276923,3127184,,,,,,,,,5720008,,,3447232,,,189396,12983642,,,,,,,,,,,,,,172887,1170309,9856458,0
,,,,2625913,,,1201,味全,,,-475433,,,,,,,,,,,,,,,,,,,,2,上市,114,,,,,,0,,,,,,,,,,,,,,,,7259720,,,,7252116,,0,,14.33,6109362,6310195,,,,,,,,,5060629,,,9733875,,,41007,16993595,,,,,,,,,,,,,,7604,3624513,10683400,0
,,,,3446309,,,1203,味王,,,7703,,,,,,,,,,,,,,,,,,,,2,上市,114,-38464,,,,,0,,,,,,,,,,,,,,,0,6717521,,,,5872329,,2293865,,24.70,1872826,4390592,,,,,,,,,2400000,,,3277652,,,56781,9995173,,,,,,,,,,,,,,845192,1404826,5604581,0
,,,,10663399,,,1210,大成,0,,478074,,,,,,,,,,,,,,,,,,,,2,上市,114,-734821,,,,,,,,,,,,,,,,,,,,0,31465053,,,,23490351,,58059471,,28.07,31500447,27444608,,,,,,,,,8947673,,,35502360,,,4136026,66967413,,,,,,,,,,,,,,7974702,4001913,39522805,0
