不動產及設備,不動產及設備－淨額,使用權資產,使用權資產－淨額,保留盈餘,保留盈餘（或累積虧損）,保險負債,公司代號,公司名稱,共同控制下前手權益,其他借款,其他權益,其他負債,其他資產,其他資產－淨額,其他金融負債,其他金融資產－淨額,具金融商品性質之保險契約準備,再保險合約資產,再保險合約資產－淨額,分離帳戶保險商品負債,分離帳戶保險商品資產,受限制資產－淨額,合併前非屬共同控制股權,外匯價格變動準備,央行及同業融資,央行及金融同業存款,央行及銀行同業存款,存放央行及拆借金融同業,存放央行及拆借銀行同業,存款及匯款,季別,市場,年度,庫藏股票,待出售資產,待出售資產－淨額,待分配予業主之資產（或處分群組）,待分配予業主之資產－淨額,待註銷股本股數（單位：股）,應付債券,應付公司債,應付商業本票－淨額,應付款項,應付金融債券,應收款項,應收款項－淨額,投資,投資性不動產投資－淨額,投資性不動產－淨額,按攤銷後成本衡量之債務工具投資,採用權益法之投資－淨額,本期所得稅負債,本期所得稅資產,權益─具證券性質之虛擬通貨,權益總計,權益總額,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,無形資產,無形資產－淨額,特別股負債,現金及約當現金,當期所得稅負債,當期所得稅資產,短期債務,租賃負債,股本,與待出售資產直接相關之負債,負債準備,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融負債－淨額,避險之衍生金融資產,避險之衍生金融資產淨額,附買回票券及債券負債,附賣回票券及債券投資,附賣回票券及債券投資淨額,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
,,,,72771952,,,1101,台泥,,,23755725,,,,,,,,,,,,,,,,,,,,4,上市,113,-732459,,,,,,,,,,,,,,,,,,,,,307908264,,,,248097494,,20000000,,32.09,86373382,173380580,,,,,,,,,77511817,,,285505383,,,74790459,593413647,,,,,,,,,,,,,,59810770,199132001,420033067,0
,,,,124445142,,,1102,亞泥,,,13197332,,,,,,,,,,,,,,,,,,,,4,上市,113,,,,,,,,,,,,,,,,,,,,,,204851684,,,,181347447,,0,,51.13,79652998,116609749,,,,,,,,,35465629,,,126975540,,,8239344,331827224,,,,,,,,,,,,,,23504237,47322542,215217475,0
,,,,10190860,,,1103,嘉泥,,,2455605,,,,,,,,,,,,,,,,,,,,4,上市,113,-1055710,,,,,,,,,,,,,,,,,,,,,21589757,,,,20881663,,129917726,,31.62,2925659,9848540,,,,,,,,,7902474,,,13488323,,,1388434,35078080,,,,,,,,,,,,,,708094,10562664,25229540,0
,,,,14358831,,,1104,環泥,,,2308321,,,,,,,,,,,,,,,,,,,,4,上市,113,,,,,,,,,,,,,,,,,,,,,,24455563,,,,23656756,,0,,34.45,3799190,7179390,,,,,,,,,6866818,,,5171943,,,122786,29627506,,,,,,,,,,,,,,798807,1372753,22448116,0
,,,,1164336,,,1108,幸福,,,-26056,,,,,,,,,,,,,,,,,,,,4,上市,113,,,,,,,,,,,,,,,,,,,,,,5185744,,,,5185678,,0,,12.81,4163555,5998794,,,,,,,,,4047380,,,5245523,,,18,10431267,,,,,,,,,,,,,,66,1081968,4432473,0
,,,,4957509,,,1109,信大,,,-86109,,,,,,,,,,,,,,,,,,,,4,上市,113,,,,,,0,,,,,,,,,,,,,,,,10201794,,,,8298713,,0,,24.33,911464,6377807,,,,,,,,,3411589,,,1077440,,,15724,11279234,,,,,,,,,,,,,,1903081,165976,4901427,0
,,,,2530951,,,1110,東泥,,,988179,,,,,,,,,,,,,,,,,,,,4,上市,113,-12185,,,,,,,,,,,,,,,,,,,,,9565953,,,,9415851,,2112865,,16.52,1977822,2954008,,,,,,,,,5720008,,,3155984,,,188898,12721937,,,,,,,,,,,,,,150102,1178162,9767929,0
,,,,2742771,,,1201,味全,,,-118767,,,,,,,,,,,,,,,,,,,,4,上市,113,,,,,,0,,,,,,,,,,,,,,,,7733696,,,,7725640,,0,,15.27,6163936,6404977,,,,,,,,,5060629,,,9887386,,,41007,17621082,,,,,,,,,,,,,,8056,3723450,11216105,0
,,,,3581373,,,1203,味王,,,184577,,,,,,,,,,,,,,,,,,,,4,上市,113,-38464,,,,,0,,,,,,,,,,,,,,,,7210538,,,,6179471,,2293865,,26.00,1725174,4635296,,,,,,,,,2400000,,,3068357,,,51985,10278895,,,,,,,,,,,,,,1031067,1343183,5643599,0
,,,,11713824,,,1210,大成,,,1629555,,,,,,,,,,,,,,,,,,,,4,上市,113,-734821,,,,,,,,,,,,,,,,,,,,,34520683,,,,25650283,,49059471,,30.33,32027413,31296031,,,,,,,,,8947673,,,36234487,,,4094052,70755170,,,,,,,,,,,,,,8870400,4207074,39459139,0
