不動產及設備,不動產及設備－淨額,使用權資產,使用權資產－淨額,保留盈餘,保留盈餘（或累積虧損）,保險負債,公司代號,公司名稱,共同控制下前手權益,其他借款,其他權益,其他負債,其他資產,其他資產－淨額,其他金融負債,其他金融資產－淨額,具金融商品性質之保險契約準備,再保險合約資產,再保險合約資產－淨額,分離帳戶保險商品負債,分離帳戶保險商品資產,受限制資產－淨額,合併前非屬共同控制股權,外匯價格變動準備,央行及同業融資,央行及金融同業存款,央行及銀行同業存款,存放央行及拆借金融同業,存放央行及拆借銀行同業,存款及匯款,季別,市場,年度,庫藏股票,待出售資產,待出售資產－淨額,待分配予業主之資產（或處分群組）,待分配予業主之資產－淨額,待註銷股本股數（單位：股）,應付債券,應付公司債,應付商業本票－淨額,應付款項,應付金融債券,應收款項,應收款項－淨額,投資,投資性不動產投資－淨額,投資性不動產－淨額,按攤銷後成本衡量之債務工具投資,採用權益法之投資－淨額,本期所得稅負債,本期所得稅資產,權益─具證券性質之虛擬通貨,權益總計,權益總額,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,無形資產,無形資產－淨額,特別股負債,現金及約當現金,當期所得稅負債,當期所得稅資產,短期債務,租賃負債,股本,與待出售資產直接相關之負債,負債準備,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融負債－淨額,避險之衍生金融資產,避險之衍生金融資產淨額,附買回票券及債券負債,附賣回票券及債券投資,附賣回票券及債券投資淨額,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
,,,,54358169,,,1101,台泥,,,26382910,,,,,,,,,,,,,,,,,,,,4,上市,114,-1635644,,,,,,,,,,,,,,,,,,,,,292705815,,,,231910589,,58000000,,30.14,85947537,178163742,,,,,,,,,77511817,,,296129659,,,75293337,588835474,,,,,,,,,,,,,,60795226,210182122,410671732,0
,,,,126642400,,,1102,亞泥,,,9928497,,,,,,,,,,,,,,,,,,,,4,上市,114,,,,,,,,,,,,,,,,,,,,,,203421860,,,,180277293,,0,,50.83,59418487,95233368,,,,,,,,,35465629,,,120618599,,,8240767,324040459,,,,,,,,,,,,,,23144567,61200112,228807091,0
,,,,10314342,,,1103,嘉泥,,,-459911,,,,,,,,,,,,,,,,,,,,4,上市,114,-1079060,,,,,,,,,,,,,,,,,,,,,18723052,,,,18135537,,131491726,,27.53,3586317,9277857,,,,,,,,,7902474,,,13894261,,,1457692,32617313,,,,,,,,,,,,,,587515,10307944,23339456,0
,,,,14947950,,,1104,環泥,,,2247160,,,,,,,,,,,,,,,,,,,,4,上市,114,,,,,,,,,,,,,,,,,,,,,,24978228,,,,24181437,,0,,35.21,4715235,7752690,,,,,,,,,6866818,,,6105570,,,119509,31083798,,,,,,,,,,,,,,796791,1390335,23331108,0
,,,,1737848,,,1108,幸福,,,-29545,,,,,,,,,,,,,,,,,,,,4,上市,114,,,,,,,,,,,,,,,,,,,,,,5755767,,,,5755705,,0,,14.22,4056137,5709269,,,,,,,,,4047380,,,4406609,,,22,10162376,,,,,,,,,,,,,,62,350472,4453107,0
,,,,5007238,,,1109,信大,,,-69910,,,,,,,,,,,,,,,,,,,,4,上市,114,,,,,,0,,,,,,,,,,,,,,,,10281946,,,,8364879,,0,,24.52,1009921,5857661,,,,,,,,,3411589,,,1159192,,,15962,11441138,,,,,,,,,,,,,,1917067,149271,5583477,0
,,,,2613006,,,1110,東泥,,,952161,,,,,,,,,,,,,,,,,,,,4,上市,114,-8863,,,,,,,,,,,,,,,,,,,,,9644980,,,,9467253,,1536865,,16.60,2228192,3180784,,,,,,,,,5720008,,,3416509,,,190941,13061489,,,,,,,,,,,,,,177727,1188317,9880705,0
,,,,2733253,,,1201,味全,,,-180809,,,,,,,,,,,,,,,,,,,,4,上市,114,,,,,,0,,,,,,,,,,,,,,,,7670754,,,,7662467,,0,,15.14,6068848,6038693,,,,,,,,,5060629,,,9948683,,,49394,17619437,,,,,,,,,,,,,,8287,3879835,11580744,0
,,,,3764304,,,1203,味王,,,198185,,,,,,,,,,,,,,,,,,,,4,上市,114,-38464,,,,,0,,,,,,,,,,,,,,,,7424477,,,,6380806,,2293865,,26.84,1636386,4767257,,,,,,,,,2400000,,,3061721,,,56781,10486198,,,,,,,,,,,,,,1043671,1425335,5718941,0
,,,,12816296,,,1210,大成,,,1297958,,,,,,,,,,,,,,,,,,,,4,上市,114,-734821,,,,,,,,,,,,,,,,,,,,,35468800,,,,26601894,,58059471,,31.79,36371849,32982839,,,,,,,,,8947673,,,40683581,,,4274788,76152381,,,,,,,,,,,,,,8866906,4311732,43169542,0
,,,,64235,,,1213,大飲,,,-145,,,,,,,,,,,,,,,,,,,,4,上市,114,,,,,,,,,,,,,,,,,,,,,,652254,,,,652254,,0,,11.52,73495,285471,,,,,,,,,566226,,,130125,,,21938,782379,,,,,,,,,,,,,,,56630,496908,0
,,,,8226078,,,1215,卜蜂,,,1229692,,,,,,,,,,,,,,,,,,,,4,上市,114,,,,,,0,,,,,,,,,,,,,,,,12886265,,,,12440743,,0,,42.20,9580121,9197955,,,,,,,,,2947901,,,18978505,,,37072,31864770,,,,,,,,,,,,,,445522,9398384,22666815,0
,,,,79382407,,,1216,統一,,,-3055582,,,,,,,,,,,,,,,,,,,,4,上市,114,,,,,,0,,,,,,,,,,,,,,,,210675151,,,,135782210,,0,,23.90,271227631,237174040,,,,,,,,,56820154,,,526766119,,,2635231,737441270,,,,,,,,,,,,,,74892941,255538488,500267230,0
