停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益（淨額）,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,支出及費用,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）
,1240,茂生農經,,256763,7520,,,2.02,2,,上櫃,113,21428,,,,,68084,324847,,,,79352,-11268,,73090,,16422,1267539,1432034,193990,193990,120900,21975,89512,,336115,-11268,68084
,1259,安心,,121123,,,,2.08,2,,上櫃,113,8950,,,,,56432,177555,,,,67558,-11126,,14519,,50863,2317946,3009628,691682,691682,677163,,65382,,188390,-10835,56432
,1264,德麥,,57905,,,,10.02,2,,上櫃,113,126067,,,,,425051,482956,,,,371310,53741,,533587,,17531,2124849,3140695,1015846,1015846,482259,,551118,,408499,74457,425051
,1268,漢來美食,,37415,,,,6.27,2,,上櫃,113,64793,,,,,264924,302339,,,,264924,,,329665,,52,1601201,2995315,1394114,1394114,1064449,,329717,,302339,,264924
,1294,漢田生技,,,,,,3.24,2,,上櫃,113,22733,,,,,81720,81720,,,,81844,-124,,106279,,-1826,234559,396944,162385,162385,56106,,104453,,81844,-124,81720
,1295,生合,,9540,,,,2.98,2,,上櫃,113,49467,,,,,91574,101114,,,,91574,,,124038,,17003,201837,469660,267823,267823,143785,,141041,,101114,,91574
,1336,台翰,,68897,,,,0.97,2,,上櫃,113,47116,,,,,75295,144192,,,,75295,,,92738,,29673,964918,1185433,220515,220515,127777,,122411,,144192,,75295
,1565,精華,,451,,,,6.43,2,0,上櫃,113,89522,,,,,324424,324875,,,,324424,,,305280,,108666,1592790,2096089,503299,503299,198019,,413946,,324875,,324424
,1569,濱川,,139921,,,,-0.62,2,,上櫃,113,8070,,,,,-60078,79843,,,,-74861,14783,,-190385,,138377,1321733,1390807,69074,69074,259459,,-52008,,63035,16808,-60078
,1570,力肯,,49192,,,,1.03,2,,上櫃,113,12579,,,,,53121,102313,,,,53121,0,,49616,,16084,264991,357452,92461,92461,42845,,65700,,102313,0,53121
,1580,新麥,,55253,,,,6.62,2,,上櫃,113,140710,,,,,354741,409994,,,,332383,22358,,447400,,48051,1208724,2173933,965209,965209,517809,,495451,,384446,25548,354741
