停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益（淨額）,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,支出及費用,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）
,1240,茂生農經,,9771,2407,,,0.98,1,,上櫃,113,9502,,,,,33458,43229,,,,38740,-5282,,38163,,4797,626151,714830,100134,100134,61971,9048,42960,,48511,-5282,33458
,1259,安心,,175119,,,,1.01,1,,上櫃,113,4864,,,,,32095,207214,,,,32753,-658,,17049,,19910,1146648,1487296,340648,340648,323599,,36959,,207616,-402,32095
,1264,德麥,,38883,,,,5.08,1,,上櫃,113,61632,,,,,213413,252296,,,,188143,25270,,266981,,8064,1053060,1557820,504760,504760,237779,,275045,,213049,39247,213413
,1268,漢來美食,,8312,,,,4.73,1,,上櫃,113,49045,,,,,199759,208071,,,,199759,,,248013,,791,875672,1679417,803745,803745,555732,,248804,,208071,,199759
,1294,漢田生技,,,,,,1.84,1,,上櫃,113,8906,,,,,35565,35565,,,,35625,-60,,45371,,-900,108159,179882,71723,71723,26352,,44471,,35625,-60,35565
,1336,台翰,,67079,,,,0.43,1,,上櫃,113,20040,,,,,33592,100671,,,,33592,,,39336,,14296,450670,547359,96689,96689,57353,,53632,,100671,,33592
,1565,精華,,440,,,,3.77,1,0,上櫃,113,47528,,,,,189961,190401,,,,189961,,,165083,,72406,835620,1099745,264125,264125,99042,,237489,,190401,,189961
,1569,濱川,,109224,,,,0.02,1,,上櫃,113,10459,,,,,10924,120148,,,,2477,8447,,-80427,,101810,574960,620559,45599,45599,126026,,21383,,110794,9354,10924
,1570,力肯,,28260,,,,0.14,1,,上櫃,113,1825,,,,,7410,35670,,,,7410,0,,210,,9025,75628,96174,20546,20546,20336,,9235,,35670,0,7410
,1580,新麥,,37028,,,,2.73,1,,上櫃,113,66950,,,,,146745,183773,,,,137255,9490,,201703,,11992,528504,942562,414058,414058,212355,,213695,,172210,11563,146745
