CompanyName,Date,Season,SecuritiesCompanyCode,Year,停業單位損益,其他收益及費損淨額,其他綜合損益（淨額）,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,基本每股盈餘（元）,已實現銷貨（損）益,所得稅費用（利益）,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,營業利益（損失）,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）
金穎生技,1150904,2,1796,115,,,691.00,,,,-0.11,,-875.00,,-4420.00,-3729.00,,-4420.00,,-5595.00,300.00,251800.00,322124.00,70324.00,70324.00,75919.00,,-5295.00,,-3729.00,,-4420.00
易威,1150904,2,1799,115,,,10221.00,,,,0.06,,80.00,,9875.00,20096.00,,7933.00,1942.00,19103.00,-9148.00,241743.00,463329.00,221586.00,221586.00,202483.00,,9955.00,,17794.00,2302.00,9875.00
寶利徠,1150904,2,1813,115,,,-2416.00,,,,0.21,,-2676.00,,4269.00,1853.00,,9908.00,-5639.00,-48880.00,50473.00,158671.00,147746.00,-10925.00,-10925.00,37955.00,,1593.00,,7848.00,-5995.00,4269.00
富喬,1150904,2,1815,115,,,-7575.00,,,,2.24,,197897.00,,1300461.00,1292886.00,,1300461.00,,949554.00,548804.00,2484132.00,4012631.00,1528499.00,1528499.00,578945.00,,1498358.00,,1292886.00,,1300461.00
唐榮公司,1150904,2,2035,115,,,-3391.00,,,,0.55,,-1949.00,,191680.00,188289.00,,,,117915.00,71816.00,5029860.00,5291734.00,261874.00,261874.00,143959.00,,189731.00,,,,191680.00
風青,1150904,2,2061,115,,,7509.00,,,,1.03,,4926.00,,58832.00,66341.00,,58832.00,,39283.00,24475.00,599836.00,672585.00,72749.00,72749.00,33466.00,,63758.00,,66341.00,,58832.00
世鎧精密,1150904,2,2063,115,,,25296.00,,,,0.85,,7917.00,,40905.00,66201.00,,40905.00,,27473.00,21349.00,365389.00,459736.00,94347.00,94347.00,66874.00,,48822.00,,66201.00,,40905.00
晉椿,1150904,2,2064,115,,,-4404.00,,,,-0.04,,-34.00,61.00,-2712.00,-7116.00,,-2708.00,-4.00,3647.00,-6393.00,825983.00,894368.00,68385.00,68324.00,64677.00,,-2746.00,,-7093.00,-23.00,-2712.00
世豐,1150904,2,2065,115,,,-19095.00,,,,2.27,,36747.00,,144208.00,125113.00,,144208.00,,83658.00,97297.00,897533.00,1092466.00,194933.00,194933.00,111275.00,,180955.00,,125113.00,,144208.00
世德,1150904,2,2066,115,,,6068.00,,,,2.94,,29486.00,,130110.00,136178.00,,130110.00,,114288.00,45308.00,949116.00,1457915.00,508799.00,508799.00,394511.00,,159596.00,,136178.00,,130110.00
嘉鋼,1150904,2,2067,115,,,758.00,,,,-1.55,,-542.00,,-81066.00,-80308.00,,-70091.00,-10975.00,-66047.00,-15561.00,452010.00,464880.00,12870.00,12870.00,78917.00,,-81608.00,,-69214.00,-11094.00,-81066.00
精湛,1150904,2,2070,115,,,3643.00,,,,1.29,,7094.00,,50789.00,54432.00,,50789.00,,45961.00,11922.00,173344.00,347768.00,174424.00,174424.00,128463.00,,57883.00,,54432.00,,50789.00
雄順,1150904,2,2073,115,,,-693.00,,,,-0.37,,0.00,,-10211.00,-10904.00,,,,-8548.00,-1663.00,355626.00,379587.00,23961.00,23961.00,32509.00,,-10211.00,,,,-10211.00
大甲,1150904,2,2221,115,,,1970.00,,,,1.86,,20663.00,,80701.00,82671.00,0.00,78820.00,1881.00,101307.00,57.00,630960.00,807160.00,176200.00,176200.00,74893.00,,101364.00,0.00,80790.00,1881.00,80701.00
泰茂,1150904,2,2230,115,,,42595.00,,,,-1.48,,-548.00,,-101164.00,-58569.00,,-99831.00,-1333.00,-105235.00,3523.00,1159458.00,1160457.00,999.00,999.00,106234.00,,-101712.00,,-58015.00,-554.00,-101164.00
謚源,1150904,2,2235,115,,,0.00,,,,0.47,,4513.00,,16702.00,16702.00,,,,5115.00,16100.00,247326.00,290411.00,43085.00,43085.00,37970.00,,21215.00,,,,16702.00
綠意,1150904,2,2596,115,,,,,,,2.01,,49278.00,,199052.00,199052.00,,201190.00,-2138.00,241572.00,6758.00,430317.00,750324.00,320007.00,320007.00,78435.00,,248330.00,,201190.00,-2138.00,199052.00
大車隊,1150904,2,2640,115,,,-1915.00,,,,4.86,,78089.00,,287944.00,286029.00,,287745.00,199.00,363763.00,2270.00,831060.00,1665458.00,834398.00,834398.00,470635.00,,366033.00,,285830.00,199.00,287944.00
正德,1150904,2,2641,115,,,102458.00,,,,1.25,,34915.00,,460000.00,562458.00,,411515.00,48485.00,406579.00,88336.00,707205.00,1177268.00,470063.00,470063.00,63484.00,,494915.00,,513973.00,48485.00,460000.00
捷迅,1150904,2,2643,115,,,20359.00,,,,2.79,,31846.00,,97660.00,118019.00,,97660.00,,126740.00,2766.00,3122331.00,3411287.00,288956.00,288956.00,162216.00,,129506.00,,118019.00,,97660.00
全心投控,1150904,2,2718,115,,,-302.00,,,,2.72,,70702.00,,236332.00,236030.00,,236332.00,,76134.00,230900.00,101773.00,230354.00,128581.00,128581.00,52447.00,,307034.00,,236030.00,,236332.00
燦星旅,1150904,2,2719,115,,,,,,,0.55,,2434.00,,38230.00,38230.00,,38230.00,,51099.00,-10435.00,725493.00,849745.00,124252.00,124252.00,73153.00,,40664.00,,38230.00,,38230.00
藝舍-KY,1150904,2,2724,115,,,,,,,-0.10,,976.00,,-5299.00,-5299.00,,-5686.00,387.00,-24054.00,19731.00,94238.00,106218.00,11980.00,11980.00,36034.00,,-4323.00,,-5686.00,387.00,-5299.00
雅茗-KY,1150904,2,2726,115,,,1613.00,,,,-0.78,,780.00,,-31021.00,-29408.00,,-29584.00,-1437.00,-33822.00,3581.00,101416.00,275608.00,174192.00,174192.00,208014.00,,-30241.00,,-28076.00,-1332.00,-31021.00
瓦城,1150904,2,2729,115,,,4848.00,,,,3.47,,55916.00,,146610.00,151458.00,,147676.00,-1066.00,221131.00,-18605.00,1636420.00,3289716.00,1653296.00,1653296.00,1432165.00,,202526.00,,152524.00,-1066.00,146610.00
