停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益（淨額）,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,支出及費用,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）
,1240,茂生農經,,-37755,-3434,,,2.50,2,,上櫃,114,20891,,,,,99732,61977,,,,103230,-3498,,77907,,42716,1176369,1347115,201369,201369,123462,34057,120623,,65475,-3498,99732
,1259,安心,,-127194,,,,0.93,2,,上櫃,114,-199,,,,,32705,-94489,,,,30022,2683,,-10500,,43006,2332217,2998322,666105,666105,676605,,32506,,-95051,562,32705
,1264,德麥,,-180038,,,,10.28,2,,上櫃,114,136265,,,,,436861,256823,,,,380996,55865,,560568,,12558,2217655,3291426,1073771,1073771,513203,,573126,,269986,-13163,436861
,1268,漢來美食,,-52005,,,,6.15,2,,上櫃,114,67520,,,,,259715,207710,,,,259715,,,349890,,-22655,1678276,3150533,1472257,1472257,1122367,,327235,,207710,,259715
,1294,漢田生技,,,,,,2.35,2,,上櫃,114,17213,,,,,70756,70756,,,,70745,11,,88502,,-533,229544,369142,139598,139598,51096,,87969,,70745,11,70756
,1295,生合,,-30012,,,,3.18,2,,上櫃,114,24473,,,,,101938,71926,,,,101938,,,144483,,-18072,236991,542837,305846,305846,161363,,126411,,71926,,101938
,1336,台翰,,-167837,,,,0.38,2,,上櫃,114,32988,,,,,29231,-138606,,,,29231,,,87245,,-25026,1043173,1268303,225130,225130,137885,,62219,,-138606,,29231
,1565,精華,,319,,,,4.00,2,,上櫃,114,64120,,,,,201806,202125,,,,201806,,,349949,,-84023,1641554,2168500,526946,526946,176997,,265926,,202125,,201806
,1569,濱川,,-256165,,,,-3.61,2,,上櫃,114,16080,,,,,-416610,-672775,,,,-438018,21408,,-262267,,-138263,1676178,1688940,12762,12762,275029,,-400530,,-688548,15773,-416610
,1570,力肯,,-8067,,,,0.43,2,,上櫃,114,6619,,,,,22351,14284,,,,22351,0,,44870,,-15900,196969,281120,84151,84151,39281,,28970,,14284,0,22351
,1580,新麥,,-234627,,,,5.69,2,,上櫃,114,180821,,,,,304771,70144,,,,284502,20269,,467289,,18303,1336990,2338679,1001689,1001689,534400,,485592,,63111,7033,304771
,1584,精剛,,-85668,,,,0.04,2,,上櫃,114,2131,,,,,5670,-79998,,,,9983,-4313,,32971,,-25170,1172965,1339969,167004,167004,134033,,7801,,-75685,-4313,5670
,1586,和勤,,-123734,,,,-0.43,2,,上櫃,114,-9882,,,,,-40765,-164499,,,,-40765,,,-57433,,6786,976173,1100817,124644,124644,182077,,-50647,,-164499,,-40765
,1591,駿吉-KY,,-19966,,,,-1.34,2,,上櫃,114,-2116,,,,,-50225,-70191,,,,-50225,,,-49773,,-2568,56014,48948,-7066,-7066,42707,,-52341,,-70191,,-50225
