停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益（淨額）,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,支出及費用,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）
,1240,茂生農經,,-20163,-75,,,2.68,3,,上櫃,112,26461,,,,,87055,66892,,,,105405,-18350,,93052,,20464,1909764,2125472,243295,243295,150243,27662,113516,,85242,-18350,87055
,1259,安心,,378848,,,,4.58,3,,上櫃,112,14131,,,,,145233,524081,,,,148240,-3007,,65354,,94010,3427286,4527758,1100472,1100472,1035118,,159364,,526867,-2786,145233
,1264,德麥,,18451,,,,13.81,3,,上櫃,112,180323,,,,,579436,597887,,,,511863,67573,,746377,,13382,2828469,4254717,1426248,1426248,679871,,759759,,527109,70778,579436
,1268,漢來美食,,54511,,,,6.80,3,,上櫃,112,61398,,,,,287230,341741,,,,287230,,,329958,,18670,1986389,3609492,1623103,1623103,1293145,,348628,,341741,,287230
,1336,台翰,,40543,,,,1.04,3,,上櫃,112,70687,,,,,80279,120822,,,,80279,,,124416,,26550,1465105,1762990,297885,297885,173469,,150966,,120822,,80279
,1565,精華,,1029,,,,8.70,3,1,上櫃,112,108592,,,,,438839,439868,,,,438839,,,419729,,127702,2564651,3259496,694845,694846,275117,,547431,,439868,,438839
,1569,濱川,,58165,,,,-0.42,3,,上櫃,112,22266,,,,,-44840,13325,,,,-50745,5905,,-146399,,123825,2518358,2778481,260123,260123,406522,,-22574,,11197,2128,-44840
,1570,力肯,,11526,,,,0.34,3,,上櫃,112,7240,,,,,17481,29007,,,,17481,0,,6885,,17836,238078,306354,68276,68276,61391,,24721,,29007,0,17481
,1580,新麥,,10874,,,,9.48,3,,上櫃,112,205658,,,,,501089,511963,,,,476224,24865,,657854,,48893,1905724,3303399,1397675,1397675,739821,,706747,,486060,25903,501089
,1584,精剛,,7793,,,,1.34,3,,上櫃,112,2309,,,,,211932,219725,,,,214844,-2912,,125966,,88275,1714915,1962999,248084,248084,122118,,214241,,222637,-2912,211932
