停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益（淨額）,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,支出及費用,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）
,1240,茂生農經,,-235,7612,,,4.12,4,,上櫃,112,36604,,,,,135892,135657,,,,162310,-26418,,125305,,47191,2615623,2910168,346288,346288,220983,44131,172496,,162075,-26418,135892
,1259,安心,,297117,,,,5.17,4,,上櫃,112,13606,,,,,163040,460157,,,,167442,-4402,,65364,,111282,4559176,5993760,1434584,1434584,1369220,,176646,,464653,-4496,163040
,1264,德麥,,-26916,,,,18.24,4,,上櫃,112,239215,,,,,773832,746916,,,,675756,98076,,993364,,19683,3902592,5838363,1935771,1935771,942407,,1013047,,660933,85983,773832
,1268,漢來美食,,108259,,,,7.61,4,,上櫃,112,64276,,,,,321148,429407,,,,321148,,,368192,,17232,2722619,4918533,2195914,2195914,1827722,,385424,,429407,,321148
,1294,漢田生技,,,,,,7.66,4,,上櫃,112,37036,,,,,147533,147533,,,,148118,-585,,185706,,-1137,344289,625141,280852,280852,95146,,184569,,148118,-585,147533
,1295,生合,,-6504,,,,3.68,4,,上櫃,112,33796,,,,,113271,106767,,,,113271,,,142959,,4108,404558,823304,418746,418746,275787,,147067,,106767,,113271
,1336,台翰,,-45478,,,,1.39,4,,上櫃,112,91781,,,,,107390,61912,,,,107390,,,162091,,37080,1927079,2316598,389519,389519,227428,,199171,,61912,,107390
,1565,精華,,2977,,,,10.83,4,1,上櫃,112,132964,,,0,,545954,548931,,,,545954,,,605699,,73219,3418643,4393888,975245,975246,369547,,678918,,548931,,545954
,1569,濱川,,-50815,,,,-0.95,4,,上櫃,112,-38898,,,,,-104100,-154915,,,,-115390,11290,,-201809,,58811,3266964,3605401,338437,338437,540246,,-142998,,-160566,5651,-104100
,1570,力肯,,19661,,,,0.36,4,,上櫃,112,7302,,,,,18653,38314,,,,18653,,,9442,,16513,302447,393659,91212,91212,81770,,25955,,38314,,18653
,1580,新麥,,-36111,,,,12.01,4,,上櫃,112,298922,,,,,636359,600248,,,,603037,33322,,874899,,60382,2593232,4498686,1905454,1905454,1030555,,935281,,568624,31624,636359
,1584,精剛,,16049,,,,3.01,4,,上櫃,112,3867,,,,,502172,518221,,,,506445,-4273,,178036,,328003,2391159,2748485,357326,357326,179290,,506039,,522494,-4273,502172
,1586,和勤,,-27224,,,,-0.67,4,,上櫃,112,-19093,,,,,-54313,-81537,,,,-54313,,,-67606,,-5800,2054576,2310590,256014,256014,323620,,-73406,,-81537,,-54313
,1591,駿吉-KY,,-19629,,,,-1.43,4,,上櫃,112,-11043,,,,,-49407,-69036,,,,-49407,,,-63161,,2711,95321,71741,-23580,-23580,39581,,-60450,,-69036,,-49407
,1593,祺驊,,-5202,,,,1.28,4,,上櫃,112,26112,,,,,79467,74265,,,,50786,28681,,90169,,15410,733718,1065434,331716,331716,241547,,105579,,45584,28681,79467
,1595,川寶,,6907,,,,1.04,4,,上櫃,112,42791,,,,,48739,55646,,,,49227,-488,,29968,,61562,1031785,1407762,375977,375977,346009,,91530,,56134,-488,48739
,1599,宏佳騰,,6013,,,,-0.06,4,,上櫃,112,2788,,,,,-4530,1483,,,,-4530,,,-86747,,85005,1729026,2144084,415058,415058,501805,,-1742,,1483,,-4530
,1742,台蠟,,1915,,,,0.41,4,,上櫃,112,158,,,,,38302,40217,,,,38302,0,,48777,,-10317,273949,392001,118052,118052,69275,,38460,,40217,0,38302
,1777,生泰,,874,,,,5.63,4,,上櫃,112,62756,,,,,251013,251887,,,,,,,281851,,31918,705166,1114687,409521,409521,127670,,313769,,,,251013
,1780,立弘,,-3840,,,,1.02,4,,上櫃,112,24972,,,,,97412,93572,,,,97412,,,88714,,33670,473992,720431,246439,246439,157725,,122384,,93572,,97412
,1781,合世,,-3979,,,,-0.70,4,,上櫃,112,-4332,,,,,-33229,-37208,,,,-33229,,,-41063,,3502,508066,601171,93105,93105,134168,,-37561,,-37208,,-33229
,1784,訊聯,,-944,,,,1.67,4,,上櫃,112,25687,,,,,81397,80453,,,,78399,2998,,84693,,22391,489027,1127304,638277,638277,553584,,107084,,77657,2796,81397
,1785,光洋科,,-37329,,,,1.83,4,,上櫃,112,222243,,,,,1066418,1029089,,,,1084941,-18523,,1365837,,-77176,19906133,22629192,2723059,2723059,1357222,,1288661,,1047612,-18523,1066418
,1788,杏昌,,-3119,,,,8.01,4,,上櫃,112,86321,,,,,347984,344865,,,,347984,,,406544,,27761,2879984,3895778,1015794,1015794,609250,,434305,,344865,,347984
,1796,金穎生技,,-365,,,,3.01,4,,上櫃,112,28812,,,,,124621,124256,,,,124621,,,153565,,-132,507419,793770,286351,286351,132786,,153433,,124256,,124621
,1799,易威,,-8960,,,,-1.27,4,,上櫃,112,256,,,,,-170165,-179125,,,,-144818,-25347,,-162738,,-7171,100910,271628,170718,170718,333456,,-169909,,-153476,-25649,-170165
,1813,寶利徠,,1093,,,,0.24,4,,上櫃,112,-5677,,,,,-4350,-3257,,,,11198,-15548,,-86076,,76049,364382,360452,-3930,-3930,82146,,-10027,,12294,-15551,-4350
,1815,富喬,,-228953,,,,-1.44,4,,上櫃,112,-191431,,,,,-651195,-880148,,,,-651195,,,-522738,,-319888,3212151,3199921,-12230,-12230,510508,,-842626,,-880148,,-651195
,2035,唐榮公司,,24527,,,,-3.22,4,,上櫃,112,,,,,,-1125320,-1100793,,,,,,,-1142505,,17185,11570952,10706636,-864316,-864316,278189,,-1125320,,,,-1125320
,2061,風青,,-3451,,,,-0.54,4,,上櫃,112,3569,,,,,-25395,-28846,,,,-25395,,,-32057,,10231,858708,887425,28717,28717,60774,,-21826,,-28846,,-25395
,2063,世鎧精密,,3837,,,,4.95,4,,上櫃,112,58364,,,,,245494,249331,,,,245494,,,307459,,-3601,974913,1428614,453701,453701,146242,,303858,,249331,,245494
,2064,晉椿,,59,,,,-1.36,4,,上櫃,112,-2184,,,733,,-94219,-94160,,,,-94298,79,,-101351,,4948,1414491,1430228,15737,15004,116355,,-96403,,-94235,75,-94219
,2065,世豐,,38200,,,,5.12,4,,上櫃,112,65160,,,,,266683,304883,,,,266683,,,317162,,14681,1828338,2323605,495267,495267,178105,,331843,,304883,,266683
,2066,世德,,6502,,,,8.08,4,,上櫃,112,87812,,,,,328050,334552,,,,329906,-1856,,398391,,17471,1845264,2776692,931428,931428,533037,,415862,,333330,1222,328050
,2067,嘉鋼,,-3333,,,,-0.76,4,,上櫃,112,34311,,,,,-54220,-57553,,,,-34432,-19788,,-47190,,27281,1028051,1159871,131820,131820,179010,,-19909,,-37404,-20149,-54220
,2070,精湛,,8831,,,,2.25,4,,上櫃,112,22101,,,,,80657,89488,,,,80657,,,93599,,9159,301635,622326,320691,320691,227092,,102758,,89488,,80657
,2073,雄順,,782,,,,0.49,4,,上櫃,112,3126,,,,,12943,13725,,,,,,,18213,,-2144,433148,516816,83668,83668,65455,,16069,,,,12943
,2221,大甲,,-83,,,,2.05,4,,上櫃,112,31164,,,,,103083,103000,,,,86590,16493,,135151,,-904,1207906,1478924,271018,271018,135867,,134247,0,86507,16493,103083
,2230,泰茂,61,-9753,,,,2.66,4,,上櫃,112,16902,,,,,126106,116353,,,,126436,-330,,129239,,13769,441307,658413,217106,217106,87928,,143008,,116964,-611,126106
,2235,謚源,,1019,,,,2.42,4,,上櫃,112,25132,,,,,86796,87815,,,,,,,76970,,34958,443744,586469,142725,142725,65755,,111928,,,,86796
,2596,綠意,,,,,,0.82,4,,上櫃,112,-21381,,,,,79959,79959,,,,82315,-2356,,55265,,3313,759636,912980,153344,153344,98079,,58578,,82315,-2356,79959
,2640,大車隊,,,,,,7.08,4,,上櫃,112,124462,,,,,406216,406216,,,,419655,-13439,,559949,,-29271,1526100,2872219,1346119,1346119,786170,,530678,,419655,-13439,406216
,2641,正德,,-17607,,,,1.69,4,,上櫃,112,94629,,,,,424402,406795,,,,424402,,,512396,,6635,727426,1337660,610234,610234,97838,,519031,,406795,,424402
