停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益（淨額）,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,支出及費用,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）
,1240,茂生農經,,-51542,4763,,,3.84,3,,上櫃,114,10282,,,,,165197,113655,,,,169898,-4701,,110095,,65384,1801786,2045285,298768,298768,188673,50506,175479,,118356,-4701,165197
,1259,安心,,685425,,,,1.03,3,,上櫃,114,-2298,,,,,36357,721782,,,,33238,3119,,-19092,,53151,3519577,4533517,1013940,1013940,1033032,,34059,,720577,1205,36357
,1264,德麥,,-100210,,,,15.94,3,,上櫃,114,206498,,,,,681017,580807,,,,590673,90344,,872559,,14956,3367659,5006354,1638695,1638695,766136,,887515,,528666,52141,681017
,1268,漢來美食,,-63307,,,,7.70,3,,上櫃,114,79870,,,,,325020,261713,,,,325020,,,412556,,-7666,2505806,4617097,2111291,2111291,1698735,,404890,,261713,,325020
,1294,漢田生技,,,,,,3.37,3,,上櫃,114,24576,,,,,101608,101608,,,,101586,22,,126598,,-414,356459,564816,208357,208357,81759,,126184,,101586,22,101608
,1295,生合,,-15943,,,,4.07,3,,上櫃,114,25779,,,,,133700,117757,,,,133700,,,164896,,-5417,341126,754124,412998,412998,248102,,159479,,117757,,133700
,1336,台翰,,-145884,,,,0.60,3,,上櫃,114,48981,,,,,46911,-98973,,,,46911,,,110216,,-14324,1575730,1887167,311437,311437,201221,,95892,,-98973,,46911
,1565,精華,,-400,,,,6.69,3,,上櫃,114,98213,,,,,337079,336679,,,,337079,,,453622,,-18330,2396087,3174384,778297,778297,324675,,435292,,336679,,337079
,1569,濱川,,-147911,,,,-4.54,3,,上櫃,114,27966,,,,,-532324,-680235,,,,-558427,26103,,-395024,,-109334,2483661,2498391,14730,14730,409754,,-504358,,-704922,24687,-532324
,1570,力肯,,11798,,,,0.66,3,,上櫃,114,9266,,,,,33778,45576,,,,33778,,,47219,,-4175,312922,419633,106711,106711,59492,,43044,,45576,,33778
,1580,新麥,,-132867,,,,9.37,3,,上櫃,114,251866,,,,,496553,363686,,,,466194,30359,,705671,,42748,2111162,3648595,1537433,1537433,831762,,748419,,340737,22949,496553
,1584,精剛,,-53543,,,,0.23,3,,上櫃,114,4539,,,,,47747,-5796,,,,53620,-5873,,43974,,8312,1737349,1956173,218824,218824,174850,,52286,,77,-5873,47747
,1586,和勤,,-67410,,,,-0.46,3,,上櫃,114,-11908,,,,,-44979,-112389,,,,-44979,,,-68156,,11269,1471171,1663445,192274,192274,260430,,-56887,,-112389,,-44979
,1591,駿吉-KY,,-4294,,,,-2.09,3,,上櫃,114,-2099,,,,,-78687,-82981,,,,-78687,,,-78998,,-1788,92704,85121,-7583,-7583,71415,,-80786,,-82981,,-78687
,1593,祺驊,,-47234,,,,1.28,3,,上櫃,114,27160,,,,,73024,25790,,,,50979,22045,,85454,,14730,612433,891997,279564,279564,194110,,100184,,3745,22045,73024
,1595,川寶,,-15270,,,,-1.81,3,,上櫃,114,521,,,,,-98756,-114026,,,,-97765,-991,,-85941,,-12294,367003,504168,137165,137165,223106,,-98235,,-113035,-991,-98756
,1599,宏佳騰,,12214,,,,-0.47,3,,上櫃,114,-8690,,,,,-49404,-37190,,,,-33962,-15442,,-80004,,21910,1160177,1457670,297493,297493,377497,,-58094,,-21748,-15442,-49404
