停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益（淨額）,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,支出及費用,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）
,1240,茂生農經,,15975,6366,,,0.89,1,,上櫃,115,6882,,,,,38253,54228,,,,39391,-1138,,31961,,13174,606979,689952,88237,88237,56276,-1102,45135,,55366,-1138,38253
,1259,安心,,-411591,,,,0.06,1,,上櫃,115,798,,,,,2033,-409558,,,,1827,206,,8932,,-6101,1175806,1522360,346554,346554,337622,,2831,,-409764,206,2033
,1264,德麥,,50929,,,,5.50,1,,上櫃,115,69751,,,,,234178,285107,,,,203870,30308,,296227,,7702,1173965,1757903,583938,583938,287711,,303929,,232123,52984,234178
,1268,漢來美食,,1032,,,,5.87,1,,上櫃,115,62528,,,,,248033,249065,,,,248033,,,315800,,-5239,1016193,1988327,972134,972134,656334,,310561,,249065,,248033
,1294,漢田生技,,,,,,1.41,1,,上櫃,115,10681,,,,,42727,42727,,,,42722,5,,52772,,636,144137,228051,83914,83914,31142,,53408,,42722,5,42727
,1295,生合,,10590,,,,0.39,1,,上櫃,115,3931,,,,,13346,23936,,,,13346,,,14638,,2639,112762,214544,101782,101782,87144,,17277,,23936,,13346
,1336,台翰,,32360,,,,0.10,1,,上櫃,115,4554,,,,,7517,39877,,,,7517,,,-3265,,15336,490143,558637,68494,68494,71759,,12071,,39877,,7517
,1565,精華,,481,,,,1.39,1,,上櫃,115,17580,,,,,70256,70737,,,,70256,,,70789,,17047,716775,899543,182768,182768,111979,,87836,,70737,,70256
,1569,濱川,,64467,,,,-0.73,1,,上櫃,115,43136,,,,,-94142,-29675,,,,-101749,7607,,-77082,,26076,748440,806019,57579,57579,134661,,-51006,,-39949,10274,-94142
,1570,力肯,,12379,,,,0.23,1,,上櫃,115,2293,,,,,12096,24475,,,,12096,,,8839,,5550,92449,119453,27004,27004,18165,,14389,,24475,,12096
,1580,新麥,,67182,,,,2.73,1,,上櫃,115,69644,,,,,142655,209837,,,,134795,7860,,211149,,1150,619918,1094432,474514,474514,263365,,212299,,197893,11944,142655
,1584,精剛,,-33459,,,,0.09,1,,上櫃,115,2910,,,,,19772,-13687,,,,20537,-765,,17431,,5251,457630,513036,55406,55406,37975,,22682,,-12922,-765,19772
,1586,和勤,,40004,,,,0.17,1,,上櫃,115,4667,,,,,17462,57466,,,,17462,,,20225,,1904,450744,547977,97233,97233,77008,,22129,,57466,,17462
,1591,駿吉-KY,,8789,,,,-1.18,1,,上櫃,115,-716,,,,,-44821,-36032,,,,-44821,,,-45458,,-79,90412,132360,41948,41948,87406,,-45537,,-36032,,-44821
,1593,祺驊,,12693,,,,0.58,1,,上櫃,115,6682,,,,,30920,43613,,,,23008,7912,,27786,,9816,211002,304502,93500,93500,65714,,37602,,35701,7912,30920
,1595,川寶,,6206,,,,-0.74,1,,上櫃,115,1246,,,,,-40319,-34113,,,,-40319,0,,-54915,,15842,142808,166389,23581,23581,78496,,-39073,,-34113,0,-40319
,1599,宏佳騰,,-4239,,,,0.28,1,,上櫃,115,7356,,,,,11745,7506,,,,20037,-8292,,6670,,12431,501117,642632,141515,141515,134845,,19101,,15798,-8292,11745
,1742,台蠟,,-1324,,,,-0.13,1,,上櫃,115,0,,,,,-12398,-13722,,,,-12398,,,-14904,,2506,16438,17633,1195,1195,16099,,-12398,,-13722,,-12398
,1777,生泰,,,,,,1.61,1,,上櫃,115,17913,,,,,71651,71651,,,,,,,77735,,11829,164379,275573,111194,111194,33459,,89564,,,,71651
,1780,立弘,,335,,,,0.40,1,,上櫃,115,9642,,,,,38536,38871,,,,38536,,,40600,,7578,152006,240253,88247,88247,47647,,48178,,38871,,38536
,1781,合世,,-30,,,,-0.19,1,,上櫃,115,1610,,,,,-8887,-8917,,,,-8887,,,-18959,,11682,84831,96969,12138,12138,31097,,-7277,,-8917,,-8887
,1784,訊聯,,1175,,,,0.25,1,,上櫃,115,4542,,,,,-1156,19,,,,12372,-13528,,-5088,,8474,145361,314699,169338,169338,174426,,3386,,12789,-12770,-1156
,1785,光洋科,,89644,,,,2.54,1,,上櫃,115,418207,,,,,1591892,1681536,,,,1514364,77528,,2020785,,-10686,11904165,14557891,2653726,2653726,632941,,2010099,,1603969,77567,1591892
,1788,杏昌,,967,,,,2.34,1,0,上櫃,115,26768,,,0,,104304,105271,,,,104304,,,131110,,-38,818514,1145185,326671,326671,195561,,131072,,105271,,104304
,1796,金穎生技,,480,,,,-0.16,1,,上櫃,115,212,,,,,-6691,-6211,,,,-6691,,,-7553,,1074,125127,153198,28071,28071,35624,,-6479,,-6211,,-6691
,1799,易威,,8251,,,,0.16,1,,上櫃,115,80,,,,,21947,30198,,,,20388,1559,,18206,,3821,113225,236695,123470,123470,105264,,22027,,28375,1823,21947
,1813,寶利徠,,-3007,,,,0.11,1,,上櫃,115,-902,,,,,2104,-903,,,,5177,-3073,,-26158,,27360,81267,73819,-7448,-7448,18710,,1202,,2628,-3531,2104
,1815,富喬,,69436,,,,0.79,1,,上櫃,115,85016,,,,,457890,527326,,,,457890,,,402036,,140870,1204773,1881439,676666,676666,274630,,542906,,527326,,457890
,2035,唐榮公司,,-468,,,,0.33,1,,上櫃,115,-1949,,,,,114121,113653,,,,,,,30886,,81286,2369240,2473778,104538,104538,73652,,112172,,,,114121
,2061,風青,,4991,,,,0.30,1,,上櫃,115,2240,,,,,17244,22235,,,,17244,,,23871,,-4387,276898,316733,39835,39835,15964,,19484,,22235,,17244
,2063,世鎧精密,,16962,,,,0.33,1,,上櫃,115,7861,,,,,15784,32746,,,,15784,,,14966,,8679,173960,220196,46236,46236,31270,,23645,,32746,,15784
,2064,晉椿,,-2367,,,,0.00,1,,上櫃,115,153,,,42,,-171,-2538,,,,-175,4,,-3605,,3587,415540,442937,27397,27355,30960,,-18,,-2542,4,-171
,2065,世豐,,10631,,,,0.92,1,,上櫃,115,14478,,,,,58216,68847,,,,58216,,,43650,,29044,446831,545560,98729,98729,55079,,72694,,68847,,58216
,2066,世德,,4382,,,,1.96,1,,上櫃,115,19607,,,,,86618,91000,,,,86618,,,68556,,37669,467830,730323,262493,262493,193937,,106225,,91000,,86618
,2067,嘉鋼,,950,,,,-0.68,1,,上櫃,115,-270,,,,,-36836,-35886,,,,-30854,-5982,,-29839,,-7267,219512,230032,10520,10520,40359,,-37106,,-29873,-6013,-36836
,2070,精湛,,1025,,,,0.28,1,,上櫃,115,3279,,,,,10492,11517,,,,10492,,,7462,,6309,84065,157528,73463,73463,66001,,13771,,11517,,10492
,2073,雄順,,-231,,,,-0.28,1,,上櫃,115,-1931,,,,,-7725,-7956,,,,,,,-8984,,-672,109369,116048,6679,6679,15663,,-9656,,,,-7725
,2221,大甲,,1807,,,,0.69,1,,上櫃,115,7794,,,,,30975,32782,,,,29098,1877,,37930,,839,299715,372219,72504,72504,34574,,38769,0,30905,1877,30975
,2230,泰茂,,-1393,,,,-1.21,1,,上櫃,115,6818,,,,,-82869,-84262,,,,-82267,-602,,-79849,,3798,746152,733737,-12415,-12415,67434,,-76051,,-84157,-105,-82869
,2235,謚源,,0,,,,0.27,1,,上櫃,115,2603,,,,,9783,9783,,,,,,,2806,,9580,122929,143786,20857,20857,18051,,12386,,,,9783
,2596,綠意,,,,,,0.20,1,,上櫃,115,6247,,,,,19392,19392,,,,20466,-1074,,25910,,-271,80692,130962,50270,50270,24360,,25639,,20466,-1074,19392
,2640,大車隊,,,,,,2.36,1,,上櫃,115,36703,,,,,140300,140300,,,,140000,300,,178077,,-1074,405017,815153,410136,410136,232059,,177003,,140000,300,140300
,2641,正德,,148290,,,,0.71,1,,上櫃,115,0,,,,,242506,390796,,,,234345,8161,,210184,,32322,364439,606529,242090,242090,31906,,242506,,382635,8161,242506
,2643,捷迅,,20589,,,,0.68,1,,上櫃,115,10863,,,,,23964,44553,,,,23964,,,27432,,7395,1349237,1456158,106921,106921,79489,,34827,,44553,,23964
,2718,全心投控,,-3812,,,,2.63,1,,上櫃,115,14803,,,,,229221,225409,,,,229221,,,53363,,190661,67118,148375,81257,81257,27894,,244024,,225409,,229221
,2719,燦星旅,,,,,,0.75,1,,上櫃,115,126,,,,,52155,52155,,,,52155,,,46540,,5741,435305,522665,87360,87360,40820,,52281,,52155,,52155
,2724,藝舍-KY,,,,,,-0.43,1,,上櫃,115,152,,,,,-26223,-26223,,,,-25516,-707,,-24942,,-1129,41278,32041,-9237,-9237,15705,,-26071,,-25516,-707,-26223
,2726,雅茗-KY,,3113,,,,-0.33,1,,上櫃,115,1217,,,,,-13401,-10288,,,,-12252,-1149,,-15268,,3084,48078,135312,87234,87234,102502,,-12184,,-9268,-1020,-13401
,2729,瓦城,,5128,,,,1.64,1,,上櫃,115,26593,,,,,69150,74278,,,,69838,-688,,102701,,-6958,835915,1653229,817314,817314,714613,,95743,,74966,-688,69150
,2732,六角,-253,11800,,,,1.10,1,524,上櫃,115,18152,,,,,60409,72209,,,,51219,9190,,79529,,-968,675828,1341834,666006,666530,586748,,78561,,59217,12992,60409
,2734,易飛網,,32,,,,0.17,1,,上櫃,115,47,,,,,9901,9933,,,,9901,,,23078,,-13130,469484,556664,87180,87180,64102,,9948,,9933,,9901
,2736,富野,,3152,,,,-0.10,1,,上櫃,115,0,,,,,-9502,-6350,,,,-7721,-1781,,-2730,,-6772,78320,169353,91033,91033,93763,,-9502,,-4569,-1781,-9502
,2740,華軒,,,,,,-1.32,1,,上櫃,115,,,,,,-19573,-19573,,,,-19573,,,-13810,,-5763,11976,18509,6533,6533,20343,,-19573,,-19573,,-19573
,2743,山富,,,,,,1.71,1,,上櫃,115,22286,,,,,80098,80098,,,,80098,,,116261,,-13877,1605076,1831722,226646,226646,110385,,102384,,80098,,80098
,2745,五福,,,,,,3.44,1,,上櫃,115,29429,,,,,116314,116314,,,,116314,,,155866,,-10123,2164485,2541498,377013,377013,221147,,145743,,116314,,116314
,2751,王座,-50,50,,,,1.01,1,,上櫃,115,6087,,,,,23835,23885,,,,20036,3799,,31363,,-1441,252360,505269,252909,252909,221496,,29922,,20086,3799,23835
,2752,豆府,,-2490,,,,4.08,1,,上櫃,115,27427,,,,,110350,107860,,,,108932,1418,,132723,,5054,514717,1096127,581410,581410,448687,,137777,,106413,1447,110350
,2754,亞洲藏壽司,,725,,,,1.42,1,,上櫃,115,16701,,,,,66684,67409,,,,66684,,,96468,,-13083,878542,1482033,603491,603491,507023,,83385,,67409,,66684
,2755,揚秦,,886,,,,1.65,1,,上櫃,115,15431,,,,,61309,62195,,,,61309,,,77358,,-618,599326,824535,225209,225209,147851,,76740,,62195,,61309
,2756,聯發國際,,1846,,,,0.51,1,,上櫃,115,3507,,,,,12392,14238,,,,12392,,,9689,,6210,153629,301267,147638,147638,137949,,15899,,14238,,12392
,2916,滿心,,4411,,,,1.26,1,,上櫃,115,20304,,,,,81215,85626,,,,,,,82385,,19134,255082,538098,283016,283016,200631,,101519,,,,81215
,2924,宏太-KY,,94,,,,-0.22,1,,上櫃,115,0,,,,,-11707,-11613,,,,-11707,,,-11189,,-518,14019,17766,3747,3747,14936,,-11707,,-11613,,-11707
,2926,誠品生活,,7731,,,,0.17,1,,上櫃,115,16633,,,,,8059,15790,,,,8180,-121,,6834,,17858,1057390,1722858,665468,665468,658634,,24692,,15920,-130,8059
,2937,集雅社,,,,,,0.62,1,,上櫃,115,6138,,,,,26809,26809,,,,26809,,,34532,,-1585,974108,1227773,253665,253665,219133,,32947,,26809,,26809
,2941,米斯特,,0,,,,0.89,1,,上櫃,115,3436,,,,,13627,13627,,,,,,,17152,,-89,89263,245950,156687,156687,139535,,17063,,,,13627
,2947,振宇五金,,,,,,1.02,1,,上櫃,115,5411,,,,,21717,21717,,,0,21717,0,,29783,,-2655,343914,585913,241999,241999,212216,,27128,,21717,,21717
,2948,寶陞,,16107,,,,0.40,1,,上櫃,115,7977,,,,,12448,28555,,,,12448,,,30593,,-10168,299067,531050,231983,231983,201390,,20425,,28555,,12448
,2949,欣新網,,0,,,,0.74,1,,上櫃,115,7321,,,,,23901,23901,,,,22453,1448,,31610,,-388,1235668,1410031,174363,174363,142753,,31222,,22453,1448,23901
,3064,泰偉,,70,,,,-0.27,1,,上櫃,115,,,,,,-3514,-3444,,,,-3513,-1,,-2758,,-756,1732,19573,17841,17841,20599,,-3514,,-3443,-1,-3514
,3066,李洲,,21389,,,,0.52,1,,上櫃,115,1220,,,,,51083,72472,,,,43081,8002,,-7309,,59612,42298,65831,23533,23533,30842,,52303,,63306,9166,51083
,3067,全域,,0,,,,0.12,1,482,上櫃,115,0,,,2130,,2325,2325,,,,2325,,,804,,1521,18178,26116,7938,6290,5486,,2325,,2325,,2325
,3071,協禧,,63124,,,,0.15,1,,上櫃,115,17221,,,,,25525,88649,,,,16155,9370,,68702,,-25956,494095,706438,212343,212343,143641,,42746,,72726,15923,25525
,3073,天方能源,0,-4460,,,,0.00,1,,上櫃,115,0,,,,,-213,-4673,,,,-195,-18,,-4131,,3918,55207,63255,8048,8048,12179,,-213,,-4655,-18,-213
,3078,僑威,,124647,,,,0.72,1,,上櫃,115,45814,,,,,163356,288003,,,,163356,,,147339,,61831,1347859,1696610,348751,348751,201412,,209170,,288003,,163356
,3081,聯亞,,-209,,,,3.44,1,,上櫃,115,79379,,,,,317515,317306,,,,,,,373230,,23664,409156,904389,495233,495233,122003,,396894,,,,317515
,3083,網龍,,9631,,,,0.30,1,,上櫃,115,919,,,,,26155,35786,,,,25744,411,,-3285,,30359,18809,98413,79604,79604,82889,,27074,,35187,599,26155
,3085,新零售,,-5100,,,,-0.24,1,,上櫃,115,0,,,,,-16820,-21920,,,,-16820,,,-15925,,-895,3653,11821,8168,8168,24093,,-16820,,-21920,,-16820
