公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
1101,台泥,1144806,3,上市,113,-27875764,66366622,74379277,8012655,14478623,20264990
1102,亞泥,1282427,3,上市,113,-14096500,33229516,15151261,-18078255,19629509,-24893691
1103,嘉泥,23249,3,上市,113,652739,2054339,1971529,-82810,184029,-942827
1104,環泥,,3,上市,113,-133859,1418310,1322443,-95867,1554757,-1516765
1108,幸福,213,3,上市,113,-440023,283737,384972,101235,747632,-206587
1109,信大,81871,3,上市,113,197564,2930678,3026434,95756,332378,-516057
1110,東泥,,3,上市,113,-236119,287887,451456,163569,336443,63245
1201,味全,25860,3,上市,113,-485072,1667471,1306696,-360775,1195390,-1096953
1203,味王,126780,3,上市,113,-19332,1659193,1788340,129147,468935,-447236
1210,大成,385580,3,上市,113,-3029460,6341576,7755988,1414412,5216378,-1158086
1213,大飲,-1,3,上市,113,278269,1125,18038,16913,-263343,1988
1215,卜蜂,1986,3,上市,113,-2505770,275585,473903,198318,1801816,900286
1216,統一,968440,3,上市,113,-34033157,100855846,102241983,1386137,57349856,-22899002
1217,愛之味,-3849,3,上市,113,-121836,591247,552256,-38991,139126,-52432
1218,泰山,12293,3,上市,113,-410331,1821582,2359375,537793,926376,9455
1219,福壽,460,3,上市,113,-346937,848678,887197,38519,580455,-195459
1220,台榮,0,3,上市,113,-78635,332648,505292,172644,390136,-138857
1225,福懋油,-27,3,上市,113,-10134,945308,1412104,466796,787708,-310751
1227,佳格,52675,3,上市,113,-1057730,2938886,3308983,370097,2723521,-1348369
1229,聯華,56036,3,上市,113,-464567,4686205,5047110,360905,3558813,-2789377
1231,聯華食,2686,3,上市,113,-1024240,866287,399693,-466594,75038,479922
1232,大統益,,3,上市,113,-146662,1583670,1926830,343160,1635416,-1145594
1233,天仁,5749,3,上市,113,-39257,172657,154325,-18332,173854,-158678
1234,黑松,12004,3,上市,113,-622722,1489381,1121104,-368277,123081,119360
1235,興泰,,3,上市,113,-268650,61705,28649,-33056,6273,229321
1236,宏亞,0,3,上市,113,-62359,118829,83366,-35463,14555,12341
