公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
1101,台泥,1934296,3,上市,112,-31530951,88842494,72510081,-16332413,19954188,-6689946
1102,亞泥,771406,3,上市,112,-5975323,43486332,38046324,-5440008,3933530,-4169621
1103,嘉泥,29131,3,上市,112,-1875415,4463396,2268484,-2194912,-159141,-189487
1104,環泥,,3,上市,112,1121339,784464,1533222,748758,1340510,-1713091
1108,幸福,-871,3,上市,112,-97625,269974,285936,15962,498511,-384053
1109,信大,-454,3,上市,112,151882,2767084,2778691,11607,247885,-387706
1110,東泥,,3,上市,112,486006,296374,215718,-80656,243086,-809748
1201,味全,-20875,3,上市,112,-588320,964499,1733941,769442,1077379,301258
1203,味王,-25388,3,上市,112,-115628,1288739,1685819,397080,771285,-233189
1210,大成,260136,3,上市,112,-3337208,5145691,5461352,315661,6151087,-2758354
1213,大飲,5,3,上市,112,136533,8683,90292,81609,-32191,-22738
1215,卜蜂,3023,3,上市,112,-1387511,311085,395874,84789,3220066,-1750789
1216,統一,1946415,3,上市,112,-50456676,96986253,104435869,7449616,56720124,-760247
1217,愛之味,22699,3,上市,112,-160888,616521,502913,-113608,48838,-24257
1218,泰山,10859,3,上市,112,-3698794,8504412,1873740,-6630672,-1002973,-1939764
1219,福壽,-76,3,上市,112,-220429,1080690,916459,-164231,864599,-808325
1220,台榮,0,3,上市,112,-30954,152402,286647,134245,380286,-215087
1225,福懋油,4249,3,上市,112,8589,1022951,917066,-105885,1482919,-1601642
1227,佳格,35351,3,上市,112,-1160743,4348255,3252718,-1095537,2098703,-2068848
1229,聯華,108903,3,上市,112,-300986,2914046,4622419,1708373,2976683,-1076227
1231,聯華食,-7540,3,上市,112,-1247565,315115,787109,471994,944108,782991
1232,大統益,,3,上市,112,-172738,981106,1427540,446434,1633471,-1014299
1233,天仁,1690,3,上市,112,-39574,200226,189324,-10902,208911,-181929
1234,黑松,488,3,上市,112,197708,976892,1251760,274868,764960,-688288
1235,興泰,,3,上市,112,-384571,8858,28367,19509,-35269,439349
1236,宏亞,1860,3,上市,112,-45706,68219,136785,68566,207793,-95381
1256,鮮活果汁-KY,735,3,上市,112,-573274,1156885,1026659,-130226,623055,-180742
1301,台塑,423299,3,上市,112,-9273233,17110163,13086493,-4023670,8426169,-3599905
1303,南亞,2979351,3,上市,112,-22767663,89444513,79579051,-9865462,25212933,-15290083
1304,台聚,278195,3,上市,112,-2315437,11498415,11552756,54341,3550722,-1459139
1305,華夏,2758,3,上市,112,-1212106,1276545,1711531,434986,1079378,564956
1307,三芳,208111,3,上市,112,-609384,4830365,5150751,320386,1392804,-671145
1308,亞聚,9417,3,上市,112,-154563,1481970,909738,-572232,315540,-742626
1309,台達化,31020,3,上市,112,-285531,2662088,2256708,-405380,149902,-300771
1310,台苯,12912,3,上市,112,-42655,765147,698959,-66188,-329069,292624
1312,國喬,189684,3,上市,112,-3704296,6279477,4447079,-1832398,-429040,2111254
1313,聯成,451408,3,上市,112,-1366419,4244635,3928880,-315755,-609618,1208874
1314,中石化,-57833,3,上市,112,-1134739,6824456,7480211,655755,-4381874,6230201
1315,達新,77,3,上市,112,324403,2019589,2301224,281635,579608,-622453
1316,上曜,392,3,上市,112,75262,763148,1010606,247458,-608872,780676
1319,東陽,50399,3,上市,112,-1762249,2344300,3135284,790984,4662226,-2159392
1321,大洋,428,3,上市,112,-112663,471820,813041,341221,-47591,501047
1323,永裕,41665,3,上市,112,-206127,1241321,1210131,-31190,333486,-200214
1324,地球,188,3,上市,112,-7554,262709,273038,10329,34123,-16428
1325,恆大,4235,3,上市,112,-136549,1013789,943566,-70223,120466,-58375
1326,台化,626340,3,上市,112,-16443264,33002871,29124299,-3878572,13169985,-1231633
1337,再生-KY,-320,3,上市,112,-293345,1195479,730096,-465383,-171718,
1338,廣華-KY,9676,3,上市,112,-516449,2151723,2345492,193769,670034,30508
1339,昭輝,13607,3,上市,112,-555161,1036374,501247,-535127,512754,-506327
1340,勝悅-KY,-7729,3,上市,112,-445702,1120989,526001,-594988,-249598,108041
1341,富林-KY,-16157,3,上市,112,-30206,361451,313060,-48391,516702,-518730
1342,八貫,,3,上市,112,-143715,700684,530464,-170220,339699,-366204
1402,遠東新,-395227,3,上市,112,-16101948,47244499,17958302,-29286197,34218587,-47007609
1409,新纖,216671,3,上市,112,-1180861,11189943,9576962,-1612981,-6207443,5558652
1410,南染,,3,上市,112,-64930,531642,431396,-100246,16301,-51617
1413,宏洲,,3,上市,112,-10578,71700,49485,-22215,-25523,13886
1414,東和,,3,上市,112,-77191,202677,259248,56571,27212,106550
1416,廣豐,-2546,3,上市,112,-277481,311144,134171,-176973,180549,-77495
1417,嘉裕,2819,3,上市,112,245095,941946,981964,40018,308219,-516115
1418,東華,2,3,上市,112,-75647,447724,741387,293663,-79535,448843
1419,新紡,-39,3,上市,112,775150,889783,1334217,444434,16777,-347454
1423,利華,,3,上市,112,-157347,550269,509742,-40527,144318,-27498
1432,大魯閣,1884,3,上市,112,-330195,493208,551211,58003,344548,41766
1434,福懋,62770,3,上市,112,-1125853,5216541,4562815,-653726,3664106,-3254749
1435,中福,,3,上市,112,98508,34555,135133,100578,9402,-7332
1436,華友聯,,3,上市,112,-21734,906914,599991,-306923,-1544006,1258817
1437,勤益控,4253,3,上市,112,-91819,870299,856863,-13436,352790,-278660
1438,三地開發,,3,上市,112,-22247,408059,423749,15690,-621388,659325
1439,雋揚,,3,上市,112,167160,521760,771211,249451,27681,54610
1440,南紡,198784,3,上市,112,-1816601,6218881,4570180,-1648701,111099,-141983
1441,大東,27926,3,上市,112,52178,212398,50326,-162072,-65039,-177137
1442,名軒,,3,上市,112,-4453,160404,314003,153599,-296356,454408
1443,立益物流,0,3,上市,112,-464447,132941,106232,-26709,198243,239495
1444,力麗,2620,3,上市,112,-1552889,1496152,1631902,135750,1529407,156612
1445,大宇,,3,上市,112,-33047,302038,296798,-5240,41153,-13346
1446,宏和,641,3,上市,112,0,277840,342861,65021,-42605,106985
1447,力鵬,30446,3,上市,112,-470938,2360351,2161819,-198532,404289,-162329
1449,佳和,432,3,上市,112,-91809,87976,287998,200022,244562,46837
1451,年興,72535,3,上市,112,-482838,1606649,1228944,-377705,443540,-410942
1452,宏益,,3,上市,112,-34681,607542,608333,791,142284,-106812
1453,大將,,3,上市,112,-14445,7495,8304,809,-136219,151473
1454,台富,,3,上市,112,24535,197895,157217,-40678,126049,-191262
1455,集盛,-252,3,上市,112,-525410,85324,92283,6959,-117742,650363
1456,怡華,,3,上市,112,-113662,141378,310880,169502,-1043887,1327051
1457,宜進,,3,上市,112,191589,401534,268881,-132653,83744,-407986
1459,聯發,6223,3,上市,112,957729,447489,618098,170609,14867,-808210
1460,宏遠,-8421,3,上市,112,-318390,547231,453178,-94053,1166262,-933504
1463,強盛新,,3,上市,112,-4585,253973,191753,-62220,9729,-67364
1464,得力,69722,3,上市,112,1414202,1351927,1416313,64386,739361,-2158899
1465,偉全,,3,上市,112,-35321,223016,174975,-48041,101034,-113754
1466,聚隆,,3,上市,112,-174081,225398,244008,18610,42479,150212
1467,南緯,-24729,3,上市,112,-212033,2144613,2056289,-88324,96555,51883
1468,昶和,-902,3,上市,112,-276783,183657,205073,21416,64891,234210
1470,大統新創,412,3,上市,112,-126964,193619,161487,-32132,135573,-41153
1471,首利,-27268,3,上市,112,152334,274885,485689,210804,93351,-7613
1472,三洋實業,74,3,上市,112,631513,258575,560282,301707,-11167,-318713
1473,台南,56358,3,上市,112,-134754,798957,1082149,283192,658467,-296879
1474,弘裕,44,3,上市,112,-11854,630487,398250,-232237,-109286,-111141
1475,業旺,,3,上市,112,9168,638274,855400,217126,234887,-26929
1476,儒鴻,-7593,3,上市,112,741864,6022271,3926319,-2095952,3069629,-5899852
1477,聚陽,90263,3,上市,112,-239370,2760418,2525153,-235265,3650032,-3736190
1503,士電,53519,3,上市,112,-829855,3215162,3613994,398832,3615637,-2440469
1504,東元,519896,3,上市,112,950543,21156796,22763522,1606726,2107359,-1971072
1506,正道,-2978,3,上市,112,-165469,255822,545765,289943,153199,305191
1512,瑞利,70,3,上市,112,87122,186685,207738,21053,-100404,34265
1513,中興電,12860,3,上市,112,-1277048,2743814,3769303,1025489,3823761,-1534084
1514,亞力,2570,3,上市,112,-100794,670064,786819,116755,-445203,660182
1515,力山,10628,3,上市,112,-168463,1970759,2671759,701000,1131734,-272899
1516,川飛,,3,上市,112,72042,261319,177637,-83682,-142284,-13440
1517,利奇,-13548,3,上市,112,-365301,1213645,1260764,47119,428132,-2164
1519,華城,1978,3,上市,112,-112571,595630,1113575,517945,2195629,-1567091
1521,大億,316,3,上市,112,-28722,154833,415914,261081,346268,-56781
1522,堤維西,180289,3,上市,112,-1136146,1855266,1593179,-262087,2844692,-2150922
1524,耿鼎,,3,上市,112,-190511,699763,446491,-253272,663561,-726322
1525,江申,1798,3,上市,112,9524,1350072,1310204,-39868,103091,-154281
1526,日馳,30665,3,上市,112,-114846,413273,371923,-41350,-206159,248990
1527,鑽全,,3,上市,112,-289707,361457,224356,-137101,485230,-332624
1528,恩德,9686,3,上市,112,-194604,851086,590860,-260226,-203443,128135
1529,樂事綠能,0,3,上市,112,-105566,450322,426304,-24018,64959,16589
1530,亞崴,-409,3,上市,112,128732,1132171,603448,-528723,306394,-963440
1531,高林股,4671,3,上市,112,-271662,1170341,822493,-347848,219142,-299999
1532,勤美,32,3,上市,112,-491193,6068902,5992373,-76529,1738202,-1323570
1533,車王電,49374,3,上市,112,-220734,811276,767504,-43772,-565190,692778
1535,中宇,15133,3,上市,112,179493,1159129,776501,-382628,-166061,-411193
