公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
1452,宏益,,2,上市,115,25158,414825,529101,114276,90023,-905
1453,大將,,2,上市,115,23,5535,11670,6135,-118174,124286
1454,台富,,2,上市,115,32096,49484,122658,73174,7127,33951
1455,集盛,950,2,上市,115,-90698,267108,470871,203763,22351,271160
1456,怡華,,2,上市,115,-18086,53135,86887,33752,-175566,227404
1457,宜進,,2,上市,115,191296,286236,310820,24584,731081,-897793
1459,聯發,440,2,上市,115,472459,801016,1297465,496449,112526,-88976
1460,宏遠,2883,2,上市,115,-202915,742589,583601,-158988,361216,-320172
1463,強盛新,,2,上市,115,11983,833253,828325,-4928,-15226,-1685
1464,得力,44967,2,上市,115,-421238,1527742,1660335,132593,645586,-136722
1465,偉全,,2,上市,115,-17293,293336,267709,-25627,-8236,-98
1466,聚隆,,2,上市,115,-162848,630770,501528,-129242,82500,-48894
1467,南緯,32580,2,上市,115,-58119,1699419,1711144,11725,-105041,142305
1468,昶和,8342,2,上市,115,38841,447437,477894,30457,-10001,-6725
1470,大統新創,-963,2,上市,115,-20574,232883,268270,35387,58900,-1976
1471,首利,-10902,2,上市,115,644221,499229,999231,500002,-128738,-4579
1472,三洋實業,0,2,上市,115,-22002,1459033,1420082,-38951,-60814,43865
1473,台南,18134,2,上市,115,-135195,621938,664359,42421,-94543,254025
1474,弘裕,7220,2,上市,115,-85794,502366,748299,245933,240808,83699
1475,業旺,159,2,上市,115,117956,1115935,1055063,-60872,86163,-265150
1476,儒鴻,43840,2,上市,115,-91294,3409474,6201035,2791561,3150337,-311322
1477,聚陽,36949,2,上市,115,-282551,2624188,2254901,-369287,2239617,-2363302
1503,士電,140661,2,上市,115,-819147,5094258,4203088,-891170,546592,-759276
1504,東元,523639,2,上市,115,52905,26224399,28472156,2247757,3669127,-1997914
1506,正道,2466,2,上市,115,-119997,216217,74655,-141562,-31863,7832
1512,瑞利,9744,2,上市,115,-76462,167369,107548,-59821,-33010,39907
1513,中興電,78431,2,上市,115,-359348,3458480,2676136,-782344,1865669,-2367096
1514,亞力,657,2,上市,115,-97921,1694233,1240378,-453855,80860,-437451
1515,力山,13763,2,上市,115,-516963,2019518,1738479,-281039,-177293,399454
1516,川飛,,2,上市,115,10011,85123,91217,6094,-3917,
1517,利奇,8383,2,上市,115,26287,641687,801785,160098,1836,123592
1519,華城,15789,2,上市,115,-1052150,4795777,7162332,2366555,3496632,-93716
1521,大億,0,2,上市,115,-36520,185633,331088,145455,89732,92243
1522,堤維西,-67157,2,上市,115,-1018148,2358246,2412050,53804,703232,435877
1524,耿鼎,,2,上市,115,-229425,317161,303594,-13567,315442,-99584
1525,江申,59457,2,上市,115,613302,1499455,2067824,568369,-104418,28
1526,日馳,12775,2,上市,115,-8910,424313,471509,47196,36127,7204
1527,鑽全,,2,上市,115,107350,178636,449713,271077,165544,-1817
1528,恩德,2806,2,上市,115,-8292,616896,555057,-61839,-49027,-7326
1529,樂事綠能,0,2,上市,115,-51265,297561,309232,11671,67271,-4335
1530,亞崴,21564,2,上市,115,22919,1020136,998470,-21666,-15346,-50803
1531,高林股,11098,2,上市,115,-524905,937485,729256,-208229,216847,88731
1532,勤美,144181,2,上市,115,-595828,5957616,5585644,-371972,187781,-108106
1533,車王電,24731,2,上市,115,-119029,622829,627009,4180,-526764,625242
1535,中宇,38661,2,上市,115,-130921,1520376,1508522,-11854,92831,-12425
1536,和大,4551,2,上市,115,-110857,724847,729652,4805,315609,-204498
1537,廣隆,26971,2,上市,115,-19079,2009094,2295194,286100,278007,201
