備註,公司代號,公司名稱,出表日期,營業收入-上月比較增減(%),營業收入-上月營收,營業收入-去年同月增減(%),營業收入-去年當月營收,營業收入-當月營收,產業別,累計營業收入-前期比較增減(%),累計營業收入-去年累計營收,累計營業收入-當月累計營收,資料年月
-,1240,茂生農經,1150817,-10.239621580007107,270176,13.254097977863914,214130,242511,農業科技,7.586483288835424,1564493,1683183,11507
-,1259,安心,1150817,3.294452987285752,533260,7.7624963318008415,511150,550828,觀光餐旅,3.7749983046201523,3509538,3642023,11507
-,1264,德麥,1150817,8.952334776843598,544506,8.746826509756477,545535,593252,食品工業,6.862621716062202,3798184,4058839,11507
-,1268,漢來美食,1150817,-4.015339302872899,574472,19.942878646489298,459723,551405,觀光餐旅,17.084384043680004,3610256,4227046,11507
-,1294,漢田生技,1150817,-15.080888068402643,82336,22.255249951915513,57191,69919,食品工業,23.200643628337474,426333,525245,11507
-,1295,生合,1150817,-29.41873194192703,111446,22.96196714136093,63971,78660,食品工業,-2.8727373403119274,606808,589376,11507
1.越南新增電腦周邊及遊戲類產品營收同比增加。2.越南多功能事務機主要客戶出貨遞延。3.菲律賓新增家電類產品的組裝。,1336,台翰,1150817,18.791341610811997,273030,67.07413188273657,194127,324336,電子零組件業,7.488358417155009,1462430,1571942,11507
-,1565,精華,1150817,0.5545611243701936,301680,-10.191871016256192,337779,303353,生技醫療業,-16.860293686377293,2506279,2083713,11507
-,1569,濱川,1150817,-16.536841172537677,248282,-14.204329033005978,241532,207224,電腦及週邊設備業,-5.090616749193082,1930493,1832219,11507
-,1570,力肯,1150817,-32.32107239762089,55651,-31.394014462922822,54899,37664,電機機械,-3.0493828629920134,336068,325820,11507
-,1580,新麥,1150817,11.835998984513836,393900,3.205174760625151,426841,440522,電機機械,-2.1764795855826082,2765521,2705330,11507
-,1584,精剛,1150817,0.4104213110880531,194678,-4.934272916940226,205623,195477,其他,-17.18817126382642,1545592,1279933,11507
-,1586,和勤,1150817,1.0901796213885495,216845,15.891007713414151,189151,219209,電機機械,7.650183841627202,1289969,1388654,11507
本期銷售數量增加所致,1591,駿吉-KY,1150817,15.50318055782091,36786,64.83299065057997,25777,42489,電機機械,295.6681164268986,74725,295663,11507
-,1593,祺驊,1150817,6.011293367744617,115466,13.479562794923378,107867,122407,運動休閒,11.219758414421085,691432,769009,11507
主係本月設備出貨增加所致,1595,川寶,1150817,13.870282633556608,97936,467.9942956096567,19634,111520,半導體業,26.552236821429002,413645,523477,11507
市場需求提升客戶增加拉貨所致,1599,宏佳騰,1150817,88.56630363211153,132127,111.4479457518947,117829,249147,電機機械,17.90486618742499,1121494,1322296,11507
本月營收較去年同期減少，係因蠟品較去年同期減少,1742,台蠟,1150817,-44.2204916781188,6549,-57.36461251167133,8568,3653,化學工業,-42.684014680395556,78472,44977,11507
-,1777,生泰,1150817,-18.906120892391787,125864,-9.974686223837287,113377,102068,生技醫療業,-5.295184941535981,753968,714044,11507
-,1780,立弘,1150817,31.57500398533397,62730,13.767246964120801,72549,82537,食品工業,16.662014398602313,497965,580936,11507
本月營收較去年同期減少主要係因出貨量減少所致。,1781,合世,1150817,-38.1489841986456,34111,-52.27236737925574,44205,21098,生技醫療業,-8.946970533522471,235454,214388,11507
-,1784,訊聯,1150817,8.950695094720162,111064,7.797633895164451,112252,121005,生技醫療業,9.414618356272431,707453,774057,11507
主係業績增長所致,1785,光洋科,1150817,14.182197155734466,4607657,46.432595277750565,3592864,5261124,其他電子業,68.68290900725333,21360263,36031113,11507
-,1788,杏昌,1150817,-7.6193773740541975,392788,2.7888333356939508,353015,362860,生技醫療業,5.744167337087691,2473570,2615656,11507
-,1796,金穎生技,1150817,-8.446754571076522,70607,39.801898829992,46239,64643,食品工業,1.6400981798878396,380526,386767,11507
因新藥/學名藥產品出貨較去年同期多，故營收成長。,1799,易威,1150817,-16.692101311935414,81254,74.90762512596574,38701,67691,生技醫療業,77.30335427949436,299498,531020,11507
-,1813,寶利徠,1150817,4.14209299135921,21873,-2.1646695013529182,23283,22779,生技醫療業,-9.128453811515813,187655,170525,11507
主要受惠於AI伺服器與高速傳輸需求帶動高階產品出貨比重提高，電子級玻纖布產品市場價格走高。,1815,富喬,1150817,24.00707716959662,688976,68.10608415742232,508238,854379,電子零組件業,46.895566129278095,3313245,4867010,11507
-,2035,唐榮公司,1150817,24.760035151377707,705520,18.442710085447082,743150,880207,鋼鐵工業,4.980747959259868,5879117,6171941,11507
-,2061,風青,1150817,3.6679822397631967,121620,41.292556648810994,89234,126081,電器電纜,15.868930658480394,689284,798666,11507
-,2063,世鎧精密,1150817,22.938449329639273,71827,-17.892808658620496,107546,88303,鋼鐵工業,-7.502493742436492,592483,548032,11507
-,2064,晉椿,1150817,7.582504910560329,133386,18.44331641285956,121155,143500,鋼鐵工業,19.830491261436762,866504,1038336,11507
-,2065,世豐,1150817,34.07122877736401,179113,43.28786576924913,167592,240139,鋼鐵工業,8.306384168439122,1230403,1332605,11507
-,2066,世德,1150817,-17.737536816843026,256676,9.907658994138897,192114,211148,電機機械,8.272808330127491,1554454,1683051,11507
-,2067,嘉鋼,1150817,-5.749622474322014,80127,-2.3444066569252455,77333,75520,電機機械,-10.145539617270545,601417,540400,11507
本月外銷高階機台訂單出貨,2070,精湛,1150817,57.89645744174988,67296,75.7725137299014,60452,106258,電機機械,26.4679040340416,357210,451756,11507
主因今年第二季起開始增加購料含料自製生產銷售，使得營業收入增加。,2073,雄順,1150817,42.849647292018886,102918,247.84810126582278,42265,147018,鋼鐵工業,58.04993562212438,333189,526605,11507
-,2221,大甲,1150817,-6.229998725285637,149053,38.52992774523505,100893,139767,其他,21.732227588680473,777877,946927,11507
-,2230,泰茂,1150817,32.25895697883524,101206,19.471964869062283,112038,133854,居家生活,46.77438410988005,871787,1279560,11507
-,2235,謚源,1150817,-27.319148936170212,39950,-42.734301041337964,50704,29036,電機機械,-2.8144375688321803,328698,319447,11507
本公司「綠意領航1號」建案完工、陸續交屋中，故本年單月營業收入淨額較去年同期增加。,2596,綠意,1150817,-23.680099968759762,192060,535.398153365989,23069,146580,建材營造,4.960745961346448,854307,896687,11507
-,2640,大車隊,1150817,-0.23848515864892528,293100,15.710724178868222,252700,292401,數位雲端,9.125492244792367,1793569,1957241,11507
-,2641,正德,1150817,6.966061245236451,183949,7.3213701319952005,183340,196763,航運業,10.898833328625216,1238995,1374031,11507
-,2643,捷迅,1150817,1.102642006598917,696781,-1.7766164811783505,717206,704464,航運業,-12.332287547896923,4694717,4115751,11507
配合銷售個案交屋認列收入,2718,全心投控,1150817,27.764984538456478,15199,-96.01256660609234,487005,19419,建材營造,-89.10525167931605,2292600,249773,11507
-,2719,燦星旅,1150817,16.064717559311582,103774,-31.68644221607151,176312,120445,觀光餐旅,-23.20639464463553,1263182,970043,11507
營收增加係因代銷個案銷售及裝潢收入成長所致。,2724,藝舍-KY,1150817,57.73081714575739,21673,174.556260541322,12451,34185,其他,44.627571359408314,97079,140403,11507
-,2726,雅茗-KY,1150817,-6.027462877215392,50104,-13.04572652729556,54148,47084,觀光餐旅,-8.714377087627033,351775,321120,11507
-,2729,瓦城,1150817,-4.728886814925761,531457,-0.9106067188802649,510978,506325,觀光餐旅,6.544770212694297,3562860,3796041,11507
-,2732,六角,1150817,0.21552207475319246,445894,16.944991847833197,382107,446855,觀光餐旅,32.07631568297084,2347355,3100300,11507
-,2734,易飛網,1150817,30.301295225926218,165917,41.57585917854149,152704,216192,觀光餐旅,29.58450042282434,954297,1236621,11507
-,2736,富野,1150817,17.556128082443873,38038,30.752361180151468,34199,44716,觀光餐旅,13.605925155578666,300009,340828,11507
差異原因為門店數及商品銷售金額均較去年同期減少,2740,華軒,1150817,-1.3777267508610793,3484,-60.95454545454545,8800,3436,觀光餐旅,-61.034303233643776,86435,33680,11507
