備註,公司代號,公司名稱,出表日期,營業收入-上月比較增減(%),營業收入-上月營收,營業收入-去年同月增減(%),營業收入-去年當月營收,營業收入-當月營收,產業別,累計營業收入-前期比較增減(%),累計營業收入-去年累計營收,累計營業收入-當月累計營收,資料年月
-,6418,詠昇,1150911,-3.6395916555703507,96879,49.7865990629613,62324,93353,電子零組件業,22.64879933486575,511175,626950,11508
美國子公司陸續接獲專案建置工程，致使營收增加,6419,京晨科,1150911,-1.4329711944738273,171113,365.69566778032413,36217,168661,光電業,214.59560842862138,320432,1008065,11508
-,6423,億而得,1150911,-86.43463145058766,77086,1.2882603641999224,10324,10457,半導體業,20.110668812286498,177105,212722,11508
因應客戶產能建置，以致使我司營收相較去年同期增加。,6425,易發,1150911,-10.817357447736898,178759,93.96055625174893,82193,159422,電機機械,56.13194851355093,776515,1212388,11508
-,6432,今展科,1150911,-30.09479279540626,117203,-11.79402708696682,92886,81931,電子零組件業,8.212943909724528,753250,815114,11508
-,6435,大中,1150911,1.6283567856171284,334509,25.82854012599288,270174,339956,半導體業,14.349494387465324,2250142,2573026,11508
因子公司接獲專案，並按完工比列認列營收所致。,6441,廣錠,1150911,240.84035222052069,10448,135.5224867724868,15120,35611,電腦及週邊設備業,-46.96087581292683,202509,107409,11508
"本月較去年同期增加，主要因經銷商備貨增加所致。本年較去年減少，主要因去年認列海思科完成合約之技術服務收入6,804萬所致。",6461,益得,1150911,2579.620853080569,211,1102.9787234042553,470,5654,生技醫療業,-56.19966460321732,96602,42312,11508
主係合併子公司營收陸續於本年度出貨,6462,神盾,1150911,-33.15724973066366,796402,11.097963102095333,479160,532337,半導體業,61.61223018035232,3244760,5243929,11508
本月因增加其他電子產品銷售、致本月較上期營收增加,6465,威潤,1150911,-26.51743721714438,45076,128.67103900586815,14485,33123,通信網路業,90.76375974682718,122604,233884,11508
-,6469,大樹,1150911,7.147438176944442,1588849,7.229909796192683,1587627,1702411,生技醫療業,2.538460189099584,12541540,12859902,11508
-,6470,宇智,1150911,11.755983499039978,105206,-31.28707432104682,171109,117574,通信網路業,-44.87238047539139,1429601,788105,11508
-,6474,華豫寧,1150911,-16.44471169315915,497248,25.127091590271167,332044,415477,電子通路業,19.43820516005264,2584431,3086798,11508
-,6482,弘煜科,1150911,-6.592782040352373,31671,-21.149848072924996,37518,29583,文化創意業,-29.65440043199946,355556,250118,11508
-,6485,點序,1150911,8.327153762268265,114625,21.16392306866639,102481,124170,半導體業,-6.752063757080053,935551,872382,11508
本月營收較去年同期增加50%以上，係因本月有大型專案認列收入，以致較去年同期增加。,6486,互動,1150911,770.8527901003969,171320,825.8113558796152,161150,1491945,通信網路業,130.93748048323718,1168867,2699352,11508
-,6488,環球晶,1150911,-4.286970158051075,4977758,7.605508151106012,4427620,4764363,半導體業,-3.112790270542152,40192332,38941229,11508
-,6492,生華科,1150911,0.0,80,-3.6144578313253013,83,80,生技醫療業,-3.903903903903904,666,640,11508
-,6494,九齊,1150911,-16.575586116230813,155174,36.3323293384165,94954,129453,半導體業,46.71829088562935,757913,1111997,11508
-,6496,科懋,1150911,-25.23302869094712,87972,-3.9585310651967585,68485,65774,生技醫療業,10.30062424707042,547860,604293,11508
-,6498,久禾光,1150911,-13.713405238828967,110979,-19.25937168007285,118602,95760,光電業,17.141814061811544,794350,930516,11508
