公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
1240,茂生農經,,3,上櫃,114,13570,70934,56871,-14063,158439,-186072
1259,安心,-590,3,上櫃,114,-543272,750414,355210,-395204,584129,-435471
1264,德麥,-30329,3,上櫃,114,-234026,794621,708362,-86259,615156,-437060
1268,漢來美食,,3,上櫃,114,-396333,1018259,1070748,52489,629136,-180314
1294,漢田生技,-188,3,上櫃,114,-102029,382423,216254,-166169,102501,-166453
1295,生合,-5144,3,上櫃,114,-647639,469387,302328,-167059,80812,404912
1336,台翰,-21056,3,上櫃,114,-147671,319733,448693,128960,170930,126757
1565,精華,-446,3,上櫃,114,-148218,2376201,1840556,-535645,202955,-589936
1569,濱川,-24459,3,上櫃,114,-232026,867338,689071,-178267,-354531,432749
1570,力肯,-162,3,上櫃,114,29251,134410,82749,-51661,-8612,-72138
1580,新麥,-67250,3,上櫃,114,-122818,1223143,877773,-345370,430674,-585976
1584,精剛,,3,上櫃,114,-375705,408080,403954,-4126,701115,-329536
1586,和勤,-20037,3,上櫃,114,-31345,449309,447225,-2084,178166,-128868
1591,駿吉-KY,-1346,3,上櫃,114,-20839,152845,114609,-38236,-99873,83822
1593,祺驊,-19935,3,上櫃,114,-73836,313124,268148,-44976,88816,-40021
1595,川寶,-7185,3,上櫃,114,163462,1121857,1091910,-29947,-105533,-80691
1599,宏佳騰,38752,3,上櫃,114,-89484,601326,402832,-198494,-155590,7828
1742,台蠟,-13989,3,上櫃,114,-27646,106772,241226,134454,481444,-305355
1777,生泰,,3,上櫃,114,-37141,656797,684434,27637,303442,-238664
1780,立弘,688,3,上櫃,114,-64667,978331,992455,14124,131445,-53342
1781,合世,-8046,3,上櫃,114,43901,227022,223239,-3783,-17941,-21697
1784,訊聯,-169,3,上櫃,114,17845,242792,270431,27639,119579,-109616
1785,光洋科,-132227,3,上櫃,114,1094999,1731756,2968534,1236778,-591201,865207
