公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
1240,茂生農經,,2,上櫃,113,-58678,75193,93343,18150,97598,-20770
1259,安心,-205,2,上櫃,113,-368011,764974,881389,116415,495968,-11337
1264,德麥,24633,2,上櫃,113,-86235,654482,736123,81641,284666,-141423
1268,漢來美食,,2,上櫃,113,-465417,806573,856066,49493,417318,97592
1294,漢田生技,447,2,上櫃,113,-18480,167090,149462,-17628,36985,-36580
1295,生合,5145,2,上櫃,113,-157737,346738,400451,53713,89209,117096
1336,台翰,61050,2,上櫃,113,-369892,594077,330971,-263106,55993,-10257
1565,精華,205,2,上櫃,113,-67033,2063672,2246347,182675,324001,-74498
1569,濱川,15717,2,上櫃,113,-289257,1125885,963411,-162474,223188,-112122
1570,力肯,292,2,上櫃,113,8357,107173,110186,3013,-3952,-1684
1580,新麥,20261,2,上櫃,113,41106,989384,1212136,222752,196643,-35258
1584,精剛,,2,上櫃,113,-365512,460997,233914,-227083,-77788,216217
1586,和勤,11081,2,上櫃,113,-2732,414492,415152,660,93838,-101527
1591,駿吉-KY,2349,2,上櫃,113,15516,75866,106271,30405,-28844,41384
1593,祺驊,7252,2,上櫃,113,-5845,350563,313819,-36744,-14717,-23434
1595,川寶,380,2,上櫃,113,-182367,988138,823419,-164719,-54381,71649
1599,宏佳騰,848,2,上櫃,113,-94331,738146,591822,-146324,-71860,19019
1742,台蠟,14857,2,上櫃,113,580716,111785,202635,90850,269984,-774707
1777,生泰,,2,上櫃,113,-59302,666922,490322,-176600,143836,-261134
1780,立弘,916,2,上櫃,113,73181,618494,870832,252338,150293,27948
1781,合世,451,2,上櫃,113,-2694,150719,121409,-29310,-14657,-12410
1784,訊聯,223,2,上櫃,113,-187967,238492,448294,209802,47446,350100
1785,光洋科,76996,2,上櫃,113,-1162543,2362456,1832376,-530080,-450343,1005810
1788,杏昌,2250,2,上櫃,113,-284602,401137,427141,26004,130792,177564
1796,金穎生技,514,2,上櫃,113,-9154,120153,240536,120383,14276,114747
1799,易威,4947,2,上櫃,113,-91663,262906,247054,-15852,-93692,164556
1813,寶利徠,-11891,2,上櫃,113,-67324,118838,94320,-24518,-2919,57616
1815,富喬,50201,2,上櫃,113,-368255,1344357,1156522,-187835,70215,60004
2035,唐榮公司,,2,上櫃,113,-96239,288673,69107,-219566,157019,-280346
2061,風青,7200,2,上櫃,113,-361,88826,40484,-48342,-169218,114037
2063,世鎧精密,1871,2,上櫃,113,-20486,595195,674289,79094,62520,35189
2064,晉椿,-31874,2,上櫃,113,-30280,269005,210073,-58932,-45318,48540
2065,世豐,525,2,上櫃,113,12699,410955,369860,-41095,137106,-191425
2066,世德,13339,2,上櫃,113,-217640,845193,1026298,181105,199131,186275
2067,嘉鋼,11316,2,上櫃,113,-37892,84821,91809,6988,-54511,88075
2070,精湛,1013,2,上櫃,113,-105389,621825,175973,-445852,-32278,-309198
2073,雄順,,2,上櫃,113,-6374,98716,107218,8502,44140,-29264
2221,大甲,-101,2,上櫃,113,-7455,193915,234975,41060,90302,-41686
2230,泰茂,30140,2,上櫃,113,-41284,390638,539515,148877,133141,26880
2235,謚源,,2,上櫃,113,-27174,338188,227660,-110528,52338,-135692
2596,綠意,,2,上櫃,113,0,254951,157015,-97936,-440936,343000
2640,大車隊,,2,上櫃,113,-156917,763697,965434,201737,369637,-10983
2641,正德,34799,2,上櫃,113,-1554086,448715,389563,-59152,323798,1136337
