公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
1240,茂生農經,,4,上櫃,114,-26038,70934,156308,85374,219924,-108512
1259,安心,-622,4,上櫃,114,-627848,750414,342985,-407429,785611,-564570
1264,德麥,-3647,4,上櫃,114,-518122,794621,735291,-59330,1037038,-574599
1268,漢來美食,,4,上櫃,114,-605835,1018259,929985,-88274,1080143,-562582
1294,漢田生技,30,4,上櫃,114,-107404,382423,249396,-133027,160632,-186285
1295,生合,3872,4,上櫃,114,-838869,469387,269936,-199451,143348,492198
1336,台翰,12603,4,上櫃,114,-226941,319733,415933,96200,225962,84576
1565,精華,-104,4,上櫃,114,-169300,2376201,2171339,-204862,592160,-627618
1569,濱川,-7723,4,上櫃,114,-275848,867338,851590,-15748,-422617,690440
1570,力肯,134,4,上櫃,114,324201,134410,398168,263758,12124,-72701
1580,新麥,-18549,4,上櫃,114,-175820,1223143,1148603,-74540,718413,-598584
1584,精剛,,4,上櫃,114,-484094,408080,554147,146067,1001146,-370985
1586,和勤,-2881,4,上櫃,114,-53718,449309,458387,9078,252162,-186485
1591,駿吉-KY,2793,4,上櫃,114,-9746,152845,121637,-31208,-120916,96661
1593,祺驊,-12473,4,上櫃,114,-89051,313124,312910,-214,147924,-46614
1595,川寶,-106,4,上櫃,114,67936,1121857,696187,-425670,-98583,-394917
1599,宏佳騰,33157,4,上櫃,114,-117660,601326,461900,-139426,-30171,-24752
1742,台蠟,4912,4,上櫃,114,-4313,106772,262710,155938,463393,-308054
1777,生泰,,4,上櫃,114,-58305,656797,1048603,391806,559492,-109381
1780,立弘,2441,4,上櫃,114,-89488,978331,789081,-189250,217129,-319332
1781,合世,-2607,4,上櫃,114,41959,227022,247647,20625,3184,-21911
1784,訊聯,-195,4,上櫃,114,35366,242792,256047,13255,148040,-169956
1785,光洋科,-200943,4,上櫃,114,870382,1731756,2624340,892584,-451565,674710
1788,杏昌,-2631,4,上櫃,114,-93276,414865,463960,49095,389543,-244541
1796,金穎生技,19,4,上櫃,114,-22585,122450,280260,157810,99312,81064
1799,易威,-1639,4,上櫃,114,-25044,325665,281062,-44603,124779,-142699
1813,寶利徠,2639,4,上櫃,114,-10055,85482,106032,20550,46809,-18843
1815,富喬,-27869,4,上櫃,114,-2325518,1318310,1910675,592365,694714,2251038
2035,唐榮公司,,4,上櫃,114,-227247,114169,222302,108133,-981073,1316453
2061,風青,3401,4,上櫃,114,22395,91154,59439,-31715,-73423,15912
2063,世鎧精密,-764,4,上櫃,114,-258604,603009,346142,-256867,139584,-137083
2064,晉椿,-1101,4,上櫃,114,-35052,368781,364321,-4460,-21212,52905
2065,世豐,33794,4,上櫃,114,-698680,387299,270106,-117193,185528,362165
2066,世德,27680,4,上櫃,114,-18747,897246,886013,-11233,144311,-164477
2067,嘉鋼,3838,4,上櫃,114,-32935,89229,80087,-9142,-34456,54411
2070,精湛,206,4,上櫃,114,-62826,186106,283041,96935,126004,33551
2073,雄順,,4,上櫃,114,-50582,49687,33504,-16183,67672,-33273
2221,大甲,620,4,上櫃,114,-43152,283329,439392,156063,235176,-36581
2230,泰茂,-13036,4,上櫃,114,-107231,523969,402095,-121874,-350678,349071
2235,謚源,,4,上櫃,114,7689,106807,96747,-10060,102524,-120273
2596,綠意,,4,上櫃,114,15000,342746,162507,-180239,174061,-369300
2640,大車隊,,4,上櫃,114,-15427,883246,1396812,513566,695066,-166073
2641,正德,11837,4,上櫃,114,-3270510,475521,1121106,645585,1349387,2554871
2643,捷迅,-9637,4,上櫃,114,297160,441961,516131,74170,-33521,-179832
2718,全心投控,,4,上櫃,114,-2710774,3643342,2877557,-765785,2130055,-185066
2719,燦星旅,,4,上櫃,114,56255,161509,196226,34717,-10455,-11083
2724,藝舍-KY,0,4,上櫃,114,-22177,324040,100461,-223579,-174771,-26631
2726,雅茗-KY,-2873,4,上櫃,114,-17559,151261,149224,-2037,-74,18469
2729,瓦城,-7587,4,上櫃,114,-569559,271994,373590,101596,840679,-161937
2732,六角,-18305,4,上櫃,114,-591447,1176629,1611788,435159,576931,467980
2734,易飛網,,4,上櫃,114,-37901,479985,371354,-108631,93861,-164591
2736,富野,-68,4,上櫃,114,-97489,208546,289953,81407,27015,151949
2740,華軒,,4,上櫃,114,-7277,13202,67900,54698,38968,23007
2743,山富,,4,上櫃,114,-66705,1060311,1106538,46227,96846,16086
2745,五福,,4,上櫃,114,88169,699256,1331039,631783,469085,74529
2751,王座,-189,4,上櫃,114,-197179,386713,258291,-128422,301842,-232896
2752,豆府,-214,4,上櫃,114,-47866,376144,494853,118709,745412,-578623
2754,亞洲藏壽司,-1398,4,上櫃,114,-252647,396905,621139,224234,888471,-410192
2755,揚秦,-1672,4,上櫃,114,-111756,632292,744503,112211,387919,-162280
2756,聯發國際,4693,4,上櫃,114,103439,190608,339754,149146,113548,-72534
2916,滿心,,4,上櫃,114,-134790,267667,199100,-68567,273384,-207161
2924,宏太-KY,-1017,4,上櫃,114,657,397340,251155,-146185,-163305,17480
2926,誠品生活,-4835,4,上櫃,114,-333266,1480077,1307338,-172739,1651949,-1486587
2937,集雅社,,4,上櫃,114,-111758,314384,234301,-80083,-5939,37614
2941,米斯特,,4,上櫃,114,-44340,132739,117433,-15306,130162,-101128
2947,振宇五金,,4,上櫃,114,-51025,266661,275429,8768,277768,-217975
2948,寶陞,-47077,4,上櫃,114,2269,102431,69156,-33275,175780,-164247
2949,欣新網,-777,4,上櫃,114,60893,384357,436130,51773,92868,-101211
3064,泰偉,-279,4,上櫃,114,26105,45395,32515,-12880,-29331,-9375
3066,李洲,-5318,4,上櫃,114,-31701,109084,40876,-68208,-6620,-24569
3067,全域,189,4,上櫃,114,-34466,95586,57937,-37649,-30790,27418
3071,協禧,1970,4,上櫃,114,-38214,1550281,1566335,16054,303862,-251564
3073,天方能源,-600,4,上櫃,114,-475976,102774,105641,2867,-85865,565308
3078,僑威,-104954,4,上櫃,114,-915362,3450712,3403584,-47128,1882527,-909339
3081,聯亞,590,4,上櫃,114,-487201,529126,703343,174217,713897,-53069
3083,網龍,-8889,4,上櫃,114,-105741,332426,251885,-80541,50408,-16319
3085,新零售,0,4,上櫃,114,-371095,415084,21224,-393860,-16007,-6758
3086,華義*,-164,4,上櫃,114,34077,142689,153011,10322,-18171,-5420
3088,艾訊,11472,4,上櫃,114,-110144,1745946,1627659,-118287,496246,-515861
3093,港建*,-5293,4,上櫃,114,-20361,746093,820179,74086,257857,-158117
3095,及成,13585,4,上櫃,114,-29382,115179,107469,-7710,-46497,54584
3105,穩懋,-137642,4,上櫃,114,5112280,5419305,7066909,1647604,4952971,-8280005
3114,好德,-23789,4,上櫃,114,98880,900014,909352,9338,-8926,-56827
3115,富榮綱,4316,4,上櫃,114,-9825,166727,558099,391372,17989,378892
3118,進階,,4,上櫃,114,-38934,252782,210338,-42444,59608,-63118
3122,笙泉,109,4,上櫃,114,-419,96326,58816,-37510,-35574,-1626
3128,昇銳,1023,4,上櫃,114,-258471,110142,49427,-60715,-1657,198390
3131,弘塑,172,4,上櫃,114,-2188959,2985012,2573251,-411761,1820681,-43655
3141,晶宏,-2129,4,上櫃,114,-679015,1331043,760762,-570281,232373,-121510
3147,大綜,-9833,4,上櫃,114,48893,95152,164190,69038,657171,-627193
3152,璟德,,4,上櫃,114,-24834,161084,273967,112883,523518,-385801
3158,嘉實,-545,4,上櫃,114,-287032,232611,389961,157350,276084,168843
3162,精確,84569,4,上櫃,114,-1229948,481446,335208,-146238,982602,16539
