公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
1240,茂生農經,,1,上櫃,115,-66091,156308,102954,-53354,11292,1445
1259,安心,0,1,上櫃,115,-92118,342985,335557,-7428,152072,-67382
1264,德麥,12168,1,上櫃,115,-145491,735291,863235,127944,348447,-87180
1268,漢來美食,,1,上櫃,115,-243151,929985,860084,-69901,246668,-73418
1294,漢田生技,133,1,上櫃,115,-6317,249396,264316,14920,35977,-14873
1295,生合,7649,1,上櫃,115,-166567,269936,392441,122505,21662,259761
1336,台翰,8860,1,上櫃,115,-22774,415933,440912,24979,-1924,40817
1565,精華,2,1,上櫃,115,85231,2171339,2091818,-79521,-126187,-38567
1569,濱川,-10259,1,上櫃,115,-175395,851590,772036,-79554,-92075,198175
1570,力肯,154,1,上櫃,115,-359,398168,427815,29647,31996,-2144
1580,新麥,26449,1,上櫃,115,-222164,1148603,931438,-217165,-1512,-19938
1584,精剛,,1,上櫃,115,-97657,554147,449750,-104397,129671,-136411
1586,和勤,-2835,1,上櫃,115,-10494,458387,388129,-70258,-3670,-53259
1591,駿吉-KY,3045,1,上櫃,115,-9483,121637,121334,-303,-65314,71449
1593,祺驊,6926,1,上櫃,115,-24673,312910,285019,-27891,16459,-26603
1595,川寶,5166,1,上櫃,115,121580,696187,1039938,343751,41288,175717
1599,宏佳騰,11829,1,上櫃,115,-2891,461900,576241,114341,140246,-34843
1742,台蠟,870,1,上櫃,115,10013,262710,191525,-71185,-8612,-73456
1777,生泰,,1,上櫃,115,-14446,1048603,1077856,29253,44417,-718
1780,立弘,131,1,上櫃,115,-31249,789081,817853,28772,65275,-5385
1781,合世,7342,1,上櫃,115,-3482,247647,238512,-9135,-12050,-945
1784,訊聯,227,1,上櫃,115,-45018,256047,231589,-24458,3795,16538
1785,光洋科,92949,1,上櫃,115,-244487,2624340,3019974,395634,-1440190,1987362
1788,杏昌,1011,1,上櫃,115,-51296,463960,420978,-42982,-31778,39081
1796,金穎生技,477,1,上櫃,115,-7442,280260,278949,-1311,15571,-9917
1799,易威,5260,1,上櫃,115,-39145,281062,323294,42232,79831,-3714
1813,寶利徠,-1116,1,上櫃,115,-2699,106032,107480,1448,1194,4069
1815,富喬,672,1,上櫃,115,-1236330,1910675,1586579,-324096,444008,467554
2035,唐榮公司,,1,上櫃,115,32007,222302,102642,-119660,-506413,354746
2061,風青,14611,1,上櫃,115,2638,59439,105976,46537,17792,11496
2063,世鎧精密,858,1,上櫃,115,4575,346142,328597,-17545,-5341,-17637
2064,晉椿,0,1,上櫃,115,-584,364321,292656,-71665,-24232,-46849
2065,世豐,10296,1,上櫃,115,-30543,270106,345243,75137,40914,54470
2066,世德,-4105,1,上櫃,115,-48508,886013,863944,-22069,63295,-32751
2067,嘉鋼,-1413,1,上櫃,115,-8312,80087,56389,-23698,-6785,-7188
2070,精湛,2638,1,上櫃,115,-26162,283041,516791,233750,60113,197161
2073,雄順,,1,上櫃,115,-48399,33504,48398,14894,17632,45661
2221,大甲,914,1,上櫃,115,-10512,439392,398947,-40445,-15184,-15663
2230,泰茂,-930,1,上櫃,115,67630,402095,500755,98660,153326,-121366
2235,謚源,,1,上櫃,115,-77288,96747,47848,-48899,31581,-3192
2596,綠意,,1,上櫃,115,15000,162507,266947,104440,135645,-46205
2640,大車隊,,1,上櫃,115,-18473,1396812,1169026,-227786,173656,-382969
2641,正德,2803,1,上櫃,115,-180753,1121106,1277007,155901,324301,9550
2643,捷迅,7930,1,上櫃,115,-47647,516131,932886,416755,472278,-15806
2718,全心投控,,1,上櫃,115,-1137013,2877557,1600928,-1276629,130838,-270454
2719,燦星旅,,1,上櫃,115,-31820,196226,196129,-97,35228,-3505
2724,藝舍-KY,,1,上櫃,115,-977,100461,47194,-53267,-59970,7680
2726,雅茗-KY,-1586,1,上櫃,115,-2641,149224,155124,5900,583,9544
2729,瓦城,3296,1,上櫃,115,-177707,373590,369558,-4032,151062,19317
2732,六角,-8971,1,上櫃,115,-365605,1611788,923093,-688695,212366,-526485
2734,易飛網,,1,上櫃,115,-65278,371354,290785,-80569,3490,-18781
2736,富野,27,1,上櫃,115,-24235,289953,242162,-47791,1726,-25309
2740,華軒,,1,上櫃,115,25,67900,141465,73565,-5557,79097
2743,山富,,1,上櫃,115,-16566,1106538,1293558,187020,206201,-2615
2745,五福,,1,上櫃,115,325073,1331039,1630185,299146,-14277,-11650
2751,王座,43,1,上櫃,115,-15670,258291,259904,1613,61469,-44229
2752,豆府,59,1,上櫃,115,54587,494853,662575,167722,168840,-55764
2754,亞洲藏壽司,895,1,上櫃,115,-79040,621139,636870,15731,219857,-125981
2755,揚秦,1095,1,上櫃,115,-33189,744503,688151,-56352,-8843,-15415
2756,聯發國際,1654,1,上櫃,115,-45258,339754,244896,-94858,-13573,-37681
2916,滿心,,1,上櫃,115,-29473,199100,265079,65979,203050,-107598
2924,宏太-KY,90,1,上櫃,115,-66,251155,130736,-120419,-179257,58814
2926,誠品生活,11179,1,上櫃,115,-60969,1307338,1299374,-7964,323013,-281187
2937,集雅社,,1,上櫃,115,-181,234301,155940,-78361,-16200,-61980
2941,米斯特,,1,上櫃,115,-5088,117433,118578,1145,19240,-13007
2947,振宇五金,,1,上櫃,115,-15334,275429,261930,-13499,49603,-47768
2948,寶陞,21093,1,上櫃,115,20634,69156,109841,40685,84281,-85323
2949,欣新網,0,1,上櫃,115,-4276,436130,458782,22652,-50051,76979
3064,泰偉,70,1,上櫃,115,-394,32515,27983,-4532,-1854,-2354
3066,李洲,441,1,上櫃,115,19361,40876,91189,50313,21561,8950
3067,全域,0,1,上櫃,115,0,57937,53049,-4888,-4176,-712
3071,協禧,69610,1,上櫃,115,-12737,1566335,1574221,7886,8201,-57188
3073,天方能源,186,1,上櫃,115,-112003,105641,135843,30202,11276,130743
3078,僑威,99883,1,上櫃,115,372765,3403584,4037065,633481,160676,157
3081,聯亞,-215,1,上櫃,115,-220778,703343,762414,59071,282783,-2719
3083,網龍,8281,1,上櫃,115,-20084,251885,231541,-20344,-5468,-3073
3085,新零售,,1,上櫃,115,76699,21224,99961,78737,3820,-1782
3086,華義*,-226,1,上櫃,115,-28376,153011,135027,-17984,12174,-1556
3088,艾訊,16978,1,上櫃,115,-18021,1627659,1750151,122492,124814,-1279
3093,港建*,3034,1,上櫃,115,-598,820179,862105,41926,39730,-240
3095,及成,3659,1,上櫃,115,-3290,107469,107578,109,-15030,14770
3105,穩懋,-3818,1,上櫃,115,-689023,7066909,6321462,-745447,204397,-257003
3114,好德,14870,1,上櫃,115,-551,909352,957698,48346,93376,-59349
3115,富榮綱,8197,1,上櫃,115,-83635,558099,450264,-107835,-31328,-1069
3118,進階,,1,上櫃,115,1113,210338,223260,12922,13139,-1330
3122,笙泉,963,1,上櫃,115,-1857,58816,54090,-4726,-3146,-686
3128,昇銳,2619,1,上櫃,115,-32883,49427,89118,39691,58633,11322
3131,弘塑,5786,1,上櫃,115,41502,2544629,3207965,663336,750352,-134304
3141,晶宏,4778,1,上櫃,115,23694,760762,858847,98085,99950,-30337
3147,大綜,5301,1,上櫃,115,17602,164190,170391,6201,-582091,565389
3152,璟德,,1,上櫃,115,-361486,273967,41420,-232547,128939,
3158,嘉實,-5,1,上櫃,115,-54113,389961,394073,4112,58761,-531
3162,精確,22850,1,上櫃,115,-257134,335208,647617,312409,157604,389089
3163,波若威,14289,1,上櫃,115,73155,629133,598180,-30953,-107042,-11355
3169,亞信,3124,1,上櫃,115,-11002,1422103,1494825,72722,80840,-240
3171,炎洲流通,8683,1,上櫃,115,-47853,316147,278103,-38044,53774,-52648
3176,基亞,1790,1,上櫃,115,-952461,1323598,1065262,-258336,-91959,784294
3178,公準,658,1,上櫃,115,-10923,229331,222562,-6769,11277,-7781
3188,鑫龍騰,,1,上櫃,115,-470,1165539,1193972,28433,882312,-853409
3191,雲嘉南,751,1,上櫃,115,-26566,43477,33814,-9663,-7118,23270
3205,佰研,583,1,上櫃,115,58325,151546,164033,12487,-67541,21120
3206,志豐,26946,1,上櫃,115,-35518,742485,785280,42795,52126,-759
3207,耀勝,5130,1,上櫃,115,-924346,1465163,1556797,91634,-13069,1023919
3211,順達,125327,1,上櫃,115,-2445868,3437848,3140751,-297097,-42628,2066072
3213,茂訊,1599,1,上櫃,115,-183039,1558801,1217009,-341792,-149917,-10435
3217,優群,18146,1,上櫃,115,-70466,1928238,2187723,259485,313462,-1657
3218,大學光,10425,1,上櫃,115,-125852,779239,1068499,289260,537924,-133237
3219,倚強科,29676,1,上櫃,115,-8251,917181,1088161,170980,-6756,156311
3221,台嘉碩,4499,1,上櫃,115,-33080,626029,593929,-32100,10975,-14494
3224,三顧,8293,1,上櫃,115,-207871,1220787,1435240,214453,-11682,425713
3226,龍鋒,8839,1,上櫃,115,-100335,632239,604313,-27926,66094,-2524
3227,原相,24542,1,上櫃,115,-52606,6110743,6520869,410126,449090,-10900
3228,金麗科,,1,上櫃,115,-22793,95783,76924,-18859,3996,-62
3230,錦明,5464,1,上櫃,115,-63356,521887,472973,-48914,-46819,55797
3232,昱捷,882,1,上櫃,115,-20559,252760,269429,16669,49551,-13205
3234,光環,-2283,1,上櫃,115,-33833,199282,382967,183685,-29309,249110
3236,千如,-30609,1,上櫃,115,-40372,678206,653640,-24566,92741,-46326
3252,海灣,,1,上櫃,115,-29332,81485,93657,12172,25723,15781
3259,鑫創,,1,上櫃,115,99132,84663,65565,-19098,-89387,-28843
3260,威剛,415203,1,上櫃,115,-1374611,6007543,7307408,1299865,-8276790,10536063
3264,欣銓,21499,1,上櫃,115,-1095672,2208131,2002366,-205765,1671231,-802823
3265,台星科,2739,1,上櫃,115,-436288,2300147,2362847,62700,365391,130858
3268,海德威,443,1,上櫃,115,13920,80396,79009,-1387,-1189,-14561
3272,東碩,25025,1,上櫃,115,-15128,472552,592859,120307,-44368,154778
3276,宇環,,1,上櫃,115,5023,208043,214201,6158,-2381,3516
3284,太普高,-4801,1,上櫃,115,24265,578135,654911,76776,-111801,169113
3285,微端,3438,1,上櫃,115,-32216,468160,548123,79963,112834,-4093
3287,廣寰科,-1700,1,上櫃,115,-3899,166456,174201,7745,15366,-2022
3288,點晶,44,1,上櫃,115,9,4563,7847,3284,-670,3901
3289,宜特,4425,1,上櫃,115,-83261,739154,616367,-122787,317765,-361716
3290,東浦,30977,1,上櫃,115,-396580,1135924,1237272,101348,219537,247414
3293,鈊象,-322,1,上櫃,115,-3032696,1114804,1784366,669562,3703543,-963
3294,英濟,25296,1,上櫃,115,109428,997878,1289009,291131,165937,-9530
3297,杭特,934,1,上櫃,115,234,83969,73254,-10715,-26883,15000
3303,岱稜,12781,1,上櫃,115,-135556,963831,837679,-126152,46380,-49757
3306,鼎天,0,1,上櫃,115,99876,137295,192489,55194,-42112,-2570
3310,佳穎,7173,1,上櫃,115,32703,458929,596544,137615,53298,44441
3313,斐成,177,1,上櫃,115,65690,498396,516195,17799,-18613,-29455
3317,尼克森,3273,1,上櫃,115,-1273,1822260,1950856,128596,127812,-1216
3322,建舜電,18679,1,上櫃,115,-52359,224676,430535,205859,-40007,279546
3323,加百裕,-3216,1,上櫃,115,26032,1220106,1447186,227080,97109,107155
3324,雙鴻,13623,1,上櫃,115,-1186278,1438936,5415050,3976114,608951,4539818
3325,旭品,-7072,1,上櫃,115,-13959,308811,338861,30050,9410,41671
3332,幸康,13422,1,上櫃,115,-49589,882685,868969,-13716,37277,-14826
3339,泰谷,,1,上櫃,115,-57234,213745,227315,13570,-40058,110862
