公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
1240,茂生農經,,4,上櫃,112,-44443,55531,75193,19662,237006,-172901
1259,安心,-708,4,上櫃,112,-541777,1078902,764974,-313928,826687,-598130
1264,德麥,-3441,4,上櫃,112,-69548,689072,654482,-34590,686750,-648351
1268,漢來美食,,4,上櫃,112,-592980,824450,806573,-17877,882982,-307879
1294,漢田生技,-54,4,上櫃,112,-295629,75040,167090,92050,191906,195827
1295,生合,-5474,4,上櫃,112,-137167,226283,346738,120455,213932,49164
1336,台翰,-49172,4,上櫃,112,-231012,679818,594077,-85741,424261,-229818
1565,精華,-271,4,上櫃,112,-155274,2283352,2063672,-219680,965764,-1029899
1569,濱川,-35901,4,上櫃,112,-302166,1469322,1125885,-343437,492481,-497851
1570,力肯,-75,4,上櫃,112,-94313,162927,107173,-55754,94222,-55588
1580,新麥,-1064,4,上櫃,112,-152802,742389,989384,246995,817593,-416732
1584,精剛,,4,上櫃,112,-731475,254835,460997,206162,140518,797119
1586,和勤,-6405,4,上櫃,112,-46465,351084,414492,63408,315419,-199141
1591,駿吉-KY,-7934,4,上櫃,112,-4496,176005,75866,-100139,-46342,-41367
1593,祺驊,-4722,4,上櫃,112,-39958,331929,350563,18634,162977,-99663
1595,川寶,-7826,4,上櫃,112,-175457,1442401,988138,-454263,-117518,-153462
1599,宏佳騰,711,4,上櫃,112,-116618,940261,738146,-202115,37363,-123571
1742,台蠟,-7207,4,上櫃,112,-1485148,137734,111785,-25949,355540,1110866
1777,生泰,,4,上櫃,112,-316663,844960,666922,-178038,262288,-123663
1780,立弘,393,4,上櫃,112,-40939,679750,618494,-61256,137617,-158327
1781,合世,-7380,4,上櫃,112,-8784,156640,150719,-5921,84910,-74667
1784,訊聯,-268,4,上櫃,112,-409930,161614,238492,76878,153095,333981
1785,光洋科,-50440,4,上櫃,112,-1045847,2206839,2362456,155617,1080986,170918
1788,杏昌,-1683,4,上櫃,112,-66448,324220,401137,76917,433488,-288440
1796,金穎生技,-359,4,上櫃,112,-70617,100690,120153,19463,190313,-99874
1799,易威,-9977,4,上櫃,112,87463,159025,262906,103881,-151448,177843
1813,寶利徠,239,4,上櫃,112,-9110,179006,118838,-60168,46218,-97515
1815,富喬,-16699,4,上櫃,112,-364034,1439372,1344357,-95015,-130526,416244
2035,唐榮公司,,4,上櫃,112,-288820,507044,288673,-218371,-584929,655378
2061,風青,-3290,4,上櫃,112,-10625,91285,88826,-2459,78611,-67155
2063,世鎧精密,-889,4,上櫃,112,-71035,252722,595195,342473,517202,-102805
2064,晉椿,696,4,上櫃,112,-253396,246778,269005,22227,312921,-37994
2065,世豐,-5706,4,上櫃,112,-564196,391924,410955,19031,476843,112090
2066,世德,-6117,4,上櫃,112,-60648,646601,845193,198592,396235,-130878
2067,嘉鋼,9439,4,上櫃,112,-81889,115330,84821,-30509,-4037,45978
2070,精湛,-670,4,上櫃,112,-8376,295489,621825,326336,70415,264967
2073,雄順,,4,上櫃,112,-22636,46730,98716,51986,63200,11422
2221,大甲,-225,4,上櫃,112,-39129,277334,193915,-83419,126289,-170354
2230,泰茂,-10102,4,上櫃,112,-299405,287125,390638,103513,93936,319084
2235,謚源,,4,上櫃,112,233744,442155,338188,-103967,168809,-506520
2596,綠意,,4,上櫃,112,145249,236345,254951,18606,-347043,220400
2640,大車隊,,4,上櫃,112,-174245,635676,763697,128021,614051,-311785
2641,正德,2373,4,上櫃,112,-2151134,1597253,448715,-1148538,477987,522236
2643,捷迅,18322,4,上櫃,112,18646,1011594,998001,-13593,-90675,40114
2718,全心投控,,4,上櫃,112,8202,901145,1540417,639272,1096936,-465866
2719,燦星旅,,4,上櫃,112,-29451,404179,406853,2674,37852,-5727
2724,藝舍-KY,-868,4,上櫃,112,218984,141853,193977,52124,39848,-205840
2726,雅茗-KY,3781,4,上櫃,112,-50988,313675,254623,-59052,21073,-32918
2729,瓦城,3594,4,上櫃,112,-736576,388222,366874,-21348,1038053,-326419
2732,六角,-4627,4,上櫃,112,-228264,816632,1192334,375702,720439,-111846
2734,易飛網,0,4,上櫃,112,-44365,308154,378680,70526,57821,57070
2736,富野,0,4,上櫃,112,-200882,408103,309388,-98715,34886,67281
2740,華軒,,4,上櫃,112,-12223,178523,123398,-55125,-28088,-14814
2743,山富,,4,上櫃,112,-305734,451973,801870,349897,579261,76370
2745,五福,,4,上櫃,112,-18222,264715,823791,559076,480666,96632
2751,王座,-297,4,上櫃,112,-71717,96519,167723,71204,237209,-93991
2752,豆府,-88,4,上櫃,112,-170320,848174,885183,37009,599201,-391784
2754,亞洲藏壽司,-3086,4,上櫃,112,-798397,376186,219656,-156530,938069,-293116
2755,揚秦,-58,4,上櫃,112,-244599,552733,452792,-99941,233491,-88775
2756,聯發國際,3442,4,上櫃,112,-161399,398141,147385,-250756,76461,-169260
2916,滿心,,4,上櫃,112,-218844,119051,70428,-48623,246827,-76606
2924,宏太-KY,59,4,上櫃,112,-1694,48026,44398,-3628,-34624,32631
2926,誠品生活,-11358,4,上櫃,112,-1098240,1325295,1671801,346506,1973224,-517120
2937,集雅社,,4,上櫃,112,-117510,364810,248867,-115943,37706,-36139
2941,米斯特,,4,上櫃,112,-24986,125707,142212,16505,113916,-72425
2947,振宇五金,,4,上櫃,112,-204949,200098,242003,41905,203242,43612
2948,寶陞,-2495,4,上櫃,112,-38744,155160,309861,154701,83895,112045
2949,欣新網,,4,上櫃,112,132514,119924,439854,319930,-62060,249476
3064,泰偉,-13130,4,上櫃,112,17248,63810,50128,-13682,-5002,-12798
3066,李洲,-2673,4,上櫃,112,-4967,368589,170216,-198373,-18758,-171975
3067,全域,-382,4,上櫃,112,-106017,259768,164188,-95580,14663,-3844
3071,協禧,-39874,4,上櫃,112,-16454,1163386,1496918,333532,540225,-150365
3073,天方能源,-555,4,上櫃,112,43067,178730,243118,64388,37552,-15676
3078,僑威,-48913,4,上櫃,112,1515445,2057830,4075766,2017936,1546205,-994801
3081,聯亞,-2882,4,上櫃,112,-969929,1643506,580648,-1062858,239566,-329613
3083,網龍,-2295,4,上櫃,112,25321,294275,273517,-20758,-32318,-11466
3085,新零售,0,4,上櫃,112,-31026,74791,39536,-35255,-793,-3436
3086,華義*,,4,上櫃,112,12712,116629,138381,21752,27835,-18795
3088,艾訊,8241,4,上櫃,112,-422684,1031621,1501089,469468,901839,-17928
3093,港建*,-2669,4,上櫃,112,-8352,1205466,961765,-243701,205253,-437933
3095,及成,-4792,4,上櫃,112,7641,116929,131638,14709,25406,-13546
3105,穩懋,105784,4,上櫃,112,-2753174,10379712,10325709,-54003,4269533,-1676146
3114,好德,-7681,4,上櫃,112,7011,1024059,848981,-175078,244965,-419373
3115,富榮綱,2805,4,上櫃,112,0,234132,208000,-26132,-26624,-2313
3118,進階,,4,上櫃,112,-10898,463496,467406,3910,70210,-55402
3122,笙泉,-617,4,上櫃,112,8911,143762,190040,46278,43128,-5144
3128,昇銳,8059,4,上櫃,112,-25963,81114,93807,12693,22326,8271
3131,弘塑,-1322,4,上櫃,112,-753322,1921122,2170234,249112,764455,239301
3141,晶宏,-4135,4,上櫃,112,-124950,940347,590086,-350261,387651,-608827
3147,大綜,-1019,4,上櫃,112,126078,61819,285285,223466,22425,75982
3152,璟德,,4,上櫃,112,-644885,596367,445258,-151109,741544,-247768
3158,嘉實,0,4,上櫃,112,-68698,186068,191394,5326,213035,-139011
3162,精確,-78248,4,上櫃,112,-877736,705851,477132,-228719,148347,578918
