公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
1240,茂生農經,,2,上櫃,114,-15979,70934,36140,-34794,91127,-109942
1259,安心,-3676,2,上櫃,114,-242111,750414,634624,-115790,392189,-262192
1264,德麥,-48705,2,上櫃,114,-153794,794621,667991,-126630,464597,-388728
1268,漢來美食,,2,上櫃,114,-224594,1018259,953637,-64622,281209,-121237
1294,漢田生技,-500,2,上櫃,114,-9061,382423,431067,48644,88350,-30145
1295,生合,-22388,2,上櫃,114,-440750,469387,408755,-60632,53022,349484
1336,台翰,-39951,2,上櫃,114,-111520,319733,366064,46331,73658,124144
1565,精華,-650,2,上櫃,114,-37666,2376201,2409321,33120,145227,-73791
1569,濱川,-63802,2,上櫃,114,-155936,867338,814701,-52637,-154378,321479
1570,力肯,-123,2,上櫃,114,-11875,134410,85837,-48573,-32524,-4051
1580,新麥,-105753,2,上櫃,114,-92165,1223143,1262756,39613,332564,-95033
1584,精剛,,2,上櫃,114,-122726,408080,621973,213893,453377,-116758
1586,和勤,-35424,2,上櫃,114,-17297,449309,504564,55255,74917,33059
1591,駿吉-KY,-6554,2,上櫃,114,-536,152845,179580,26735,-53549,87374
1593,祺驊,-28181,2,上櫃,114,-3341,313124,319680,6556,48862,-10784
1595,川寶,-33458,2,上櫃,114,144136,1121857,1139955,18098,-56628,-35952
1599,宏佳騰,24290,2,上櫃,114,-57030,601326,549404,-51922,-37699,18517
1742,台蠟,-28600,2,上櫃,114,-8742,106772,256427,149655,489674,-302677
1777,生泰,,2,上櫃,114,-29645,656797,856158,199361,230555,-1549
1780,立弘,-1152,2,上櫃,114,-18619,978331,1066624,88293,72382,35682
1781,合世,-19909,2,上櫃,114,-3497,227022,192046,-34976,-3484,-8086
1784,訊聯,-324,2,上櫃,114,20289,242792,186828,-55964,33938,-109867
1785,光洋科,-270182,2,上櫃,114,652060,1731756,2179709,447953,-638957,705032
1788,杏昌,-7264,2,上櫃,114,-46384,414865,485160,70295,126194,-2251
1796,金穎生技,-1505,2,上櫃,114,-10924,122450,240940,118490,30020,100899
1799,易威,-11127,2,上櫃,114,-13973,325665,233938,-91727,50078,-116705
1813,寶利徠,16168,2,上櫃,114,-6629,85482,84336,-1146,-23720,13035
1815,富喬,-96120,2,上櫃,114,-688950,1318310,1220964,-97346,224811,462913
2035,唐榮公司,,2,上櫃,114,-123252,114169,231174,117005,-223479,463736
2061,風青,-36944,2,上櫃,114,25597,91154,39441,-51713,-25777,-14589
2063,世鎧精密,-3141,2,上櫃,114,-204331,603009,300806,-302203,66410,-161141
2064,晉椿,1748,2,上櫃,114,-13921,368781,301925,-66856,-75165,20482
2065,世豐,-7075,2,上櫃,114,-638770,387299,461558,74259,110852,609252
2066,世德,-35842,2,上櫃,114,-44459,897246,831385,-65861,80411,-65971
2067,嘉鋼,8389,2,上櫃,114,-7421,89229,119544,30315,-1868,31215
2070,精湛,-7502,2,上櫃,114,-41008,186106,421891,235785,50062,234233
2073,雄順,,2,上櫃,114,-42455,49687,52646,2959,42909,2505
2221,大甲,-1831,2,上櫃,114,-23784,283329,396881,113552,112384,26783
2230,泰茂,-79041,2,上櫃,114,-18643,523969,647951,123982,145500,76166
2235,謚源,,2,上櫃,114,52626,106807,211462,104655,58323,-6294
2596,綠意,,2,上櫃,114,-85000,342746,490129,147383,637683,-405300
2640,大車隊,,2,上櫃,114,-88015,883246,1062795,179549,295845,-28281
2641,正德,-24875,2,上櫃,114,-2969809,475521,741068,265547,668701,2591530
2643,捷迅,-55976,2,上櫃,114,366077,441961,719217,277256,-48367,15522
2718,全心投控,,2,上櫃,114,-1795415,3643342,3495880,-147462,1562061,85892
2719,燦星旅,,2,上櫃,114,2873,161509,149076,-12433,-8491,-6815
2724,藝舍-KY,0,2,上櫃,114,-55360,324040,149960,-174080,-98023,-20697
2726,雅茗-KY,-2771,2,上櫃,114,-65947,151261,109874,-41387,31427,-4096
2729,瓦城,-26871,2,上櫃,114,-207714,271994,399449,127455,414648,-52608
2732,六角,-23988,2,上櫃,114,-372432,1176629,893514,-283115,179897,-66592
2734,易飛網,0,2,上櫃,114,-30102,479985,355913,-124072,65035,-159005
2736,富野,-171,2,上櫃,114,-47088,208546,391633,183087,-7387,237733
2740,華軒,,2,上櫃,114,-1558,13202,68989,55787,37568,19777
2743,山富,,2,上櫃,114,-72110,1060311,905658,-154653,126129,-208672
2745,五福,,2,上櫃,114,1971,699256,925336,226080,232454,-8345
2751,王座,-312,2,上櫃,114,-141010,386713,226936,-159777,119096,-137551
2752,豆府,-462,2,上櫃,114,-40138,683144,492488,-190656,323055,-473111
2754,亞洲藏壽司,-7551,2,上櫃,114,-83600,396905,573270,176365,434295,-166779
2755,揚秦,-5558,2,上櫃,114,-61274,632292,649872,17580,131730,-47318
2756,聯發國際,-3851,2,上櫃,114,88560,190608,317120,126512,82475,-40672
2916,滿心,,2,上櫃,114,-86966,267667,304241,36574,311326,-187786
2924,宏太-KY,-1947,2,上櫃,114,-59099,397340,225114,-172226,-119825,8645
2926,誠品生活,-50690,2,上櫃,114,-248097,1480077,1261891,-218186,645490,-564889
2937,集雅社,,2,上櫃,114,-54083,314384,221692,-92692,64753,-103362
2941,米斯特,,2,上櫃,114,-15557,132739,172854,40115,81903,-26231
2947,振宇五金,,2,上櫃,114,-24324,266661,236076,-30585,105038,-111299
2948,寶陞,-131834,2,上櫃,114,30545,102431,106945,4514,248296,-142493
2949,欣新網,-1099,2,上櫃,114,35746,384357,237584,-146773,-839,-180581
3064,泰偉,2067,2,上櫃,114,-1515,45395,26760,-18635,-14550,-4637
3066,李洲,-10071,2,上櫃,114,47600,109084,107811,-1273,-26456,-12346
3067,全域,189,2,上櫃,114,-38171,95586,63526,-32060,-22908,28830
3071,協禧,-173859,2,上櫃,114,-7766,1550281,1465570,-84711,191382,-94468
3073,天方能源,-2721,2,上櫃,114,-249112,102774,103812,1038,-38954,291825
3078,僑威,-474994,2,上櫃,114,-232091,3450712,3827943,377231,1085192,-876
3081,聯亞,-7541,2,上櫃,114,-405298,529126,467043,-62083,354150,-3394
3083,網龍,-34133,2,上櫃,114,-28256,332426,258850,-73576,-941,-10246
3085,新零售,,2,上櫃,114,-372089,415084,32935,-382149,-6871,-3189
3086,華義*,-23,2,上櫃,114,5332,142689,137709,-4980,-7178,-3111
3088,艾訊,-95571,2,上櫃,114,-47016,1745946,1877564,131618,288631,-14426
