公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
3086,華義*,,4,上櫃,113,-38090,138381,142689,4308,55048,-12650
3088,艾訊,58361,4,上櫃,113,-294306,1501089,1745946,244857,996134,-515332
3093,港建*,12584,4,上櫃,113,-92081,961765,746093,-215672,127618,-263793
3095,及成,13261,4,上櫃,113,-17907,131638,115179,-16459,22817,-34630
3105,穩懋,187844,4,上櫃,113,-1055499,10325709,5419305,-4906404,4900014,-8938763
3114,好德,45501,4,上櫃,113,6665,848981,900014,51033,122290,-123423
3115,富榮綱,11678,4,上櫃,113,-739,208000,166727,-41273,-48473,-3739
3118,進階,,4,上櫃,113,-216105,467406,252782,-214624,64097,-62616
3122,笙泉,901,4,上櫃,113,-117741,190040,96326,-93714,15164,7962
3128,昇銳,8105,4,上櫃,113,-279116,93807,110142,16335,120383,166963
3131,弘塑,3500,4,上櫃,113,-1086922,2170234,2985012,814778,1386683,511517
3141,晶宏,9035,4,上櫃,113,-106477,590086,1331043,740957,322690,515709
3147,大綜,6336,4,上櫃,113,8030,285285,95152,-190133,-207940,3441
3152,璟德,,4,上櫃,113,-748442,445258,161084,-284174,718248,-253980
3158,嘉實,-63,4,上櫃,113,-61109,191394,232611,41217,227267,-124878
3162,精確,-22307,4,上櫃,113,-464795,477132,481446,4314,147710,343706
3163,波若威,35969,4,上櫃,113,465702,902017,954759,52742,-133548,-315381
3169,亞信,10724,4,上櫃,113,-224086,1476486,1364814,-111672,323135,-221445
3171,炎洲流通,992,4,上櫃,113,442281,112975,241972,128997,155095,-469371
3176,基亞,-3262,4,上櫃,113,903302,2222926,1387713,-835213,37919,-1773172
3178,公準,659,4,上櫃,113,-247731,346989,231574,-115415,248530,-116873
3188,鑫龍騰,,4,上櫃,113,1423,176823,448215,271392,-921875,1191844
3191,雲嘉南,1361,4,上櫃,113,57658,86887,105756,18869,-6475,-33675
3205,佰研,1534,4,上櫃,113,2734,133893,83793,-50100,-44480,-9888
3206,志豐,54873,4,上櫃,113,-108372,1125305,1137475,12170,301731,-236062
3207,耀勝,18282,4,上櫃,113,-527749,581233,574953,-6280,-96874,600061
3211,順達,231408,4,上櫃,113,1214216,1989830,2538544,548714,1206471,-2103381
3213,茂訊,-428,4,上櫃,113,9256,311156,533521,222365,574428,-360891
3217,優群,26441,4,上櫃,113,-132467,1370730,1692681,321951,1011725,-583748
3218,大學光,19410,4,上櫃,113,-1484128,1062545,506854,-555691,1672066,-763039
3219,倚強科,52854,4,上櫃,113,-33480,856765,904949,48184,97349,-68539
3221,台嘉碩,14712,4,上櫃,113,-65289,643255,672983,29728,192122,-111817
3224,三顧,33031,4,上櫃,113,-470519,2228530,1618500,-610030,-180498,7956
3226,龍鋒,33311,4,上櫃,113,-192909,493224,781991,288767,545340,-96975
3227,原相,84760,4,上櫃,113,-1029228,4039696,4897832,858136,2509485,-706881
3228,金麗科,,4,上櫃,113,-200865,67478,67699,221,94352,106734
3230,錦明,5196,4,上櫃,113,361233,154516,681401,526885,12109,148347
3232,昱捷,2688,4,上櫃,113,8728,223095,270713,47618,154436,-118234
3234,光環,2028,4,上櫃,113,-64191,217203,317418,100215,-56374,218752
3236,千如,13268,4,上櫃,113,-128836,787355,745011,-42344,162376,-89152
3252,海灣,,4,上櫃,113,-35662,97282,105541,8259,45863,-1942
3259,鑫創,,4,上櫃,113,-14948,141727,430667,288940,-65455,369343
3260,威剛,-363885,4,上櫃,113,-3473225,3927156,3765884,-161272,796944,2878894
3264,欣銓,15688,4,上櫃,113,-4617669,2076780,2161694,84914,6366406,-1679511
3265,台星科,37166,4,上櫃,113,-532407,1298093,1140120,-157973,1330863,-993595
3268,海德威,495,4,上櫃,113,-141849,215373,142714,-72659,-32362,101057
3272,東碩,85348,4,上櫃,113,-542033,991188,739231,-251957,-129172,333900
3276,宇環,,4,上櫃,113,22047,91416,98999,7583,60699,-75163
3284,太普高,16110,4,上櫃,113,-377680,401444,708341,306897,124098,544369
3285,微端,6244,4,上櫃,113,42917,402590,445312,42722,51483,-57922
3287,廣寰科,-4605,4,上櫃,113,105595,104862,180918,76056,10258,-35192
3288,點晶,2447,4,上櫃,113,-535,7932,4279,-3653,-11897,6332
3289,宜特,11632,4,上櫃,113,-866437,928238,939526,11288,1368641,-502548
3290,東浦,47608,4,上櫃,113,-521306,1329040,1249280,-79760,375446,18492
3293,鈊象,16212,4,上櫃,113,-3127952,942922,2842817,1899895,9946256,-4934621
3294,英濟,63831,4,上櫃,113,-410461,2133533,1487239,-646294,204872,-504536
3297,杭特,2649,4,上櫃,113,-9961,70721,58462,-12259,853,-5800
3303,岱稜,22274,4,上櫃,113,-111091,450694,751882,301188,468632,-78627
3306,鼎天,0,4,上櫃,113,112472,201565,475529,273964,237248,-75756
3310,佳穎,13126,4,上櫃,113,-121983,644226,625586,-18640,29423,60794
3313,斐成,99,4,上櫃,113,505546,265701,327567,61866,-1452283,1008504
3317,尼克森,434,4,上櫃,113,174084,1377454,1546015,168561,25914,-31871
3322,建舜電,-6450,4,上櫃,113,-255654,368379,276606,-91773,-45105,215436
