備註,公司代號,公司名稱,出表日期,營業收入-上月比較增減(%),營業收入-上月營收,營業收入-去年同月增減(%),營業收入-去年當月營收,營業收入-當月營收,產業別,累計營業收入-前期比較增減(%),累計營業收入-去年累計營收,累計營業收入-當月累計營收,資料年月
-,2440,太空梭,1150911,-1.2193219110511586,397352,45.294396363447916,270146,392507,電子零組件業,28.563205528633954,2327953,2992891,11508
-,2441,超豐,1150911,2.25005717854771,1998127,41.984305244372294,1438952,2043086,半導體業,26.928166893075222,11067014,14047158,11508
本年累計營收較去年同期增加，主係本期營建專案交屋認列收入增加所致。,2442,新美齊,1150911,-48.767271742075316,47983,19.870294519212013,20508,24583,建材營造,386.338953029558,746363,3629854,11508
-,2444,兆勁,1150911,55.00177868279339,81521,49.281115246027525,84645,126359,通信網路業,-16.83006430013472,771227,641429,11508
"以上不含停業部門營收:115年8月0仟元暨114年8月0仟元;115年1~8月0仟元暨114年1~8月985,800仟元。",2449,京元電子,1150911,2.239981837781924,3990702,31.577957840545338,3100894,4080093,半導體業,35.525232306090494,21696590,29404354,11508
-,2450,神腦,1150911,17.314616980235677,2696323,27.642117309427462,2478164,3163181,通信網路業,17.035101755201783,19732603,23094072,11508
本月營收較去年同期增加主係市場價格上漲所致,2451,創見,1150911,-6.889659274430279,5195090,275.4659980905217,1288310,4837166,半導體業,384.0048979178835,8775974,42476144,11508
-,2453,凌群,1150911,6.000888717879744,587363,10.05037560760053,565750,622610,資訊服務業,6.618951213914937,4305244,4590206,11508
海外子公司之營收係以當月平均匯率換算之,2454,聯發科,1150911,32.40526804267691,48474930,44.0812520934518,44546643,64183361,半導體業,5.759084009235821,391447615,413991412,11508
客戶需求增加,2455,全新,1150911,11.560603260792313,422106,71.15939605853318,275126,470904,通信網路業,35.87422019326332,2073751,2817693,11508
-,2457,飛宏,1150911,-11.798500158531038,870492,-17.75584706056263,933546,767787,電子零組件業,-9.632753068593697,6603595,5967487,11508
-,2458,義隆,1150911,-15.665395602931682,878267,-36.72388444133861,1170557,740683,半導體業,-3.414824453264119,8333137,8048575,11508
-,2459,敦吉,1150911,-11.417113714452595,510199,15.367865913117173,391746,451949,其他電子業,11.743313782362781,3173244,3545888,11508
係因端子產品訂單穩定回流及特殊新型銅材業務量持續增量。,2460,建通,1150911,1.320718071085708,432492,75.64976190094438,249476,438204,電子零組件業,65.25316667122193,1975734,3264963,11508
-,2461,光群雷,1150911,-11.020730890633443,479333,-4.683718279641983,447465,426507,其他電子業,2.030032386973569,3506348,3577528,11508
-,2462,良得電,1150911,-5.892114625194702,373007,-0.48477769682399735,352739,351029,電子零組件業,-1.216178290780346,2779280,2745479,11508
主要係本公司半導體自動化設備相關訂單增加所致。,2464,盟立,1150911,7.561365919680548,862979,73.70780965783624,534364,928232,其他電子業,31.436497637078872,4431591,5824728,11508
本月及本年累計營收較去年同期分別增加383.26%及200.71%，主係受惠於全球市場之人工智能應用相關產品需求所致。,2465,麗臺,1150911,10.273586835402366,1070629,383.2629286702524,244302,1180621,電腦及週邊設備業,200.70869091113056,2103738,6326123,11508
係因訂單增加,2466,冠西電,1150911,15.93621802139809,194036,59.9166856232939,140672,224958,光電業,1.39140308110625,803218,814394,11508
係因客戶需求提升，以致115年8月單月營收成長率較去年同期增加60.73%；115年累計營收成長率較去年同期增加83.37%。,2467,志聖,1150911,-25.841726544760608,1167511,60.72584163286522,538685,865806,電子零組件業,83.37487145378931,3859507,7077366,11508
-,2468,華經,1150911,13.778834856864487,174485,-28.593317819029362,278023,198527,資訊服務業,-11.107757432523393,1871908,1663981,11508
